Labels,T19_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.238E+4,
2E05,5.682E+4,
4E05,1.044E+5,
6E05,1.485E+5,
800000.060000,1.895E+5,
1E06,2.271E+5,
1.2E06,2.619E+5,
1.4E06,2.962E+5,
1.6E06,3.228E+5,
1.8E06,3.515E+5,
2E06,3.746E+5,
2.2E06,3.702E+5,
2.4E06,3.648E+5,
2.6E06,3.585E+5,
2.8E06,3.522E+5,
3E06,3.466E+5,
3.2E06,3.394E+5,
3.4E06,3.334E+5,
3.6E06,3.273E+5,
3.8E06,3.225E+5,
4E06,3.159E+5,
4.2E06,3.103E+5,
4.4E06,3.056E+5,
4.6E06,3.001E+5,
4.8E06,2.945E+5,
5E06,2.879E+5,
5.2E06,2.830E+5,
5.4E06,2.777E+5,
5.6E06,2.726E+5,
5.8E06,2.682E+5,
6E06,2.640E+5,
6.2E06,2.592E+5,
6400000.500000,2.541E+5,
6600000.500000,2.496E+5,
6800000.500000,2.439E+5,
7000000.500000,2.400E+5,
7200000.600000,2.362E+5,
7400000.600000,2.316E+5,
7600000.600000,2.274E+5,
7800000.600000,2.231E+5,
8000000.600000,2.183E+5,
8200000.600000,2.145E+5,
8400000.700000,2.111E+5,
8600000.700000,2.077E+5,
8800000.700000,2.032E+5,
9000000.700000,1.995E+5,
9200000.700000,1.953E+5,
9400000.700000,1.918E+5,
9600000.800000,1.873E+5,
9800000.800000,1.845E+5,
1E07,1.807E+5,
1.02E07,1.778E+5,
1.04E07,1.740E+5,
1.06E07,1.708E+5,
1.08E07,1.676E+5,
1.1E07,1.642E+5,
1.12E07,1.614E+5,
1.14E07,1.584E+5,
1.16E07,1.553E+5,
1.18E07,1.529E+5,
1.2E07,1.499E+5,
1.22E07,1.470E+5,
1.24E07,1.442E+5,
1.26E07,1.412E+5,
1.28E07,1.384E+5,
1.3E07,1.358E+5,
1.32E07,1.333E+5,
1.34E07,1.307E+5,
1.36E07,1.285E+5,
1.38E07,1.249E+5,
1.4E07,1.233E+5,
1.42E07,1.211E+5,
1.44E07,1.188E+5,
1.46E07,1.155E+5,
1.48E07,1.141E+5,
1.5E07,1.118E+5,
1.52E07,1.096E+5,
1.54E07,1.083E+5,
1.56E07,1.055E+5,
1.58E07,1.035E+5,
1.6E07,1.019E+5,
1.62E07,9.906E+4,
1.64E07,9.803E+4,
1.66E07,9.564E+4,
1.68E07,9.392E+4,
1.7E07,9.260E+4,
1.72E07,9.040E+4,
1.74E07,8.872E+4,
1.76E07,8.700E+4,
1.78E07,8.544E+4,
1.8E07,8.364E+4,
1.82E07,8.201E+4,
1.84E07,8.088E+4,
1.86E07,7.935E+4,
1.88E07,7.769E+4,
1.9E07,7.636E+4,
1.92E07,7.385E+4,
1.94E07,7.320E+4,
1.96E07,7.204E+4,
1.98E07,7.099E+4,
2E07,6.911E+4,
2.02E07,6.806E+4,
2.04E07,6.622E+4,
2.06E07,6.635E+4,
2.08E07,6.444E+4,
2.1E07,6.327E+4,
2.12E07,6.240E+4,
2.14E07,6.114E+4,
2.16E07,5.955E+4,
2.18E07,5.853E+4,
2.2E07,5.749E+4,
2.22E07,5.611E+4,
2.24E07,5.532E+4,
2.26E07,5.449E+4,
2.28E07,5.317E+4,
2.3E07,5.240E+4,
2.32E07,5.154E+4,
2.34E07,5.027E+4,
2.36E07,4.978E+4,
2.38E07,4.866E+4,
2.4E07,4.792E+4,
2.42E07,4.684E+4,
2.44E07,4.625E+4,
2.46E07,4.518E+4,
2.48E07,4.428E+4,
2.5E07,4.378E+4,
2.52E07,4.296E+4,
2.54E07,4.240E+4,
2.56E07,4.144E+4,
2.58E07,4.108E+4,
2.6E07,3.988E+4,
2.62E07,3.907E+4,
2.64E07,3.831E+4,
2.66E07,3.813E+4,
2.68E07,3.762E+4,
2.7E07,3.680E+4,
2.72E07,3.638E+4,
2.74E07,3.561E+4,
2.76E07,3.483E+4,
2.78E07,3.447E+4,
2.8E07,3.396E+4,
2.82E07,3.315E+4,
2.84E07,3.276E+4,
2.86E07,3.220E+4,
2.88E07,3.166E+4,
2.9E07,3.119E+4,
2.92E07,3.054E+4,
2.94E07,3.020E+4,
2.96E07,2.989E+4,
2.98E07,2.925E+4,
3E07,2.867E+4,
3.02E07,2.841E+4,
3.04E07,2.796E+4,
3.06E07,2.734E+4,
3.08E07,2.674E+4,
3.1E07,2.636E+4,
3.12E07,2.607E+4,
3.14E07,2.578E+4,
3.16E07,2.540E+4,
3.18E07,2.508E+4,
3.2E07,2.463E+4,
3.22E07,2.427E+4,
3.24E07,2.399E+4,
3.26E07,2.339E+4,
3.28E07,2.304E+4,
3.3E07,2.305E+4,
3.32E07,2.242E+4,
3.34E07,2.197E+4,
3.36E07,2.171E+4,
3.38E07,2.160E+4,
3.4E07,2.109E+4,
3.42E07,2.102E+4,
3.44E07,2.078E+4,
3.46E07,2.023E+4,
3.48E07,1.996E+4,
3.5E07,1.991E+4,
3.52E07,1.954E+4,
3.54E07,1.924E+4,
3.56E07,1.885E+4,
3.58E07,1.875E+4,
3.6E07,1.859E+4,
3.62E07,1.840E+4,
3.64E07,1.784E+4,
3.66E07,1.760E+4,
3.68E07,1.748E+4,
3.7E07,1.735E+4,
3.72E07,1.718E+4,
3.74E07,1.682E+4,
3.76E07,1.648E+4,
3.78E07,1.656E+4,
3.8E07,1.616E+4,
3.82E07,1.591E+4,
3.84E07,1.574E+4,
3.86E07,1.585E+4,
3.88E07,1.579E+4,
3.9E07,1.545E+4,
3.92E07,1.519E+4,
3.94E07,1.511E+4,
3.96E07,1.509E+4,
3.98E07,1.464E+4,
4E07,1.465E+4,
4.02E07,1.437E+4,
4.04E07,1.399E+4,
4.06E07,1.393E+4,
4.08E07,1.394E+4,
4.1E07,1.385E+4,
4.12E07,1.349E+4,
4.14E07,1.341E+4,
4.16E07,1.322E+4,
4.18E07,1.307E+4,
4.2E07,1.298E+4,
4.22E07,1.294E+4,
4.24E07,1.264E+4,
4.26E07,1.286E+4,
4.28E07,1.282E+4,
4.3E07,1.258E+4,
4.32E07,1.235E+4,
4.34E07,1.249E+4,
4.36E07,1.219E+4,
4.38E07,1.210E+4,
4.4E07,1.210E+4,
4.42E07,1.187E+4,
4.44E07,1.188E+4,
4.46E07,1.150E+4,
4.48E07,1.167E+4,
4.5E07,1.135E+4,
4.52E07,1.112E+4,
4.54E07,1.155E+4,
4.56E07,1.100E+4,
4.58E07,1.086E+4,
4.6E07,1.108E+4,
4.62E07,1.103E+4,
4.64E07,1.098E+4,
4.66E07,1.125E+4,
4.68E07,1.072E+4,
4.7E07,1.092E+4,
4.72E07,1.039E+4,
4.74E07,1.055E+4,
4.76E07,1.049E+4,
4.78E07,1.039E+4,
4.8E07,1.043E+4,
4.82E07,1.016E+4,
4.84E07,1.015E+4,
4.86E07,1.010E+4,
4.88E07,1.012E+4,
4.9E07,9.929E+3,
4.92E07,9.747E+3,
4.94E07,9.892E+3,
4.96E07,9.943E+3,
4.98E07,9.899E+3,
5E07,9.754E+3,
5.02E07,9.709E+3,
5.04E07,9.800E+3,
5.06E07,9.595E+3,
5.08E07,9.436E+3,
5.1E07,9.448E+3,
5.12E07,9.376E+3,
5.14E07,9.417E+3,
5.16E07,9.531E+3,
5.18E07,9.388E+3,
5.2E07,9.205E+3,
5.22E07,8.981E+3,
5.24E07,9.063E+3,
5.26E07,9.323E+3,
5.28E07,9.101E+3,
5.3E07,9.064E+3,
5.32E07,8.923E+3,
5.34E07,8.983E+3,
5.36E07,8.939E+3,
5.38E07,9.135E+3,
5.4E07,8.915E+3,
5.42E07,8.880E+3,
5.44E07,8.833E+3,
5.46E07,8.833E+3,
5.48E07,8.840E+3,
5.5E07,8.582E+3,
5.52E07,8.634E+3,
5.54E07,8.667E+3,
5.56E07,8.629E+3,
5.58E07,8.592E+3,
5.6E07,8.395E+3,
5.62E07,8.597E+3,
5.64E07,8.218E+3,
5.66E07,8.252E+3,
5.68E07,8.522E+3,
5.7E07,8.504E+3,
5.72E07,8.264E+3,
5.74E07,8.283E+3,
5.76E07,8.286E+3,
5.78E07,8.291E+3,
5.8E07,8.186E+3,
5.82E07,8.294E+3,
5.84E07,8.268E+3,
5.86E07,8.085E+3,
5.88E07,8.109E+3,
5.9E07,8.145E+3,
5.92E07,8.263E+3,
5.94E07,8.100E+3,
5.96E07,8.018E+3,
5.98E07,7.949E+3,
6E07,8.366E+3,
6.02E07,8.014E+3,
6.04E07,8.221E+3,
6.06E07,8.174E+3,
6.08E07,7.969E+3,
6.1E07,7.921E+3,
6.12E07,8.000E+3,
6.14E07,7.791E+3,
6.16E07,7.958E+3,
6.18E07,7.910E+3,
6.2E07,7.845E+3,
6.22E07,7.922E+3,
6.24E07,7.747E+3,
6.26E07,8.000E+3,
6.28E07,7.787E+3,
6.3E07,7.661E+3,
6.32E07,7.829E+3,
6.34E07,7.698E+3,
6.36E07,7.745E+3,
6.38E07,7.773E+3,
64000005.000000,7.864E+3,
64200005.000000,7.687E+3,
64400005.000000,7.593E+3,
64600005.000000,7.699E+3,
64800005.000000,7.817E+3,
65000005.000000,7.719E+3,
65200005.000000,7.695E+3,
65400005.000000,7.684E+3,
65600005.000000,7.773E+3,
65800005.000000,7.756E+3,
