Labels,T5,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,8.003E+3,
2E05,1.271E+4,
4E05,1.257E+4,
6E05,1.246E+4,
800000.060000,1.237E+4,
1E06,1.239E+4,
1.2E06,1.193E+4,
1.4E06,1.207E+4,
1.6E06,1.177E+4,
1.8E06,1.196E+4,
2E06,1.164E+4,
2.2E06,1.184E+4,
2.4E06,1.149E+4,
2.6E06,1.117E+4,
2.8E06,1.153E+4,
3E06,1.158E+4,
3.2E06,1.127E+4,
3.4E06,1.126E+4,
3.6E06,1.099E+4,
3.8E06,1.121E+4,
4E06,1.097E+4,
4.2E06,1.101E+4,
4.4E06,1.088E+4,
4.6E06,1.083E+4,
4.8E06,1.071E+4,
5E06,1.075E+4,
5.2E06,1.069E+4,
5.4E06,1.045E+4,
5.6E06,1.058E+4,
5.8E06,1.042E+4,
6E06,1.043E+4,
6.2E06,1.039E+4,
6400000.500000,1.046E+4,
6600000.500000,1.025E+4,
6800000.500000,1.005E+4,
7000000.500000,1.029E+4,
7200000.600000,1.003E+4,
7400000.600000,1.030E+4,
7600000.600000,9.813E+3,
7800000.600000,9.840E+3,
8000000.600000,9.764E+3,
8200000.600000,9.731E+3,
8400000.700000,9.711E+3,
8600000.700000,9.774E+3,
8800000.700000,9.736E+3,
9000000.700000,9.726E+3,
9200000.700000,9.654E+3,
9400000.700000,9.602E+3,
9600000.800000,9.608E+3,
9800000.800000,9.425E+3,
1E07,9.342E+3,
1.02E07,9.412E+3,
1.04E07,9.381E+3,
1.06E07,9.250E+3,
1.08E07,9.356E+3,
1.1E07,9.297E+3,
1.12E07,9.128E+3,
1.14E07,9.197E+3,
1.16E07,8.793E+3,
1.18E07,9.209E+3,
1.2E07,9.067E+3,
1.22E07,9.026E+3,
1.24E07,8.988E+3,
1.26E07,8.916E+3,
1.28E07,8.781E+3,
1.3E07,8.797E+3,
1.32E07,8.752E+3,
1.34E07,8.626E+3,
1.36E07,8.847E+3,
1.38E07,8.729E+3,
1.4E07,8.778E+3,
1.42E07,8.927E+3,
1.44E07,8.633E+3,
1.46E07,8.625E+3,
1.48E07,8.546E+3,
1.5E07,8.553E+3,
1.52E07,8.293E+3,
1.54E07,8.636E+3,
1.56E07,8.520E+3,
1.58E07,8.480E+3,
1.6E07,8.583E+3,
1.62E07,8.598E+3,
1.64E07,8.408E+3,
1.66E07,8.288E+3,
1.68E07,8.434E+3,
1.7E07,8.368E+3,
1.72E07,8.398E+3,
1.74E07,8.271E+3,
1.76E07,8.166E+3,
1.78E07,8.242E+3,
1.8E07,8.301E+3,
1.82E07,8.218E+3,
1.84E07,8.136E+3,
1.86E07,8.301E+3,
1.88E07,8.285E+3,
1.9E07,8.044E+3,
1.92E07,8.213E+3,
1.94E07,8.153E+3,
1.96E07,8.010E+3,
1.98E07,8.140E+3,
2E07,8.091E+3,
2.02E07,8.304E+3,
2.04E07,7.978E+3,
2.06E07,7.912E+3,
2.08E07,7.961E+3,
2.1E07,7.851E+3,
2.12E07,7.863E+3,
2.14E07,7.840E+3,
2.16E07,7.836E+3,
2.18E07,8.041E+3,
2.2E07,7.849E+3,
2.22E07,7.927E+3,
2.24E07,7.760E+3,
2.26E07,7.680E+3,
2.28E07,7.871E+3,
2.3E07,7.800E+3,
2.32E07,7.617E+3,
2.34E07,7.886E+3,
2.36E07,7.661E+3,
2.38E07,7.664E+3,
2.4E07,7.774E+3,
2.42E07,7.729E+3,
2.44E07,7.710E+3,
2.46E07,7.724E+3,
2.48E07,7.677E+3,
2.5E07,7.787E+3,
2.52E07,7.614E+3,
2.54E07,7.583E+3,
2.56E07,7.693E+3,
2.58E07,7.590E+3,
2.6E07,7.604E+3,
2.62E07,7.680E+3,
2.64E07,7.691E+3,
2.66E07,7.621E+3,
2.68E07,7.567E+3,
2.7E07,7.523E+3,
2.72E07,7.508E+3,
2.74E07,7.456E+3,
2.76E07,7.533E+3,
2.78E07,7.447E+3,
2.8E07,7.353E+3,
2.82E07,7.502E+3,
2.84E07,7.538E+3,
2.86E07,7.534E+3,
2.88E07,7.636E+3,
2.9E07,7.635E+3,
2.92E07,7.516E+3,
2.94E07,7.475E+3,
2.96E07,7.319E+3,
2.98E07,7.441E+3,
3E07,7.217E+3,
3.02E07,7.380E+3,
3.04E07,7.396E+3,
3.06E07,7.451E+3,
3.08E07,7.193E+3,
3.1E07,7.560E+3,
3.12E07,7.531E+3,
3.14E07,7.373E+3,
3.16E07,7.416E+3,
3.18E07,7.248E+3,
3.2E07,7.421E+3,
3.22E07,7.460E+3,
3.24E07,7.425E+3,
3.26E07,7.349E+3,
3.28E07,7.316E+3,
3.3E07,7.324E+3,
3.32E07,7.188E+3,
3.34E07,7.306E+3,
3.36E07,7.182E+3,
3.38E07,7.097E+3,
3.4E07,7.373E+3,
3.42E07,7.230E+3,
3.44E07,7.162E+3,
3.46E07,7.308E+3,
3.48E07,7.359E+3,
3.5E07,7.183E+3,
3.52E07,7.306E+3,
3.54E07,6.981E+3,
3.56E07,7.258E+3,
3.58E07,7.073E+3,
3.6E07,7.157E+3,
3.62E07,7.224E+3,
3.64E07,7.155E+3,
3.66E07,7.306E+3,
3.68E07,7.219E+3,
3.7E07,7.234E+3,
3.72E07,7.161E+3,
3.74E07,7.077E+3,
3.76E07,7.127E+3,
3.78E07,7.031E+3,
3.8E07,7.042E+3,
3.82E07,7.107E+3,
3.84E07,7.178E+3,
3.86E07,7.077E+3,
3.88E07,7.191E+3,
3.9E07,7.103E+3,
3.92E07,7.233E+3,
3.94E07,7.057E+3,
3.96E07,7.132E+3,
3.98E07,7.170E+3,
4E07,7.088E+3,
4.02E07,6.996E+3,
4.04E07,7.052E+3,
4.06E07,7.279E+3,
4.08E07,7.035E+3,
4.1E07,7.119E+3,
4.12E07,7.006E+3,
4.14E07,6.905E+3,
4.16E07,7.095E+3,
4.18E07,7.151E+3,
4.2E07,7.180E+3,
4.22E07,7.074E+3,
4.24E07,7.283E+3,
4.26E07,7.064E+3,
4.28E07,7.263E+3,
4.3E07,7.010E+3,
4.32E07,7.058E+3,
4.34E07,6.916E+3,
4.36E07,7.064E+3,
4.38E07,6.936E+3,
4.4E07,7.143E+3,
4.42E07,7.061E+3,
4.44E07,6.998E+3,
4.46E07,6.983E+3,
4.48E07,6.946E+3,
4.5E07,7.010E+3,
4.52E07,7.115E+3,
4.54E07,7.143E+3,
4.56E07,7.027E+3,
4.58E07,6.990E+3,
4.6E07,7.010E+3,
4.62E07,6.860E+3,
4.64E07,7.082E+3,
4.66E07,6.996E+3,
4.68E07,7.090E+3,
4.7E07,6.847E+3,
4.72E07,6.936E+3,
4.74E07,6.986E+3,
4.76E07,7.025E+3,
4.78E07,7.245E+3,
4.8E07,7.003E+3,
4.82E07,7.126E+3,
4.84E07,6.931E+3,
4.86E07,6.763E+3,
4.88E07,6.831E+3,
4.9E07,6.887E+3,
4.92E07,6.880E+3,
4.94E07,6.840E+3,
4.96E07,7.086E+3,
4.98E07,7.021E+3,
5E07,6.990E+3,
5.02E07,6.850E+3,
5.04E07,6.799E+3,
5.06E07,6.950E+3,
5.08E07,6.801E+3,
5.1E07,6.832E+3,
5.12E07,6.698E+3,
5.14E07,6.943E+3,
5.16E07,6.967E+3,
5.18E07,6.944E+3,
5.2E07,6.960E+3,
5.22E07,7.181E+3,
5.24E07,7.035E+3,
5.26E07,6.951E+3,
5.28E07,6.909E+3,
5.3E07,6.836E+3,
5.32E07,6.829E+3,
5.34E07,6.762E+3,
5.36E07,6.878E+3,
5.38E07,6.928E+3,
5.4E07,7.136E+3,
5.42E07,6.866E+3,
5.44E07,7.006E+3,
5.46E07,6.945E+3,
5.48E07,6.939E+3,
5.5E07,7.018E+3,
5.52E07,6.737E+3,
5.54E07,6.985E+3,
5.56E07,6.788E+3,
5.58E07,6.869E+3,
5.6E07,6.900E+3,
5.62E07,6.855E+3,
5.64E07,7.108E+3,
5.66E07,6.942E+3,
5.68E07,6.996E+3,
5.7E07,6.951E+3,
5.72E07,6.892E+3,
5.74E07,7.014E+3,
5.76E07,6.969E+3,
5.78E07,6.763E+3,
5.8E07,6.877E+3,
5.82E07,6.930E+3,
5.84E07,6.914E+3,
5.86E07,6.937E+3,
5.88E07,7.029E+3,
5.9E07,6.923E+3,
5.92E07,6.886E+3,
5.94E07,6.771E+3,
5.96E07,6.859E+3,
5.98E07,6.758E+3,
6E07,6.848E+3,
6.02E07,7.018E+3,
6.04E07,6.902E+3,
6.06E07,6.681E+3,
6.08E07,6.868E+3,
6.1E07,6.834E+3,
6.12E07,7.036E+3,
6.14E07,6.821E+3,
6.16E07,6.739E+3,
6.18E07,6.761E+3,
6.2E07,6.910E+3,
6.22E07,6.663E+3,
6.24E07,6.797E+3,
6.26E07,6.854E+3,
6.28E07,6.835E+3,
6.3E07,7.011E+3,
6.32E07,6.827E+3,
6.34E07,6.805E+3,
6.36E07,7.056E+3,
6.38E07,6.798E+3,
64000005.000000,6.929E+3,
64200005.000000,6.723E+3,
64400005.000000,7.058E+3,
64600005.000000,6.765E+3,
64800005.000000,6.876E+3,
65000005.000000,6.804E+3,
65200005.000000,7.067E+3,
65400005.000000,6.939E+3,
65600005.000000,6.838E+3,
65800005.000000,7.055E+3,
66000005.000000,6.845E+3,
