100ms pump

Labels,Decay55 Cropped,Decay55 CroppedF1,Decay55 CroppedF1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,1.2E08,1.204E008,1.204E008,
Stop,3.996E008,3.996E008,3.996E008,
Step,4E05,4E05,4E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.2E08,2.362E+5, , ,
1.204E008,2.314E+5,2.391E+5,-1.599E+1,
1.208E008,2.258E+5,2.324E+5,-1.384E+1,
1.212E008,2.199E+5,2.260E+5,-1.300E+1,
1.216E008,2.140E+5,2.197E+5,-1.225E+1,
1.22E08,2.087E+5,2.136E+5,-1.073E+1,
1.224E008,2.038E+5,2.077E+5,-8.506E+0,
1.228E008,1.983E+5,2.019E+5,-8.062E+0,
1.232E008,1.934E+5,1.963E+5,-6.607E+0,
1.236E008,1.889E+5,1.909E+5,-4.446E+0,
1.24E08,1.851E+5,1.856E+5,-1.247E+0,
1.244E008,1.796E+5,1.805E+5,-2.130E+0,
1.248E008,1.743E+5,1.755E+5,-2.908E+0,
1.252E008,1.706E+5,1.706E+5,-5.281E-2,
1.256E008,1.661E+5,1.659E+5,4.696E-1,
1.26E08,1.625E+5,1.614E+5,2.831E+0,
1.264E008,1.578E+5,1.569E+5,2.237E+0,
1.268E008,1.536E+5,1.526E+5,2.596E+0,
1.272E008,1.490E+5,1.484E+5,1.587E+0,
1.276E008,1.451E+5,1.443E+5,1.975E+0,
1.28E08,1.417E+5,1.403E+5,3.696E+0,
1.284E008,1.375E+5,1.365E+5,2.671E+0,
1.288E008,1.338E+5,1.328E+5,2.974E+0,
1.292E008,1.311E+5,1.291E+5,5.428E+0,
1.296E008,1.279E+5,1.256E+5,6.465E+0,
1.3E08,1.238E+5,1.222E+5,4.656E+0,
1.304E008,1.211E+5,1.188E+5,6.689E+0,
1.308E008,1.177E+5,1.156E+5,6.086E+0,
1.312E008,1.140E+5,1.124E+5,4.804E+0,
1.316E008,1.117E+5,1.094E+5,7.016E+0,
1.32E08,1.084E+5,1.064E+5,6.144E+0,
1.324E008,1.058E+5,1.035E+5,7.115E+0,
1.328E008,1.027E+5,1.007E+5,6.397E+0,
1.332E008,9.999E+4,9.796E+4,6.395E+0,
1.336E008,9.702E+4,9.531E+4,5.465E+0,
