100us pump

Labels,Decay52,Decay52F1,Decay52F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,2E05,2E05,
Stop,1.998E008,1.998E008,1.998E008,
Step,2E05,2E05,2E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

0.00,2.963E+3, , ,
2E05,5.522E+3,5.450E+3,9.677E-1,
4E05,5.396E+3,5.400E+3,-5.044E-2,
6E05,5.443E+3,5.350E+3,1.259E+0,
800000.060000,5.279E+3,5.301E+3,-3.073E-1,
1E06,5.278E+3,5.253E+3,3.398E-1,
1.2E06,5.142E+3,5.206E+3,-8.933E-1,
1.4E06,4.976E+3,5.160E+3,-2.602E+0,
1.6E06,5.098E+3,5.114E+3,-2.211E-1,
1.8E06,5.097E+3,5.069E+3,3.958E-1,
2E06,5.058E+3,5.024E+3,4.721E-1,
2.2E06,4.954E+3,4.981E+3,-3.808E-1,
2.4E06,4.913E+3,4.938E+3,-3.549E-1,
2.6E06,4.906E+3,4.896E+3,1.480E-1,
2.8E06,4.744E+3,4.854E+3,-1.598E+0,
3E06,4.781E+3,4.813E+3,-4.649E-1,
3.2E06,4.869E+3,4.773E+3,1.378E+0,
3.4E06,4.828E+3,4.733E+3,1.364E+0,
3.6E06,4.699E+3,4.694E+3,6.911E-2,
3.8E06,4.636E+3,4.656E+3,-2.921E-1,
4E06,4.695E+3,4.618E+3,1.122E+0,
4.2E06,4.546E+3,4.581E+3,-5.185E-1,
4.4E06,4.527E+3,4.544E+3,-2.584E-1,
4.6E06,4.456E+3,4.508E+3,-7.848E-1,
4.8E06,4.455E+3,4.473E+3,-2.692E-1,
5E06,4.450E+3,4.438E+3,1.783E-1,
5.2E06,4.398E+3,4.404E+3,-8.750E-2,
5.4E06,4.295E+3,4.370E+3,-1.145E+0,
5.6E06,4.431E+3,4.337E+3,1.415E+0,
5.8E06,4.241E+3,4.304E+3,-9.693E-1,
6E06,4.330E+3,4.272E+3,8.823E-1,
6.2E06,4.186E+3,4.240E+3,-8.389E-1,
6400000.500000,4.302E+3,4.209E+3,1.416E+0,
6600000.500000,4.089E+3,4.178E+3,-1.399E+0,
6800000.500000,4.182E+3,4.148E+3,5.216E-1,
7000000.500000,4.089E+3,4.119E+3,-4.624E-1,
