Labels,45deg_spec,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,4.069E+4,
1401.000,4.075E+4,
1402.05000,4.053E+4,
1403.1000,4.074E+4,
1404.15000,4.016E+4,
1405.2000,4.085E+4,
1406.25000,4.066E+4,
1407.3000,4.114E+4,
1408.35000,4.047E+4,
1409.4000,4.092E+4,
1410.45000,4.039E+4,
1411.5000,4.036E+4,
1412.55000,4.043E+4,
1413.6000,4.013E+4,
1414.65000,4.070E+4,
1415.7000,4.086E+4,
1416.75000,4.082E+4,
1417.8000,4.089E+4,
1418.85000,4.093E+4,
1419.9000,4.052E+4,
1420.95000,4.122E+4,
1422.000,4.049E+4,
1423.05000,4.066E+4,
1424.1000,4.079E+4,
1425.15000,4.126E+4,
1426.2000,4.086E+4,
1427.25000,4.069E+4,
1428.3000,4.125E+4,
1429.35000,4.117E+4,
1430.4000,4.074E+4,
1431.45000,4.121E+4,
1432.5000,4.098E+4,
1433.55000,4.103E+4,
1434.6000,4.105E+4,
1435.65000,4.159E+4,
1436.7000,4.131E+4,
1437.75000,4.136E+4,
1438.8000,4.139E+4,
1439.85000,4.169E+4,
1440.9000,4.158E+4,
1441.95000,4.163E+4,
1443.000,4.177E+4,
1444.05000,4.193E+4,
1445.1000,4.165E+4,
1446.15000,4.104E+4,
1447.2000,4.191E+4,
1448.25000,4.180E+4,
1449.3000,4.218E+4,
1450.35000,4.228E+4,
1451.4000,4.266E+4,
1452.45000,4.273E+4,
1453.5000,4.230E+4,
1454.55000,4.328E+4,
1455.6000,4.291E+4,
1456.65000,4.318E+4,
1457.7000,4.334E+4,
1458.75000,4.299E+4,
1459.8000,4.326E+4,
1460.85000,4.401E+4,
1461.9000,4.387E+4,
1462.95000,4.451E+4,
1464.000,4.487E+4,
1465.05000,4.550E+4,
1466.1000,4.533E+4,
1467.15000,4.578E+4,
1468.2000,4.669E+4,
1469.25000,4.638E+4,
1470.3000,4.653E+4,
1471.35000,4.725E+4,
1472.4000,4.786E+4,
1473.45000,4.798E+4,
1474.5000,4.889E+4,
1475.55000,4.866E+4,
1476.6000,4.921E+4,
1477.65000,4.980E+4,
1478.7000,4.971E+4,
1479.75000,5.133E+4,
1480.8000,5.132E+4,
1481.85000,5.174E+4,
1482.9000,5.262E+4,
1483.95000,5.246E+4,
1485.000,5.287E+4,
1486.05000,5.305E+4,
1487.1000,5.375E+4,
1488.15000,5.314E+4,
1489.2000,5.380E+4,
1490.25000,5.429E+4,
1491.3000,5.426E+4,
1492.35000,5.423E+4,
1493.4000,5.387E+4,
1494.45000,5.419E+4,
1495.5000,5.396E+4,
1496.55000,5.380E+4,
1497.6000,5.364E+4,
1498.65000,5.363E+4,
1499.7000,5.371E+4,
1500.75000,5.361E+4,
1501.8000,5.356E+4,
1502.85000,5.328E+4,
1503.9000,5.263E+4,
1504.95000,5.266E+4,
1506.000,5.302E+4,
1507.05000,5.269E+4,
1508.1000,5.300E+4,
1509.15000,5.328E+4,
1510.2000,5.294E+4,
1511.25000,5.315E+4,
1512.3000,5.363E+4,
1513.35000,5.383E+4,
1514.4000,5.445E+4,
1515.45000,5.464E+4,
1516.5000,5.578E+4,
1517.55000,5.717E+4,
1518.6000,5.784E+4,
1519.65000,5.894E+4,
1520.7000,6.006E+4,
1521.75000,6.281E+4,
1522.8000,6.452E+4,
1523.85000,6.693E+4,
1524.9000,6.969E+4,
1525.95000,7.270E+4,
1527.000,7.539E+4,
1528.05000,8.055E+4,
1529.1000,8.488E+4,
1530.15000,9.014E+4,
1531.2000,9.914E+4,
1532.25000,1.102E+5,
1533.3000,1.231E+5,
1534.35000,1.322E+5,
1535.4000,1.338E+5,
1536.45000,1.281E+5,
1537.5000,1.197E+5,
1538.55000,1.148E+5,
1539.6000,1.154E+5,
1540.65000,1.168E+5,
1541.7000,1.184E+5,
1542.75000,1.165E+5,
1543.8000,1.132E+5,
1544.85000,1.071E+5,
1545.9000,1.010E+5,
1546.95000,9.541E+4,
1548.000,9.014E+4,
1549.05000,8.662E+4,
1550.1000,8.189E+4,
1551.15000,8.041E+4,
1552.2000,7.670E+4,
1553.25000,7.464E+4,
1554.3000,7.329E+4,
1555.35000,7.152E+4,
1556.4000,7.040E+4,
1557.45000,6.893E+4,
1558.5000,6.857E+4,
1559.55000,6.774E+4,
1560.6000,6.691E+4,
1561.65000,6.703E+4,
1562.7000,6.608E+4,
1563.75000,6.589E+4,
1564.8000,6.560E+4,
1565.85000,6.477E+4,
1566.9000,6.385E+4,
1567.95000,6.223E+4,
1569.000,6.109E+4,
1570.05000,5.968E+4,
1571.1000,5.824E+4,
1572.15000,5.661E+4,
1573.2000,5.398E+4,
1574.25000,5.257E+4,
1575.3000,5.073E+4,
1576.35000,5.019E+4,
1577.4000,4.869E+4,
1578.45000,4.851E+4,
1579.5000,4.824E+4,
1580.55000,4.684E+4,
1581.6000,4.687E+4,
1582.65000,4.698E+4,
1583.7000,4.680E+4,
1584.75000,4.630E+4,
1585.8000,4.639E+4,
1586.85000,4.570E+4,
1587.9000,4.603E+4,
1588.95000,4.557E+4,
1590.00,4.583E+4,
1591.05000,4.553E+4,
1592.1000,4.589E+4,
1593.15000,4.612E+4,
1594.2000,4.592E+4,
1595.25000,4.571E+4,
1596.3000,4.587E+4,
1597.35000,4.601E+4,
1598.4000,4.607E+4,
1599.45000,4.617E+4,
1600.5000,4.610E+4,
1601.55000,4.671E+4,
1602.6000,4.620E+4,
1603.65000,4.626E+4,
1604.7000,4.554E+4,
1605.75000,4.591E+4,
1606.8000,4.641E+4,
1607.85000,4.610E+4,
1608.9000,4.570E+4,
1609.95000,4.564E+4,
1611.000,4.579E+4,
1612.05000,4.524E+4,
1613.1000,4.503E+4,
1614.15000,4.478E+4,
1615.2000,4.467E+4,
1616.25000,4.484E+4,
1617.3000,4.448E+4,
1618.35000,4.436E+4,
1619.4000,4.361E+4,
1620.45000,4.411E+4,
1621.5000,4.372E+4,
1622.55000,4.319E+4,
1623.6000,4.318E+4,
1624.65000,4.291E+4,
1625.7000,4.282E+4,
1626.75000,4.284E+4,
1627.8000,4.248E+4,
1628.85000,4.252E+4,
1629.9000,4.273E+4,
1630.95000,4.259E+4,
1632.000,4.242E+4,
1633.05000,4.218E+4,
1634.1000,4.231E+4,
1635.15000,4.169E+4,
1636.2000,4.141E+4,
1637.25000,4.097E+4,
1638.3000,4.211E+4,
1639.35000,4.163E+4,
1640.4000,4.187E+4,
1641.45000,4.193E+4,
1642.5000,4.116E+4,
1643.55000,4.106E+4,
1644.6000,4.137E+4,
1645.65000,4.158E+4,
1646.7000,4.092E+4,
1647.75000,4.140E+4,
1648.8000,4.108E+4,
1649.85000,4.114E+4,
1650.9000,4.064E+4,
1651.95000,4.129E+4,
1653.000,4.121E+4,
1654.05000,4.159E+4,
1655.1000,4.135E+4,
1656.15000,4.109E+4,
1657.2000,4.141E+4,
1658.25000,4.096E+4,
1659.3000,4.074E+4,
1660.35000,4.084E+4,
1661.4000,4.117E+4,
1662.45000,4.099E+4,
1663.5000,4.078E+4,
1664.55000,4.097E+4,
1665.6000,4.086E+4,
1666.65000,4.127E+4,
1667.7000,4.063E+4,
1668.75000,4.058E+4,
1669.8000,4.076E+4,
1670.85000,4.062E+4,
1671.9000,4.059E+4,
1672.95000,4.087E+4,
1674.000,4.109E+4,
1675.05000,4.068E+4,
1676.1000,4.131E+4,
1677.15000,4.119E+4,
1678.2000,4.061E+4,
1679.25000,4.068E+4,
1680.3000,4.046E+4,
1681.35000,4.072E+4,
1682.4000,4.082E+4,
1683.45000,4.026E+4,
1684.5000,4.049E+4,
1685.55000,4.055E+4,
1686.6000,4.085E+4,
1687.65000,4.047E+4,
1688.7000,4.051E+4,
1689.75000,4.102E+4,
1690.8000,4.046E+4,
1691.85000,4.080E+4,
1692.9000,4.064E+4,
1693.95000,4.061E+4,
1695.000,4.024E+4,
1696.05000,4.114E+4,
1697.1000,4.043E+4,
1698.15000,4.094E+4,
1699.2000,4.075E+4,
1700.25000,4.054E+4,
