Labels,75_deg_lifetime,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,3.740E+4,
4E05,1.320E+5,
800000.060000,2.223E+5,
1.2E06,3.025E+5,
1.6E06,3.769E+5,
2E06,4.458E+5,
2.4E06,5.092E+5,
2.8E06,5.677E+5,
3.2E06,6.214E+5,
3.6E06,6.702E+5,
4E06,7.181E+5,
4.4E06,7.601E+5,
4.8E06,8.002E+5,
5.2E06,8.387E+5,
5.6E06,8.733E+5,
6E06,9.071E+5,
6400000.500000,9.390E+5,
6800000.500000,9.673E+5,
7200000.600000,9.943E+5,
7600000.600000,1.020E+6,
8000000.600000,1.044E+6,
8400000.700000,1.069E+6,
8800000.700000,1.089E+6,
9200000.700000,1.112E+6,
9600000.800000,1.129E+6,
1E07,1.150E+6,
1.04E07,1.167E+6,
1.08E07,1.184E+6,
1.12E07,1.201E+6,
1.16E07,1.218E+6,
1.2E07,1.231E+6,
1.24E07,1.246E+6,
1.28E07,1.258E+6,
1.32E07,1.272E+6,
1.36E07,1.283E+6,
1.4E07,1.294E+6,
1.44E07,1.306E+6,
1.48E07,1.317E+6,
1.52E07,1.327E+6,
1.56E07,1.335E+6,
1.6E07,1.346E+6,
1.64E07,1.355E+6,
1.68E07,1.363E+6,
1.72E07,1.371E+6,
1.76E07,1.379E+6,
1.8E07,1.385E+6,
1.84E07,1.394E+6,
1.88E07,1.399E+6,
1.92E07,1.408E+6,
1.96E07,1.413E+6,
2E07,1.419E+6,
2.04E07,1.425E+6,
2.08E07,1.429E+6,
2.12E07,1.434E+6,
2.16E07,1.439E+6,
2.2E07,1.443E+6,
2.24E07,1.449E+6,
2.28E07,1.454E+6,
2.32E07,1.457E+6,
2.36E07,1.462E+6,
2.4E07,1.467E+6,
2.44E07,1.470E+6,
2.48E07,1.476E+6,
2.52E07,1.476E+6,
2.56E07,1.480E+6,
2.6E07,1.482E+6,
2.64E07,1.487E+6,
2.68E07,1.489E+6,
2.72E07,1.493E+6,
2.76E07,1.494E+6,
2.8E07,1.498E+6,
2.84E07,1.501E+6,
2.88E07,1.503E+6,
2.92E07,1.505E+6,
2.96E07,1.506E+6,
3E07,1.511E+6,
3.04E07,1.512E+6,
3.08E07,1.515E+6,
3.12E07,1.514E+6,
3.16E07,1.519E+6,
3.2E07,1.519E+6,
3.24E07,1.521E+6,
3.28E07,1.523E+6,
3.32E07,1.524E+6,
3.36E07,1.525E+6,
3.4E07,1.528E+6,
3.44E07,1.528E+6,
3.48E07,1.530E+6,
3.52E07,1.533E+6,
3.56E07,1.534E+6,
3.6E07,1.536E+6,
3.64E07,1.536E+6,
3.68E07,1.538E+6,
3.72E07,1.538E+6,
3.76E07,1.540E+6,
3.8E07,1.539E+6,
3.84E07,1.541E+6,
3.88E07,1.544E+6,
3.92E07,1.544E+6,
3.96E07,1.544E+6,
4E07,1.544E+6,
4.04E07,1.545E+6,
4.08E07,1.547E+6,
4.12E07,1.547E+6,
4.16E07,1.548E+6,
4.2E07,1.549E+6,
4.24E07,1.551E+6,
4.28E07,1.549E+6,
4.32E07,1.550E+6,
4.36E07,1.551E+6,
4.4E07,1.552E+6,
4.44E07,1.554E+6,
4.48E07,1.553E+6,
4.52E07,1.555E+6,
4.56E07,1.555E+6,
4.6E07,1.556E+6,
4.64E07,1.555E+6,
4.68E07,1.556E+6,
4.72E07,1.557E+6,
4.76E07,1.556E+6,
4.8E07,1.556E+6,
4.84E07,1.558E+6,
4.88E07,1.556E+6,
4.92E07,1.558E+6,
4.96E07,1.561E+6,
5E07,1.559E+6,
5.04E07,1.560E+6,
5.08E07,1.559E+6,
5.12E07,1.561E+6,
5.16E07,1.562E+6,
5.2E07,1.561E+6,
5.24E07,1.561E+6,
5.28E07,1.560E+6,
5.32E07,1.561E+6,
5.36E07,1.563E+6,
5.4E07,1.561E+6,
5.44E07,1.560E+6,
5.48E07,1.563E+6,
5.52E07,1.564E+6,
5.56E07,1.562E+6,
5.6E07,1.562E+6,
5.64E07,1.563E+6,
5.68E07,1.561E+6,
5.72E07,1.564E+6,
5.76E07,1.564E+6,
5.8E07,1.564E+6,
5.84E07,1.565E+6,
5.88E07,1.563E+6,
5.92E07,1.565E+6,
5.96E07,1.565E+6,
6E07,1.566E+6,
6.04E07,1.564E+6,
6.08E07,1.565E+6,
6.12E07,1.565E+6,
6.16E07,1.565E+6,
6.2E07,1.566E+6,
6.24E07,1.566E+6,
6.28E07,1.566E+6,
6.32E07,1.564E+6,
6.36E07,1.566E+6,
64000005.000000,1.564E+6,
64400005.000000,1.566E+6,
64800005.000000,1.566E+6,
65200005.000000,1.565E+6,
65600005.000000,1.566E+6,
66000005.000000,1.567E+6,
66400005.000000,1.565E+6,
66800005.000000,1.565E+6,
67200005.000000,1.568E+6,
67600005.000000,1.565E+6,
68000005.000000,1.566E+6,
68400005.000000,1.567E+6,
68800005.000000,1.566E+6,
69200005.000000,1.566E+6,
69600005.000000,1.567E+6,
70000005.000000,1.566E+6,
70400006.000000,1.568E+6,
70800006.000000,1.567E+6,
71200006.000000,1.568E+6,
71600006.000000,1.567E+6,
72000006.000000,1.567E+6,
72400006.000000,1.566E+6,
72800006.000000,1.567E+6,
73200006.000000,1.567E+6,
73600006.000000,1.568E+6,
74000006.000000,1.567E+6,
74400006.000000,1.567E+6,
74800006.000000,1.567E+6,
75200006.000000,1.567E+6,
75600006.000000,1.566E+6,
76000006.000000,1.568E+6,
76400006.000000,1.566E+6,
76800006.000000,1.568E+6,
77200006.000000,1.566E+6,
77600006.000000,1.567E+6,
78000006.000000,1.566E+6,
78400006.000000,1.566E+6,
78800006.000000,1.566E+6,
79200006.000000,1.566E+6,
79600006.000000,1.567E+6,
80000006.000000,1.566E+6,
80400006.000000,1.566E+6,
80800006.000000,1.568E+6,
81200006.000000,1.564E+6,
81600006.000000,1.567E+6,
82000006.000000,1.567E+6,
82400006.000000,1.567E+6,
82800006.000000,1.567E+6,
83200007.000000,1.568E+6,
83600007.000000,1.566E+6,
84000007.000000,1.567E+6,
84400007.000000,1.565E+6,
84800007.000000,1.567E+6,
85200007.000000,1.566E+6,
85600007.000000,1.566E+6,
86000007.000000,1.567E+6,
86400007.000000,1.568E+6,
86800007.000000,1.565E+6,
87200007.000000,1.568E+6,
87600007.000000,1.569E+6,
88000007.000000,1.567E+6,
88400007.000000,1.566E+6,
88800007.000000,1.567E+6,
89200007.000000,1.565E+6,
89600007.000000,1.568E+6,
90000007.000000,1.567E+6,
90400007.000000,1.567E+6,
90800007.000000,1.566E+6,
91200007.000000,1.566E+6,
91600007.000000,1.566E+6,
92000007.000000,1.567E+6,
92400007.000000,1.566E+6,
92800007.000000,1.567E+6,
93200007.000000,1.566E+6,
93600007.000000,1.566E+6,
94000007.000000,1.566E+6,
94400007.000000,1.567E+6,
94800007.000000,1.565E+6,
95200007.000000,1.565E+6,
95600007.000000,1.566E+6,
96000008.000000,1.565E+6,
96400008.000000,1.567E+6,
96800008.000000,1.564E+6,
97200008.000000,1.565E+6,
97600008.000000,1.567E+6,
98000008.000000,1.566E+6,
98400008.000000,1.567E+6,
98800008.000000,1.566E+6,
99200008.000000,1.565E+6,
99600008.000000,1.565E+6,
1E08,1.549E+6,
1.004E008,1.525E+6,
1.008E008,1.499E+6,
1.012E008,1.471E+6,
1.016E008,1.446E+6,
1.02E08,1.416E+6,
1.024E008,1.393E+6,
1.028E008,1.365E+6,
1.032E008,1.339E+6,
1.036E008,1.312E+6,
1.04E08,1.286E+6,
1.044E008,1.262E+6,
1.048E008,1.237E+6,
1.052E008,1.209E+6,
1.056E008,1.187E+6,
1.06E08,1.162E+6,
1.064E008,1.138E+6,
1.068E008,1.112E+6,
1.072E008,1.091E+6,
1.076E008,1.065E+6,
1.08E08,1.043E+6,
1.084E008,1.020E+6,
1.088E008,9.985E+5,
1.092E008,9.769E+5,
1.096E008,9.538E+5,
1.1E08,9.320E+5,
1.104E008,9.103E+5,
1.108E008,8.906E+5,
1.112E008,8.718E+5,
1.116E008,8.481E+5,
1.12E08,8.289E+5,
1.124E008,8.100E+5,
1.128E008,7.910E+5,
1.132E008,7.718E+5,
1.136E008,7.542E+5,
1.14E08,7.352E+5,
1.144E008,7.190E+5,
1.148E008,7.005E+5,
1.152E008,6.836E+5,
1.156E008,6.676E+5,
1.16E08,6.497E+5,
1.164E008,6.327E+5,
1.168E008,6.163E+5,
1.172E008,6.011E+5,
1.176E008,5.854E+5,
1.18E08,5.700E+5,
1.184E008,5.566E+5,
1.188E008,5.412E+5,
1.192E008,5.278E+5,
1.196E008,5.135E+5,
1.2E08,4.989E+5,
1.204E008,4.867E+5,
1.208E008,4.736E+5,
1.212E008,4.625E+5,
1.216E008,4.485E+5,
1.22E08,4.356E+5,
1.224E008,4.248E+5,
1.228E008,4.131E+5,
1.232E008,4.024E+5,
1.236E008,3.907E+5,
1.24E08,3.793E+5,
1.244E008,3.704E+5,
1.248E008,3.601E+5,
1.252E008,3.499E+5,
1.256E008,3.393E+5,
1.26E08,3.306E+5,
1.264E008,3.227E+5,
1.268E008,3.131E+5,
1.272E008,3.036E+5,
1.276E008,2.966E+5,
1.28E08,2.881E+5,
1.284E008,2.787E+5,
1.288E008,2.709E+5,
1.292E008,2.632E+5,
