Labels,T1_100ms_pump,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,9.557E+3,
4E05,2.979E+4,
800000.060000,4.989E+4,
1.2E06,6.753E+4,
1.6E06,8.430E+4,
2E06,1.005E+5,
2.4E06,1.150E+5,
2.8E06,1.292E+5,
3.2E06,1.427E+5,
3.6E06,1.540E+5,
4E06,1.667E+5,
4.4E06,1.774E+5,
4.8E06,1.877E+5,
5.2E06,1.979E+5,
5.6E06,2.069E+5,
6E06,2.158E+5,
6400000.500000,2.242E+5,
6800000.500000,2.326E+5,
7200000.600000,2.403E+5,
7600000.600000,2.482E+5,
8000000.600000,2.548E+5,
8400000.700000,2.612E+5,
8800000.700000,2.676E+5,
9200000.700000,2.741E+5,
9600000.800000,2.797E+5,
1E07,2.852E+5,
1.04E07,2.902E+5,
1.08E07,2.953E+5,
1.12E07,3.003E+5,
1.16E07,3.053E+5,
1.2E07,3.092E+5,
1.24E07,3.130E+5,
1.28E07,3.171E+5,
1.32E07,3.204E+5,
1.36E07,3.249E+5,
1.4E07,3.290E+5,
1.44E07,3.319E+5,
1.48E07,3.349E+5,
1.52E07,3.377E+5,
1.56E07,3.414E+5,
1.6E07,3.445E+5,
1.64E07,3.473E+5,
1.68E07,3.497E+5,
1.72E07,3.517E+5,
1.76E07,3.541E+5,
1.8E07,3.579E+5,
1.84E07,3.590E+5,
1.88E07,3.620E+5,
1.92E07,3.633E+5,
1.96E07,3.659E+5,
2E07,3.672E+5,
2.04E07,3.703E+5,
2.08E07,3.715E+5,
2.12E07,3.728E+5,
2.16E07,3.751E+5,
2.2E07,3.765E+5,
2.24E07,3.785E+5,
2.28E07,3.802E+5,
2.32E07,3.820E+5,
2.36E07,3.835E+5,
2.4E07,3.849E+5,
2.44E07,3.861E+5,
2.48E07,3.873E+5,
2.52E07,3.888E+5,
2.56E07,3.884E+5,
2.6E07,3.906E+5,
2.64E07,3.905E+5,
2.68E07,3.922E+5,
2.72E07,3.936E+5,
2.76E07,3.946E+5,
2.8E07,3.958E+5,
2.84E07,3.959E+5,
2.88E07,3.976E+5,
2.92E07,3.987E+5,
2.96E07,3.989E+5,
3E07,4.000E+5,
3.04E07,4.003E+5,
3.08E07,4.015E+5,
3.12E07,4.016E+5,
3.16E07,4.029E+5,
3.2E07,4.038E+5,
3.24E07,4.046E+5,
3.28E07,4.054E+5,
3.32E07,4.056E+5,
3.36E07,4.070E+5,
3.4E07,4.076E+5,
3.44E07,4.087E+5,
3.48E07,4.079E+5,
3.52E07,4.085E+5,
3.56E07,4.095E+5,
3.6E07,4.103E+5,
3.64E07,4.104E+5,
3.68E07,4.116E+5,
3.72E07,4.109E+5,
3.76E07,4.117E+5,
3.8E07,4.125E+5,
3.84E07,4.126E+5,
3.88E07,4.137E+5,
3.92E07,4.136E+5,
3.96E07,4.132E+5,
4E07,4.142E+5,
4.04E07,4.153E+5,
4.08E07,4.144E+5,
4.12E07,4.145E+5,
4.16E07,4.159E+5,
4.2E07,4.158E+5,
4.24E07,4.155E+5,
4.28E07,4.156E+5,
4.32E07,4.163E+5,
4.36E07,4.170E+5,
4.4E07,4.162E+5,
4.44E07,4.178E+5,
4.48E07,4.173E+5,
4.52E07,4.180E+5,
4.56E07,4.185E+5,
4.6E07,4.170E+5,
4.64E07,4.173E+5,
4.68E07,4.179E+5,
4.72E07,4.194E+5,
4.76E07,4.190E+5,
4.8E07,4.191E+5,
4.84E07,4.196E+5,
4.88E07,4.192E+5,
4.92E07,4.205E+5,
4.96E07,4.196E+5,
5E07,4.207E+5,
5.04E07,4.201E+5,
5.08E07,4.208E+5,
5.12E07,4.210E+5,
5.16E07,4.203E+5,
5.2E07,4.203E+5,
5.24E07,4.198E+5,
5.28E07,4.210E+5,
5.32E07,4.202E+5,
5.36E07,4.216E+5,
5.4E07,4.215E+5,
5.44E07,4.215E+5,
5.48E07,4.217E+5,
5.52E07,4.219E+5,
5.56E07,4.224E+5,
5.6E07,4.214E+5,
5.64E07,4.223E+5,
5.68E07,4.216E+5,
5.72E07,4.222E+5,
5.76E07,4.222E+5,
5.8E07,4.225E+5,
5.84E07,4.219E+5,
5.88E07,4.224E+5,
5.92E07,4.223E+5,
5.96E07,4.238E+5,
6E07,4.232E+5,
6.04E07,4.226E+5,
6.08E07,4.225E+5,
6.12E07,4.228E+5,
6.16E07,4.233E+5,
6.2E07,4.230E+5,
6.24E07,4.231E+5,
6.28E07,4.234E+5,
6.32E07,4.226E+5,
6.36E07,4.233E+5,
64000005.000000,4.232E+5,
64400005.000000,4.232E+5,
64800005.000000,4.228E+5,
65200005.000000,4.233E+5,
65600005.000000,4.238E+5,
66000005.000000,4.236E+5,
66400005.000000,4.242E+5,
66800005.000000,4.237E+5,
67200005.000000,4.235E+5,
67600005.000000,4.233E+5,
68000005.000000,4.245E+5,
68400005.000000,4.238E+5,
68800005.000000,4.234E+5,
69200005.000000,4.237E+5,
69600005.000000,4.243E+5,
70000005.000000,4.241E+5,
70400006.000000,4.236E+5,
70800006.000000,4.238E+5,
71200006.000000,4.228E+5,
71600006.000000,4.236E+5,
72000006.000000,4.247E+5,
72400006.000000,4.241E+5,
72800006.000000,4.240E+5,
73200006.000000,4.243E+5,
73600006.000000,4.243E+5,
74000006.000000,4.247E+5,
74400006.000000,4.237E+5,
74800006.000000,4.237E+5,
75200006.000000,4.243E+5,
75600006.000000,4.244E+5,
76000006.000000,4.233E+5,
76400006.000000,4.240E+5,
76800006.000000,4.239E+5,
77200006.000000,4.247E+5,
77600006.000000,4.245E+5,
78000006.000000,4.253E+5,
78400006.000000,4.247E+5,
78800006.000000,4.241E+5,
79200006.000000,4.244E+5,
79600006.000000,4.240E+5,
80000006.000000,4.247E+5,
80400006.000000,4.239E+5,
80800006.000000,4.245E+5,
81200006.000000,4.246E+5,
81600006.000000,4.241E+5,
82000006.000000,4.247E+5,
82400006.000000,4.246E+5,
82800006.000000,4.249E+5,
83200007.000000,4.252E+5,
83600007.000000,4.242E+5,
84000007.000000,4.248E+5,
84400007.000000,4.242E+5,
84800007.000000,4.244E+5,
85200007.000000,4.249E+5,
85600007.000000,4.250E+5,
86000007.000000,4.248E+5,
86400007.000000,4.245E+5,
86800007.000000,4.247E+5,
87200007.000000,4.252E+5,
87600007.000000,4.247E+5,
88000007.000000,4.248E+5,
88400007.000000,4.248E+5,
88800007.000000,4.250E+5,
89200007.000000,4.253E+5,
89600007.000000,4.257E+5,
90000007.000000,4.240E+5,
90400007.000000,4.244E+5,
90800007.000000,4.242E+5,
91200007.000000,4.238E+5,
91600007.000000,4.253E+5,
92000007.000000,4.250E+5,
92400007.000000,4.246E+5,
92800007.000000,4.248E+5,
93200007.000000,4.248E+5,
93600007.000000,4.252E+5,
94000007.000000,4.244E+5,
94400007.000000,4.252E+5,
94800007.000000,4.256E+5,
95200007.000000,4.249E+5,
95600007.000000,4.249E+5,
96000008.000000,4.246E+5,
96400008.000000,4.244E+5,
96800008.000000,4.256E+5,
97200008.000000,4.252E+5,
97600008.000000,4.251E+5,
98000008.000000,4.245E+5,
98400008.000000,4.252E+5,
98800008.000000,4.240E+5,
99200008.000000,4.189E+5,
99600008.000000,4.104E+5,
1E08,4.018E+5,
1.004E008,3.942E+5,
1.008E008,3.863E+5,
1.012E008,3.787E+5,
1.016E008,3.706E+5,
1.02E08,3.637E+5,
1.024E008,3.547E+5,
1.028E008,3.476E+5,
1.032E008,3.409E+5,
1.036E008,3.336E+5,
1.04E08,3.254E+5,
1.044E008,3.186E+5,
1.048E008,3.123E+5,
1.052E008,3.038E+5,
1.056E008,2.967E+5,
1.06E08,2.907E+5,
1.064E008,2.837E+5,
1.068E008,2.775E+5,
1.072E008,2.701E+5,
1.076E008,2.640E+5,
1.08E08,2.583E+5,
1.084E008,2.524E+5,
1.088E008,2.462E+5,
1.092E008,2.410E+5,
1.096E008,2.344E+5,
1.1E08,2.289E+5,
1.104E008,2.231E+5,
1.108E008,2.175E+5,
1.112E008,2.133E+5,
1.116E008,2.073E+5,
1.12E08,2.018E+5,
1.124E008,1.966E+5,
1.128E008,1.919E+5,
1.132E008,1.869E+5,
1.136E008,1.824E+5,
1.14E08,1.774E+5,
1.144E008,1.727E+5,
1.148E008,1.691E+5,
1.152E008,1.640E+5,
1.156E008,1.605E+5,
1.16E08,1.562E+5,
1.164E008,1.516E+5,
1.168E008,1.485E+5,
1.172E008,1.443E+5,
1.176E008,1.401E+5,
1.18E08,1.361E+5,
1.184E008,1.325E+5,
1.188E008,1.302E+5,
1.192E008,1.268E+5,
1.196E008,1.228E+5,
1.2E08,1.197E+5,
1.204E008,1.158E+5,
1.208E008,1.135E+5,
1.212E008,1.101E+5,
1.216E008,1.072E+5,
1.22E08,1.048E+5,
1.224E008,1.015E+5,
1.228E008,9.828E+4,
1.232E008,9.618E+4,
1.236E008,9.397E+4,
1.24E08,9.119E+4,
1.244E008,8.828E+4,
1.248E008,8.595E+4,
1.252E008,8.412E+4,
1.256E008,8.155E+4,
1.26E08,7.883E+4,
1.264E008,7.724E+4,
1.268E008,7.552E+4,
1.272E008,7.306E+4,
1.276E008,7.136E+4,
1.28E08,6.950E+4,
1.284E008,6.704E+4,
1.288E008,6.564E+4,
1.292E008,6.355E+4,
