Labels,amplitude_3_5sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.679E+4,
4E05,5.032E+4,
800000.060000,6.094E+4,
1.2E06,6.496E+4,
1.6E06,6.632E+4,
2E06,6.680E+4,
2.4E06,6.684E+4,
2.8E06,6.629E+4,
3.2E06,6.624E+4,
3.6E06,6.637E+4,
4E06,6.635E+4,
4.4E06,6.688E+4,
4.8E06,6.624E+4,
5.2E06,6.499E+4,
5.6E06,6.454E+4,
6E06,6.374E+4,
6400000.500000,6.291E+4,
6800000.500000,6.204E+4,
7200000.600000,6.204E+4,
7600000.600000,6.177E+4,
8000000.600000,6.131E+4,
8400000.700000,6.191E+4,
8800000.700000,6.163E+4,
9200000.700000,6.160E+4,
9600000.800000,6.163E+4,
1E07,6.156E+4,
1.04E07,6.143E+4,
1.08E07,6.127E+4,
1.12E07,6.120E+4,
1.16E07,6.107E+4,
1.2E07,6.095E+4,
1.24E07,6.088E+4,
1.28E07,6.092E+4,
1.32E07,6.074E+4,
1.36E07,6.096E+4,
1.4E07,6.055E+4,
1.44E07,6.081E+4,
1.48E07,6.113E+4,
1.52E07,6.071E+4,
1.56E07,6.094E+4,
1.6E07,6.037E+4,
1.64E07,6.079E+4,
1.68E07,6.047E+4,
1.72E07,6.050E+4,
1.76E07,6.058E+4,
1.8E07,6.048E+4,
1.84E07,6.023E+4,
1.88E07,6.022E+4,
1.92E07,6.043E+4,
1.96E07,6.013E+4,
2E07,6.049E+4,
2.04E07,6.015E+4,
2.08E07,6.031E+4,
2.12E07,5.992E+4,
2.16E07,6.014E+4,
2.2E07,6.051E+4,
2.24E07,6.016E+4,
2.28E07,5.987E+4,
2.32E07,6.013E+4,
2.36E07,6.041E+4,
2.4E07,5.993E+4,
2.44E07,6.007E+4,
2.48E07,6.027E+4,
2.52E07,6.012E+4,
2.56E07,6.035E+4,
2.6E07,6.012E+4,
2.64E07,6.038E+4,
2.68E07,6.025E+4,
2.72E07,6.031E+4,
2.76E07,6.019E+4,
2.8E07,5.978E+4,
2.84E07,6.020E+4,
2.88E07,6.011E+4,
2.92E07,6.016E+4,
2.96E07,6.020E+4,
3E07,6.012E+4,
3.04E07,6.000E+4,
3.08E07,6.050E+4,
3.12E07,6.047E+4,
3.16E07,6.035E+4,
3.2E07,5.991E+4,
3.24E07,5.989E+4,
3.28E07,6.007E+4,
3.32E07,5.992E+4,
3.36E07,6.031E+4,
3.4E07,6.017E+4,
3.44E07,6.051E+4,
3.48E07,6.023E+4,
3.52E07,6.040E+4,
3.56E07,6.004E+4,
3.6E07,6.013E+4,
3.64E07,6.043E+4,
3.68E07,6.018E+4,
3.72E07,6.000E+4,
3.76E07,6.013E+4,
3.8E07,5.991E+4,
3.84E07,6.028E+4,
3.88E07,6.036E+4,
3.92E07,5.994E+4,
3.96E07,6.046E+4,
4E07,6.008E+4,
4.04E07,6.023E+4,
4.08E07,6.047E+4,
4.12E07,6.014E+4,
4.16E07,6.030E+4,
4.2E07,6.021E+4,
4.24E07,6.047E+4,
4.28E07,6.018E+4,
4.32E07,6.047E+4,
4.36E07,6.029E+4,
4.4E07,6.018E+4,
4.44E07,6.039E+4,
4.48E07,6.055E+4,
4.52E07,6.051E+4,
4.56E07,6.064E+4,
4.6E07,6.043E+4,
4.64E07,6.051E+4,
4.68E07,6.035E+4,
4.72E07,6.025E+4,
4.76E07,6.027E+4,
4.8E07,6.019E+4,
4.84E07,6.077E+4,
4.88E07,6.025E+4,
4.92E07,6.047E+4,
4.96E07,6.039E+4,
5E07,6.049E+4,
5.04E07,6.046E+4,
5.08E07,6.046E+4,
5.12E07,6.067E+4,
5.16E07,6.043E+4,
5.2E07,6.030E+4,
5.24E07,6.049E+4,
5.28E07,6.070E+4,
5.32E07,6.055E+4,
5.36E07,6.059E+4,
5.4E07,6.046E+4,
5.44E07,6.051E+4,
5.48E07,6.046E+4,
5.52E07,6.058E+4,
5.56E07,6.050E+4,
5.6E07,6.052E+4,
5.64E07,6.070E+4,
5.68E07,6.067E+4,
5.72E07,6.065E+4,
5.76E07,6.055E+4,
5.8E07,6.088E+4,
5.84E07,6.046E+4,
5.88E07,6.081E+4,
5.92E07,6.073E+4,
5.96E07,6.048E+4,
6E07,6.032E+4,
6.04E07,6.064E+4,
6.08E07,6.081E+4,
6.12E07,6.064E+4,
6.16E07,6.094E+4,
6.2E07,6.081E+4,
6.24E07,6.055E+4,
6.28E07,6.096E+4,
6.32E07,6.088E+4,
6.36E07,6.065E+4,
64000005.000000,6.052E+4,
64400005.000000,6.110E+4,
64800005.000000,6.099E+4,
65200005.000000,6.068E+4,
65600005.000000,6.089E+4,
66000005.000000,6.058E+4,
66400005.000000,6.083E+4,
66800005.000000,6.101E+4,
67200005.000000,6.088E+4,
67600005.000000,6.045E+4,
68000005.000000,6.091E+4,
68400005.000000,6.070E+4,
68800005.000000,6.078E+4,
69200005.000000,6.090E+4,
69600005.000000,6.061E+4,
70000005.000000,6.092E+4,
70400006.000000,6.123E+4,
70800006.000000,6.088E+4,
71200006.000000,6.098E+4,
71600006.000000,6.077E+4,
72000006.000000,6.084E+4,
72400006.000000,6.095E+4,
72800006.000000,6.086E+4,
73200006.000000,6.100E+4,
73600006.000000,6.082E+4,
74000006.000000,6.098E+4,
74400006.000000,6.122E+4,
74800006.000000,6.132E+4,
75200006.000000,6.090E+4,
75600006.000000,6.108E+4,
76000006.000000,6.096E+4,
76400006.000000,6.092E+4,
76800006.000000,6.088E+4,
77200006.000000,6.091E+4,
77600006.000000,6.082E+4,
78000006.000000,6.088E+4,
78400006.000000,6.096E+4,
78800006.000000,6.103E+4,
79200006.000000,6.120E+4,
79600006.000000,6.098E+4,
80000006.000000,6.100E+4,
80400006.000000,6.133E+4,
80800006.000000,6.093E+4,
81200006.000000,6.106E+4,
81600006.000000,6.104E+4,
82000006.000000,6.088E+4,
82400006.000000,6.073E+4,
82800006.000000,6.127E+4,
83200007.000000,6.126E+4,
83600007.000000,6.111E+4,
84000007.000000,6.150E+4,
84400007.000000,6.119E+4,
84800007.000000,6.150E+4,
85200007.000000,6.126E+4,
85600007.000000,6.112E+4,
86000007.000000,6.137E+4,
86400007.000000,6.127E+4,
86800007.000000,6.115E+4,
87200007.000000,6.148E+4,
87600007.000000,6.107E+4,
88000007.000000,6.107E+4,
88400007.000000,6.151E+4,
88800007.000000,6.137E+4,
89200007.000000,6.135E+4,
89600007.000000,6.140E+4,
90000007.000000,6.148E+4,
90400007.000000,6.126E+4,
90800007.000000,6.132E+4,
91200007.000000,6.116E+4,
91600007.000000,6.122E+4,
92000007.000000,6.119E+4,
92400007.000000,6.159E+4,
92800007.000000,6.144E+4,
93200007.000000,6.144E+4,
93600007.000000,6.134E+4,
94000007.000000,6.131E+4,
94400007.000000,6.123E+4,
94800007.000000,6.136E+4,
95200007.000000,6.151E+4,
95600007.000000,6.141E+4,
96000008.000000,6.141E+4,
96400008.000000,6.155E+4,
96800008.000000,6.123E+4,
97200008.000000,6.130E+4,
97600008.000000,6.164E+4,
98000008.000000,6.137E+4,
98400008.000000,6.170E+4,
98800008.000000,6.160E+4,
99200008.000000,6.133E+4,
99600008.000000,6.165E+4,
1E08,6.148E+4,
1.004E008,6.167E+4,
1.008E008,6.214E+4,
1.012E008,6.259E+4,
1.016E008,6.333E+4,
1.02E08,6.349E+4,
1.024E008,6.435E+4,
1.028E008,6.484E+4,
1.032E008,6.552E+4,
1.036E008,6.572E+4,
1.04E08,6.588E+4,
1.044E008,6.612E+4,
1.048E008,6.640E+4,
1.052E008,6.648E+4,
1.056E008,6.656E+4,
1.06E08,6.634E+4,
1.064E008,6.602E+4,
1.068E008,6.604E+4,
1.072E008,6.607E+4,
1.076E008,6.551E+4,
1.08E08,6.472E+4,
1.084E008,6.495E+4,
1.088E008,6.399E+4,
1.092E008,6.399E+4,
1.096E008,6.287E+4,
1.1E08,6.188E+4,
1.104E008,6.106E+4,
1.108E008,6.072E+4,
1.112E008,5.968E+4,
1.116E008,5.872E+4,
1.12E08,5.796E+4,
1.124E008,5.705E+4,
1.128E008,5.605E+4,
1.132E008,5.515E+4,
1.136E008,5.429E+4,
1.14E08,5.336E+4,
1.144E008,5.188E+4,
1.148E008,5.147E+4,
1.152E008,4.995E+4,
1.156E008,4.904E+4,
1.16E08,4.802E+4,
1.164E008,4.695E+4,
1.168E008,4.569E+4,
1.172E008,4.494E+4,
1.176E008,4.347E+4,
1.18E08,4.270E+4,
1.184E008,4.173E+4,
1.188E008,4.052E+4,
1.192E008,3.927E+4,
1.196E008,3.834E+4,
1.2E08,3.723E+4,
1.204E008,3.615E+4,
1.208E008,3.528E+4,
1.212E008,3.417E+4,
1.216E008,3.339E+4,
1.22E08,3.231E+4,
1.224E008,3.141E+4,
1.228E008,3.041E+4,
1.232E008,2.961E+4,
1.236E008,2.866E+4,
1.24E08,2.762E+4,
1.244E008,2.678E+4,
1.248E008,2.586E+4,
1.252E008,2.469E+4,
1.256E008,2.408E+4,
1.26E08,2.341E+4,
1.264E008,2.262E+4,
1.268E008,2.182E+4,
1.272E008,2.118E+4,
1.276E008,2.052E+4,
1.28E08,1.989E+4,
1.284E008,1.922E+4,
1.288E008,1.830E+4,
1.292E008,1.774E+4,
