Labels,amplitude_6p5_10sweeps,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,3.614E+4,
4E05,1.062E+5,
800000.060000,1.266E+5,
1.2E06,1.318E+5,
1.6E06,1.322E+5,
2E06,1.327E+5,
2.4E06,1.331E+5,
2.8E06,1.330E+5,
3.2E06,1.314E+5,
3.6E06,1.300E+5,
4E06,1.295E+5,
4.4E06,1.291E+5,
4.8E06,1.292E+5,
5.2E06,1.282E+5,
5.6E06,1.280E+5,
6E06,1.278E+5,
6400000.500000,1.282E+5,
6800000.500000,1.278E+5,
7200000.600000,1.275E+5,
7600000.600000,1.277E+5,
8000000.600000,1.265E+5,
8400000.700000,1.271E+5,
8800000.700000,1.263E+5,
9200000.700000,1.267E+5,
9600000.800000,1.264E+5,
1E07,1.262E+5,
1.04E07,1.263E+5,
1.08E07,1.261E+5,
1.12E07,1.258E+5,
1.16E07,1.260E+5,
1.2E07,1.257E+5,
1.24E07,1.254E+5,
1.28E07,1.254E+5,
1.32E07,1.253E+5,
1.36E07,1.251E+5,
1.4E07,1.246E+5,
1.44E07,1.251E+5,
1.48E07,1.243E+5,
1.52E07,1.250E+5,
1.56E07,1.239E+5,
1.6E07,1.242E+5,
1.64E07,1.245E+5,
1.68E07,1.245E+5,
1.72E07,1.237E+5,
1.76E07,1.244E+5,
1.8E07,1.241E+5,
1.84E07,1.237E+5,
1.88E07,1.237E+5,
1.92E07,1.236E+5,
1.96E07,1.238E+5,
2E07,1.237E+5,
2.04E07,1.238E+5,
2.08E07,1.236E+5,
2.12E07,1.238E+5,
2.16E07,1.233E+5,
2.2E07,1.239E+5,
2.24E07,1.235E+5,
2.28E07,1.236E+5,
2.32E07,1.238E+5,
2.36E07,1.241E+5,
2.4E07,1.236E+5,
2.44E07,1.239E+5,
2.48E07,1.241E+5,
2.52E07,1.239E+5,
2.56E07,1.238E+5,
2.6E07,1.239E+5,
2.64E07,1.235E+5,
2.68E07,1.240E+5,
2.72E07,1.242E+5,
2.76E07,1.238E+5,
2.8E07,1.240E+5,
2.84E07,1.242E+5,
2.88E07,1.238E+5,
2.92E07,1.240E+5,
2.96E07,1.234E+5,
3E07,1.238E+5,
3.04E07,1.239E+5,
3.08E07,1.244E+5,
3.12E07,1.238E+5,
3.16E07,1.237E+5,
3.2E07,1.240E+5,
3.24E07,1.237E+5,
3.28E07,1.244E+5,
3.32E07,1.239E+5,
3.36E07,1.241E+5,
3.4E07,1.242E+5,
3.44E07,1.243E+5,
3.48E07,1.245E+5,
3.52E07,1.242E+5,
3.56E07,1.242E+5,
3.6E07,1.243E+5,
3.64E07,1.240E+5,
3.68E07,1.239E+5,
3.72E07,1.246E+5,
3.76E07,1.238E+5,
3.8E07,1.250E+5,
3.84E07,1.243E+5,
3.88E07,1.245E+5,
3.92E07,1.246E+5,
3.96E07,1.249E+5,
4E07,1.252E+5,
4.04E07,1.248E+5,
4.08E07,1.248E+5,
4.12E07,1.246E+5,
4.16E07,1.247E+5,
4.2E07,1.244E+5,
4.24E07,1.245E+5,
4.28E07,1.247E+5,
4.32E07,1.243E+5,
4.36E07,1.245E+5,
4.4E07,1.243E+5,
4.44E07,1.249E+5,
4.48E07,1.250E+5,
4.52E07,1.245E+5,
4.56E07,1.248E+5,
4.6E07,1.247E+5,
4.64E07,1.249E+5,
4.68E07,1.249E+5,
4.72E07,1.250E+5,
4.76E07,1.250E+5,
4.8E07,1.253E+5,
4.84E07,1.248E+5,
4.88E07,1.248E+5,
4.92E07,1.250E+5,
4.96E07,1.253E+5,
5E07,1.254E+5,
5.04E07,1.251E+5,
5.08E07,1.249E+5,
5.12E07,1.252E+5,
5.16E07,1.255E+5,
5.2E07,1.256E+5,
5.24E07,1.252E+5,
5.28E07,1.252E+5,
5.32E07,1.254E+5,
5.36E07,1.253E+5,
5.4E07,1.255E+5,
5.44E07,1.252E+5,
5.48E07,1.252E+5,
5.52E07,1.256E+5,
5.56E07,1.253E+5,
5.6E07,1.253E+5,
5.64E07,1.253E+5,
5.68E07,1.257E+5,
5.72E07,1.257E+5,
5.76E07,1.258E+5,
5.8E07,1.257E+5,
5.84E07,1.257E+5,
5.88E07,1.261E+5,
5.92E07,1.260E+5,
5.96E07,1.258E+5,
6E07,1.263E+5,
6.04E07,1.257E+5,
6.08E07,1.260E+5,
6.12E07,1.257E+5,
6.16E07,1.262E+5,
6.2E07,1.255E+5,
6.24E07,1.261E+5,
6.28E07,1.260E+5,
6.32E07,1.263E+5,
6.36E07,1.258E+5,
64000005.000000,1.265E+5,
64400005.000000,1.258E+5,
64800005.000000,1.260E+5,
65200005.000000,1.260E+5,
65600005.000000,1.265E+5,
66000005.000000,1.261E+5,
66400005.000000,1.265E+5,
66800005.000000,1.261E+5,
67200005.000000,1.259E+5,
67600005.000000,1.261E+5,
68000005.000000,1.263E+5,
68400005.000000,1.260E+5,
68800005.000000,1.260E+5,
69200005.000000,1.268E+5,
69600005.000000,1.264E+5,
70000005.000000,1.268E+5,
70400006.000000,1.261E+5,
70800006.000000,1.267E+5,
71200006.000000,1.272E+5,
71600006.000000,1.262E+5,
72000006.000000,1.265E+5,
72400006.000000,1.265E+5,
72800006.000000,1.263E+5,
73200006.000000,1.264E+5,
73600006.000000,1.261E+5,
74000006.000000,1.267E+5,
74400006.000000,1.266E+5,
74800006.000000,1.269E+5,
75200006.000000,1.266E+5,
75600006.000000,1.269E+5,
76000006.000000,1.271E+5,
76400006.000000,1.263E+5,
76800006.000000,1.266E+5,
77200006.000000,1.270E+5,
77600006.000000,1.268E+5,
78000006.000000,1.268E+5,
78400006.000000,1.266E+5,
78800006.000000,1.269E+5,
79200006.000000,1.266E+5,
79600006.000000,1.274E+5,
80000006.000000,1.271E+5,
80400006.000000,1.273E+5,
80800006.000000,1.267E+5,
81200006.000000,1.268E+5,
81600006.000000,1.270E+5,
82000006.000000,1.271E+5,
82400006.000000,1.276E+5,
82800006.000000,1.269E+5,
83200007.000000,1.271E+5,
83600007.000000,1.273E+5,
84000007.000000,1.276E+5,
84400007.000000,1.274E+5,
84800007.000000,1.273E+5,
85200007.000000,1.270E+5,
85600007.000000,1.274E+5,
86000007.000000,1.269E+5,
86400007.000000,1.275E+5,
86800007.000000,1.270E+5,
87200007.000000,1.274E+5,
87600007.000000,1.272E+5,
88000007.000000,1.276E+5,
88400007.000000,1.277E+5,
88800007.000000,1.269E+5,
89200007.000000,1.273E+5,
89600007.000000,1.275E+5,
90000007.000000,1.273E+5,
90400007.000000,1.272E+5,
90800007.000000,1.269E+5,
91200007.000000,1.275E+5,
91600007.000000,1.273E+5,
92000007.000000,1.276E+5,
92400007.000000,1.274E+5,
92800007.000000,1.275E+5,
93200007.000000,1.270E+5,
93600007.000000,1.275E+5,
94000007.000000,1.278E+5,
94400007.000000,1.276E+5,
94800007.000000,1.279E+5,
95200007.000000,1.277E+5,
95600007.000000,1.276E+5,
96000008.000000,1.278E+5,
96400008.000000,1.278E+5,
96800008.000000,1.277E+5,
97200008.000000,1.275E+5,
97600008.000000,1.278E+5,
98000008.000000,1.275E+5,
98400008.000000,1.275E+5,
98800008.000000,1.278E+5,
99200008.000000,1.278E+5,
99600008.000000,1.281E+5,
1E08,1.276E+5,
1.004E008,1.279E+5,
1.008E008,1.292E+5,
1.012E008,1.298E+5,
1.016E008,1.299E+5,
1.02E08,1.315E+5,
1.024E008,1.312E+5,
1.028E008,1.322E+5,
1.032E008,1.331E+5,
1.036E008,1.334E+5,
1.04E08,1.339E+5,
1.044E008,1.338E+5,
1.048E008,1.338E+5,
1.052E008,1.336E+5,
1.056E008,1.334E+5,
1.06E08,1.327E+5,
1.064E008,1.318E+5,
1.068E008,1.319E+5,
1.072E008,1.308E+5,
1.076E008,1.293E+5,
1.08E08,1.276E+5,
1.084E008,1.259E+5,
1.088E008,1.241E+5,
1.092E008,1.226E+5,
1.096E008,1.202E+5,
1.1E08,1.183E+5,
1.104E008,1.161E+5,
1.108E008,1.135E+5,
1.112E008,1.114E+5,
1.116E008,1.088E+5,
1.12E08,1.068E+5,
1.124E008,1.050E+5,
1.128E008,1.020E+5,
1.132E008,1.002E+5,
1.136E008,9.799E+4,
1.14E08,9.546E+4,
1.144E008,9.341E+4,
1.148E008,9.089E+4,
1.152E008,8.871E+4,
1.156E008,8.631E+4,
1.16E08,8.417E+4,
1.164E008,8.207E+4,
1.168E008,8.007E+4,
1.172E008,7.716E+4,
1.176E008,7.540E+4,
1.18E08,7.309E+4,
1.184E008,7.092E+4,
1.188E008,6.927E+4,
1.192E008,6.705E+4,
1.196E008,6.515E+4,
1.2E08,6.287E+4,
1.204E008,6.078E+4,
1.208E008,5.914E+4,
1.212E008,5.755E+4,
1.216E008,5.525E+4,
1.22E08,5.355E+4,
1.224E008,5.191E+4,
1.228E008,5.014E+4,
1.232E008,4.814E+4,
1.236E008,4.699E+4,
1.24E08,4.560E+4,
1.244E008,4.424E+4,
1.248E008,4.287E+4,
1.252E008,4.088E+4,
1.256E008,3.963E+4,
1.26E08,3.823E+4,
1.264E008,3.691E+4,
1.268E008,3.539E+4,
1.272E008,3.467E+4,
1.276E008,3.325E+4,
1.28E08,3.184E+4,
1.284E008,3.068E+4,
1.288E008,2.947E+4,
1.292E008,2.840E+4,
