Labels,5p5,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,3.996E008,
Step,4E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,2.733E+4,
4E05,8.661E+4,
800000.060000,1.430E+5,
1.2E06,1.954E+5,
1.6E06,2.447E+5,
2E06,2.913E+5,
2.4E06,3.336E+5,
2.8E06,3.718E+5,
3.2E06,4.107E+5,
3.6E06,4.470E+5,
4E06,4.797E+5,
4.4E06,5.111E+5,
4.8E06,5.403E+5,
5.2E06,5.663E+5,
5.6E06,5.956E+5,
6E06,6.201E+5,
6400000.500000,6.456E+5,
6800000.500000,6.682E+5,
7200000.600000,6.883E+5,
7600000.600000,7.094E+5,
8000000.600000,7.304E+5,
8400000.700000,7.482E+5,
8800000.700000,7.635E+5,
9200000.700000,7.821E+5,
9600000.800000,7.997E+5,
1E07,8.132E+5,
1.04E07,8.278E+5,
1.08E07,8.428E+5,
1.12E07,8.564E+5,
1.16E07,8.688E+5,
1.2E07,8.805E+5,
1.24E07,8.928E+5,
1.28E07,9.033E+5,
1.32E07,9.130E+5,
1.36E07,9.248E+5,
1.4E07,9.344E+5,
1.44E07,9.446E+5,
1.48E07,9.529E+5,
1.52E07,9.616E+5,
1.56E07,9.703E+5,
1.6E07,9.784E+5,
1.64E07,9.853E+5,
1.68E07,9.928E+5,
1.72E07,9.997E+5,
1.76E07,1.005E+6,
1.8E07,1.012E+6,
1.84E07,1.020E+6,
1.88E07,1.028E+6,
1.92E07,1.033E+6,
1.96E07,1.037E+6,
2E07,1.044E+6,
2.04E07,1.048E+6,
2.08E07,1.052E+6,
2.12E07,1.058E+6,
2.16E07,1.061E+6,
2.2E07,1.068E+6,
2.24E07,1.071E+6,
2.28E07,1.075E+6,
2.32E07,1.080E+6,
2.36E07,1.084E+6,
2.4E07,1.085E+6,
2.44E07,1.090E+6,
2.48E07,1.093E+6,
2.52E07,1.096E+6,
2.56E07,1.100E+6,
2.6E07,1.103E+6,
2.64E07,1.107E+6,
2.68E07,1.108E+6,
2.72E07,1.113E+6,
2.76E07,1.114E+6,
2.8E07,1.117E+6,
2.84E07,1.119E+6,
2.88E07,1.121E+6,
2.92E07,1.124E+6,
2.96E07,1.126E+6,
3E07,1.126E+6,
3.04E07,1.129E+6,
3.08E07,1.133E+6,
3.12E07,1.132E+6,
3.16E07,1.135E+6,
3.2E07,1.137E+6,
3.24E07,1.139E+6,
3.28E07,1.142E+6,
3.32E07,1.142E+6,
3.36E07,1.141E+6,
3.4E07,1.145E+6,
3.44E07,1.147E+6,
3.48E07,1.148E+6,
3.52E07,1.148E+6,
3.56E07,1.150E+6,
3.6E07,1.152E+6,
3.64E07,1.153E+6,
3.68E07,1.155E+6,
3.72E07,1.156E+6,
3.76E07,1.156E+6,
3.8E07,1.156E+6,
3.84E07,1.157E+6,
3.88E07,1.160E+6,
3.92E07,1.160E+6,
3.96E07,1.159E+6,
4E07,1.162E+6,
4.04E07,1.162E+6,
4.08E07,1.163E+6,
4.12E07,1.164E+6,
4.16E07,1.166E+6,
4.2E07,1.166E+6,
4.24E07,1.166E+6,
4.28E07,1.166E+6,
4.32E07,1.169E+6,
4.36E07,1.168E+6,
4.4E07,1.170E+6,
4.44E07,1.170E+6,
4.48E07,1.169E+6,
4.52E07,1.170E+6,
4.56E07,1.170E+6,
4.6E07,1.172E+6,
4.64E07,1.173E+6,
4.68E07,1.172E+6,
4.72E07,1.174E+6,
4.76E07,1.173E+6,
4.8E07,1.175E+6,
4.84E07,1.175E+6,
4.88E07,1.173E+6,
4.92E07,1.174E+6,
4.96E07,1.176E+6,
5E07,1.175E+6,
5.04E07,1.176E+6,
5.08E07,1.176E+6,
5.12E07,1.179E+6,
5.16E07,1.176E+6,
5.2E07,1.178E+6,
5.24E07,1.177E+6,
5.28E07,1.177E+6,
5.32E07,1.177E+6,
5.36E07,1.179E+6,
5.4E07,1.180E+6,
5.44E07,1.178E+6,
5.48E07,1.178E+6,
5.52E07,1.178E+6,
5.56E07,1.180E+6,
5.6E07,1.180E+6,
5.64E07,1.180E+6,
5.68E07,1.180E+6,
5.72E07,1.180E+6,
5.76E07,1.180E+6,
5.8E07,1.180E+6,
5.84E07,1.181E+6,
5.88E07,1.181E+6,
5.92E07,1.180E+6,
5.96E07,1.180E+6,
6E07,1.180E+6,
6.04E07,1.182E+6,
6.08E07,1.181E+6,
6.12E07,1.182E+6,
6.16E07,1.182E+6,
6.2E07,1.183E+6,
6.24E07,1.183E+6,
6.28E07,1.182E+6,
6.32E07,1.182E+6,
6.36E07,1.183E+6,
64000005.000000,1.182E+6,
64400005.000000,1.181E+6,
64800005.000000,1.183E+6,
65200005.000000,1.183E+6,
65600005.000000,1.182E+6,
66000005.000000,1.183E+6,
66400005.000000,1.182E+6,
66800005.000000,1.183E+6,
67200005.000000,1.183E+6,
67600005.000000,1.183E+6,
68000005.000000,1.183E+6,
68400005.000000,1.184E+6,
68800005.000000,1.184E+6,
69200005.000000,1.183E+6,
69600005.000000,1.185E+6,
70000005.000000,1.184E+6,
70400006.000000,1.183E+6,
70800006.000000,1.183E+6,
71200006.000000,1.185E+6,
71600006.000000,1.183E+6,
72000006.000000,1.183E+6,
72400006.000000,1.184E+6,
72800006.000000,1.184E+6,
73200006.000000,1.184E+6,
73600006.000000,1.183E+6,
74000006.000000,1.184E+6,
74400006.000000,1.185E+6,
74800006.000000,1.184E+6,
75200006.000000,1.184E+6,
75600006.000000,1.185E+6,
76000006.000000,1.184E+6,
76400006.000000,1.185E+6,
76800006.000000,1.182E+6,
77200006.000000,1.183E+6,
77600006.000000,1.185E+6,
78000006.000000,1.184E+6,
78400006.000000,1.184E+6,
78800006.000000,1.184E+6,
79200006.000000,1.184E+6,
79600006.000000,1.184E+6,
80000006.000000,1.184E+6,
80400006.000000,1.185E+6,
80800006.000000,1.183E+6,
81200006.000000,1.183E+6,
81600006.000000,1.184E+6,
82000006.000000,1.185E+6,
82400006.000000,1.184E+6,
82800006.000000,1.185E+6,
83200007.000000,1.183E+6,
83600007.000000,1.184E+6,
84000007.000000,1.183E+6,
84400007.000000,1.184E+6,
84800007.000000,1.185E+6,
85200007.000000,1.183E+6,
85600007.000000,1.184E+6,
86000007.000000,1.182E+6,
86400007.000000,1.184E+6,
86800007.000000,1.186E+6,
87200007.000000,1.184E+6,
87600007.000000,1.184E+6,
88000007.000000,1.183E+6,
88400007.000000,1.184E+6,
88800007.000000,1.184E+6,
89200007.000000,1.184E+6,
89600007.000000,1.184E+6,
90000007.000000,1.183E+6,
90400007.000000,1.185E+6,
90800007.000000,1.184E+6,
91200007.000000,1.184E+6,
91600007.000000,1.185E+6,
92000007.000000,1.184E+6,
92400007.000000,1.184E+6,
92800007.000000,1.184E+6,
93200007.000000,1.185E+6,
93600007.000000,1.184E+6,
94000007.000000,1.184E+6,
94400007.000000,1.184E+6,
94800007.000000,1.184E+6,
95200007.000000,1.182E+6,
95600007.000000,1.186E+6,
96000008.000000,1.183E+6,
96400008.000000,1.183E+6,
96800008.000000,1.184E+6,
97200008.000000,1.185E+6,
97600008.000000,1.186E+6,
98000008.000000,1.183E+6,
98400008.000000,1.184E+6,
98800008.000000,1.183E+6,
99200008.000000,1.183E+6,
99600008.000000,1.184E+6,
1E08,1.169E+6,
1.004E008,1.146E+6,
1.008E008,1.120E+6,
1.012E008,1.095E+6,
1.016E008,1.071E+6,
1.02E08,1.047E+6,
1.024E008,1.023E+6,
1.028E008,9.990E+5,
1.032E008,9.765E+5,
1.036E008,9.550E+5,
1.04E08,9.342E+5,
1.044E008,9.107E+5,
1.048E008,8.900E+5,
1.052E008,8.671E+5,
1.056E008,8.466E+5,
1.06E08,8.264E+5,
1.064E008,8.066E+5,
1.068E008,7.888E+5,
1.072E008,7.695E+5,
1.076E008,7.511E+5,
1.08E08,7.336E+5,
1.084E008,7.153E+5,
1.088E008,6.968E+5,
1.092E008,6.791E+5,
1.096E008,6.642E+5,
1.1E08,6.450E+5,
1.104E008,6.284E+5,
1.108E008,6.125E+5,
1.112E008,5.986E+5,
1.116E008,5.832E+5,
1.12E08,5.670E+5,
1.124E008,5.538E+5,
1.128E008,5.390E+5,
1.132E008,5.231E+5,
1.136E008,5.104E+5,
1.14E08,4.974E+5,
1.144E008,4.856E+5,
1.148E008,4.707E+5,
1.152E008,4.578E+5,
1.156E008,4.467E+5,
1.16E08,4.341E+5,
1.164E008,4.222E+5,
1.168E008,4.110E+5,
1.172E008,4.000E+5,
1.176E008,3.892E+5,
1.18E08,3.783E+5,
1.184E008,3.685E+5,
1.188E008,3.582E+5,
1.192E008,3.477E+5,
1.196E008,3.382E+5,
1.2E08,3.290E+5,
1.204E008,3.192E+5,
1.208E008,3.122E+5,
1.212E008,3.031E+5,
1.216E008,2.942E+5,
1.22E08,2.862E+5,
1.224E008,2.778E+5,
1.228E008,2.694E+5,
1.232E008,2.627E+5,
1.236E008,2.557E+5,
1.24E08,2.477E+5,
1.244E008,2.406E+5,
1.248E008,2.337E+5,
1.252E008,2.280E+5,
1.256E008,2.215E+5,
1.26E08,2.150E+5,
1.264E008,2.089E+5,
1.268E008,2.041E+5,
1.272E008,1.975E+5,
1.276E008,1.923E+5,
1.28E08,1.873E+5,
1.284E008,1.816E+5,
1.288E008,1.757E+5,
1.292E008,1.715E+5,
1.296E008,1.659E+5,
