Labels,T15U,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,4.134E+4,
1401.000,4.145E+4,
1402.05000,4.147E+4,
1403.1000,4.175E+4,
1404.15000,4.142E+4,
1405.2000,4.148E+4,
1406.25000,4.081E+4,
1407.3000,4.123E+4,
1408.35000,4.116E+4,
1409.4000,4.129E+4,
1410.45000,4.120E+4,
1411.5000,4.134E+4,
1412.55000,4.110E+4,
1413.6000,4.152E+4,
1414.65000,4.134E+4,
1415.7000,4.123E+4,
1416.75000,4.171E+4,
1417.8000,4.145E+4,
1418.85000,4.172E+4,
1419.9000,4.197E+4,
1420.95000,4.177E+4,
1422.000,4.146E+4,
1423.05000,4.158E+4,
1424.1000,4.179E+4,
1425.15000,4.198E+4,
1426.2000,4.200E+4,
1427.25000,4.149E+4,
1428.3000,4.177E+4,
1429.35000,4.172E+4,
1430.4000,4.171E+4,
1431.45000,4.196E+4,
1432.5000,4.179E+4,
1433.55000,4.156E+4,
1434.6000,4.213E+4,
1435.65000,4.171E+4,
1436.7000,4.128E+4,
1437.75000,4.148E+4,
1438.8000,4.186E+4,
1439.85000,4.198E+4,
1440.9000,4.197E+4,
1441.95000,4.216E+4,
1443.000,4.224E+4,
1444.05000,4.260E+4,
1445.1000,4.223E+4,
1446.15000,4.209E+4,
1447.2000,4.303E+4,
1448.25000,4.284E+4,
1449.3000,4.265E+4,
1450.35000,4.315E+4,
1451.4000,4.295E+4,
1452.45000,4.320E+4,
1453.5000,4.298E+4,
1454.55000,4.330E+4,
1455.6000,4.309E+4,
1456.65000,4.328E+4,
1457.7000,4.362E+4,
1458.75000,4.344E+4,
1459.8000,4.367E+4,
1460.85000,4.405E+4,
1461.9000,4.466E+4,
1462.95000,4.533E+4,
1464.000,4.512E+4,
1465.05000,4.521E+4,
1466.1000,4.583E+4,
1467.15000,4.618E+4,
1468.2000,4.690E+4,
1469.25000,4.694E+4,
1470.3000,4.662E+4,
1471.35000,4.773E+4,
1472.4000,4.825E+4,
1473.45000,4.865E+4,
1474.5000,4.947E+4,
1475.55000,4.919E+4,
1476.6000,5.023E+4,
1477.65000,5.051E+4,
1478.7000,5.110E+4,
1479.75000,5.160E+4,
1480.8000,5.098E+4,
1481.85000,5.156E+4,
1482.9000,5.174E+4,
1483.95000,5.264E+4,
1485.000,5.311E+4,
1486.05000,5.278E+4,
1487.1000,5.292E+4,
1488.15000,5.349E+4,
1489.2000,5.331E+4,
1490.25000,5.341E+4,
1491.3000,5.290E+4,
1492.35000,5.411E+4,
1493.4000,5.337E+4,
1494.45000,5.382E+4,
1495.5000,5.375E+4,
1496.55000,5.392E+4,
1497.6000,5.349E+4,
1498.65000,5.370E+4,
1499.7000,5.349E+4,
1500.75000,5.264E+4,
1501.8000,5.298E+4,
1502.85000,5.297E+4,
1503.9000,5.305E+4,
1504.95000,5.284E+4,
1506.000,5.302E+4,
1507.05000,5.292E+4,
1508.1000,5.237E+4,
1509.15000,5.238E+4,
1510.2000,5.296E+4,
1511.25000,5.340E+4,
1512.3000,5.338E+4,
1513.35000,5.445E+4,
1514.4000,5.441E+4,
1515.45000,5.529E+4,
1516.5000,5.552E+4,
1517.55000,5.645E+4,
1518.6000,5.749E+4,
1519.65000,5.877E+4,
1520.7000,5.992E+4,
1521.75000,6.208E+4,
1522.8000,6.405E+4,
1523.85000,6.555E+4,
1524.9000,6.838E+4,
1525.95000,7.185E+4,
1527.000,7.494E+4,
1528.05000,7.808E+4,
1529.1000,8.332E+4,
1530.15000,8.798E+4,
1531.2000,9.515E+4,
1532.25000,1.054E+5,
1533.3000,1.210E+5,
1534.35000,1.325E+5,
1535.4000,1.371E+5,
1536.45000,1.340E+5,
1537.5000,1.246E+5,
1538.55000,1.185E+5,
1539.6000,1.166E+5,
1540.65000,1.191E+5,
1541.7000,1.206E+5,
1542.75000,1.201E+5,
1543.8000,1.182E+5,
1544.85000,1.116E+5,
1545.9000,1.044E+5,
1546.95000,9.853E+4,
1548.000,9.294E+4,
1549.05000,8.884E+4,
1550.1000,8.439E+4,
1551.15000,8.154E+4,
1552.2000,7.846E+4,
1553.25000,7.625E+4,
1554.3000,7.357E+4,
1555.35000,7.223E+4,
1556.4000,7.051E+4,
1557.45000,6.923E+4,
1558.5000,6.815E+4,
1559.55000,6.775E+4,
1560.6000,6.805E+4,
1561.65000,6.759E+4,
1562.7000,6.665E+4,
1563.75000,6.661E+4,
1564.8000,6.615E+4,
1565.85000,6.597E+4,
1566.9000,6.499E+4,
1567.95000,6.369E+4,
1569.000,6.178E+4,
1570.05000,6.026E+4,
1571.1000,5.872E+4,
1572.15000,5.674E+4,
1573.2000,5.540E+4,
1574.25000,5.316E+4,
1575.3000,5.163E+4,
1576.35000,5.086E+4,
1577.4000,4.968E+4,
1578.45000,4.889E+4,
1579.5000,4.780E+4,
1580.55000,4.794E+4,
1581.6000,4.768E+4,
1582.65000,4.714E+4,
1583.7000,4.703E+4,
1584.75000,4.723E+4,
1585.8000,4.674E+4,
1586.85000,4.761E+4,
1587.9000,4.673E+4,
1588.95000,4.666E+4,
1590.00,4.662E+4,
1591.05000,4.663E+4,
1592.1000,4.753E+4,
1593.15000,4.659E+4,
1594.2000,4.662E+4,
1595.25000,4.662E+4,
1596.3000,4.701E+4,
1597.35000,4.692E+4,
1598.4000,4.729E+4,
1599.45000,4.659E+4,
1600.5000,4.646E+4,
1601.55000,4.653E+4,
1602.6000,4.678E+4,
1603.65000,4.617E+4,
1604.7000,4.605E+4,
1605.75000,4.658E+4,
1606.8000,4.621E+4,
1607.85000,4.671E+4,
1608.9000,4.602E+4,
1609.95000,4.612E+4,
1611.000,4.627E+4,
1612.05000,4.639E+4,
1613.1000,4.591E+4,
1614.15000,4.618E+4,
1615.2000,4.595E+4,
1616.25000,4.576E+4,
1617.3000,4.623E+4,
1618.35000,4.577E+4,
1619.4000,4.524E+4,
1620.45000,4.502E+4,
1621.5000,4.473E+4,
1622.55000,4.496E+4,
1623.6000,4.511E+4,
1624.65000,4.454E+4,
1625.7000,4.460E+4,
1626.75000,4.416E+4,
1627.8000,4.392E+4,
1628.85000,4.353E+4,
1629.9000,4.368E+4,
1630.95000,4.308E+4,
1632.000,4.309E+4,
1633.05000,4.303E+4,
1634.1000,4.263E+4,
1635.15000,4.241E+4,
1636.2000,4.259E+4,
1637.25000,4.204E+4,
1638.3000,4.192E+4,
1639.35000,4.222E+4,
1640.4000,4.206E+4,
1641.45000,4.169E+4,
1642.5000,4.260E+4,
1643.55000,4.153E+4,
1644.6000,4.165E+4,
1645.65000,4.165E+4,
1646.7000,4.128E+4,
1647.75000,4.170E+4,
1648.8000,4.184E+4,
1649.85000,4.180E+4,
1650.9000,4.251E+4,
1651.95000,4.302E+4,
1653.000,4.212E+4,
1654.05000,4.248E+4,
1655.1000,4.264E+4,
1656.15000,4.168E+4,
1657.2000,4.223E+4,
1658.25000,4.121E+4,
1659.3000,4.116E+4,
1660.35000,4.138E+4,
1661.4000,4.155E+4,
1662.45000,4.087E+4,
1663.5000,4.131E+4,
1664.55000,4.091E+4,
1665.6000,4.104E+4,
1666.65000,4.123E+4,
1667.7000,4.079E+4,
1668.75000,4.079E+4,
1669.8000,4.083E+4,
1670.85000,4.158E+4,
1671.9000,4.208E+4,
1672.95000,4.149E+4,
1674.000,4.202E+4,
1675.05000,4.136E+4,
1676.1000,4.196E+4,
1677.15000,4.082E+4,
1678.2000,4.144E+4,
1679.25000,4.071E+4,
1680.3000,4.184E+4,
1681.35000,4.134E+4,
1682.4000,4.083E+4,
1683.45000,4.127E+4,
1684.5000,4.137E+4,
1685.55000,4.135E+4,
1686.6000,4.185E+4,
1687.65000,4.119E+4,
1688.7000,4.125E+4,
1689.75000,4.114E+4,
1690.8000,4.051E+4,
1691.85000,4.081E+4,
1692.9000,4.104E+4,
1693.95000,4.106E+4,
1695.000,4.099E+4,
1696.05000,4.139E+4,
1697.1000,4.118E+4,
1698.15000,4.121E+4,
1699.2000,4.084E+4,
1700.25000,4.164E+4,
