Labels,T6_1,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,3.897E+4,
1401.000,3.910E+4,
1402.05000,3.960E+4,
1403.1000,3.913E+4,
1404.15000,3.944E+4,
1405.2000,3.926E+4,
1406.25000,4.051E+4,
1407.3000,4.005E+4,
1408.35000,4.041E+4,
1409.4000,4.031E+4,
1410.45000,4.090E+4,
1411.5000,4.101E+4,
1412.55000,4.168E+4,
1413.6000,4.133E+4,
1414.65000,4.153E+4,
1415.7000,4.194E+4,
1416.75000,4.257E+4,
1417.8000,4.302E+4,
1418.85000,4.313E+4,
1419.9000,4.324E+4,
1420.95000,4.297E+4,
1422.000,4.392E+4,
1423.05000,4.444E+4,
1424.1000,4.431E+4,
1425.15000,4.510E+4,
1426.2000,4.592E+4,
1427.25000,4.617E+4,
1428.3000,4.647E+4,
1429.35000,4.734E+4,
1430.4000,4.778E+4,
1431.45000,4.863E+4,
1432.5000,4.917E+4,
1433.55000,5.047E+4,
1434.6000,5.140E+4,
1435.65000,5.264E+4,
1436.7000,5.372E+4,
1437.75000,5.533E+4,
1438.8000,5.571E+4,
1439.85000,5.827E+4,
1440.9000,5.914E+4,
1441.95000,6.100E+4,
1443.000,6.341E+4,
1444.05000,6.570E+4,
1445.1000,6.860E+4,
1446.15000,7.185E+4,
1447.2000,7.428E+4,
1448.25000,7.855E+4,
1449.3000,8.193E+4,
1450.35000,8.647E+4,
1451.4000,9.191E+4,
1452.45000,9.746E+4,
1453.5000,1.032E+5,
1454.55000,1.086E+5,
1455.6000,1.156E+5,
1456.65000,1.238E+5,
1457.7000,1.316E+5,
1458.75000,1.420E+5,
1459.8000,1.514E+5,
1460.85000,1.607E+5,
1461.9000,1.720E+5,
1462.95000,1.852E+5,
1464.000,1.981E+5,
1465.05000,2.110E+5,
1466.1000,2.254E+5,
1467.15000,2.421E+5,
1468.2000,2.559E+5,
1469.25000,2.730E+5,
1470.3000,2.898E+5,
1471.35000,3.097E+5,
1472.4000,3.278E+5,
1473.45000,3.474E+5,
1474.5000,3.694E+5,
1475.55000,3.872E+5,
1476.6000,4.077E+5,
1477.65000,4.255E+5,
1478.7000,4.455E+5,
1479.75000,4.650E+5,
1480.8000,4.820E+5,
1481.85000,5.028E+5,
1482.9000,5.199E+5,
1483.95000,5.346E+5,
1485.000,5.495E+5,
1486.05000,5.634E+5,
1487.1000,5.751E+5,
1488.15000,5.883E+5,
1489.2000,5.957E+5,
1490.25000,6.056E+5,
1491.3000,6.105E+5,
1492.35000,6.184E+5,
1493.4000,6.232E+5,
1494.45000,6.253E+5,
1495.5000,6.270E+5,
1496.55000,6.273E+5,
1497.6000,6.277E+5,
1498.65000,6.266E+5,
1499.7000,6.234E+5,
1500.75000,6.210E+5,
1501.8000,6.182E+5,
1502.85000,6.133E+5,
1503.9000,6.094E+5,
1504.95000,6.047E+5,
1506.000,6.015E+5,
1507.05000,5.990E+5,
1508.1000,5.970E+5,
1509.15000,5.981E+5,
1510.2000,5.985E+5,
1511.25000,6.010E+5,
1512.3000,6.085E+5,
1513.35000,6.163E+5,
1514.4000,6.306E+5,
1515.45000,6.453E+5,
1516.5000,6.647E+5,
1517.55000,6.912E+5,
1518.6000,7.162E+5,
1519.65000,7.496E+5,
1520.7000,7.873E+5,
1521.75000,8.320E+5,
1522.8000,8.750E+5,
1523.85000,9.280E+5,
1524.9000,9.900E+5,
1525.95000,1.059E+6,
1527.000,1.146E+6,
1528.05000,1.242E+6,
1529.1000,1.352E+6,
1530.15000,1.461E+6,
1531.2000,1.575E+6,
1532.25000,1.686E+6,
1533.3000,1.784E+6,
1534.35000,1.801E+6,
1535.4000,1.745E+6,
1536.45000,1.617E+6,
1537.5000,1.473E+6,
1538.55000,1.378E+6,
1539.6000,1.348E+6,
1540.65000,1.359E+6,
1541.7000,1.369E+6,
1542.75000,1.357E+6,
1543.8000,1.319E+6,
1544.85000,1.260E+6,
1545.9000,1.195E+6,
1546.95000,1.125E+6,
1548.000,1.067E+6,
1549.05000,1.015E+6,
1550.1000,9.761E+5,
1551.15000,9.427E+5,
1552.2000,9.214E+5,
1553.25000,9.015E+5,
1554.3000,8.858E+5,
1555.35000,8.719E+5,
1556.4000,8.532E+5,
1557.45000,8.315E+5,
1558.5000,8.120E+5,
1559.55000,7.923E+5,
1560.6000,7.686E+5,
1561.65000,7.517E+5,
1562.7000,7.309E+5,
1563.75000,7.121E+5,
1564.8000,6.944E+5,
1565.85000,6.756E+5,
1566.9000,6.526E+5,
1567.95000,6.302E+5,
1569.000,6.032E+5,
1570.05000,5.742E+5,
1571.1000,5.423E+5,
1572.15000,5.091E+5,
1573.2000,4.728E+5,
1574.25000,4.394E+5,
1575.3000,4.074E+5,
1576.35000,3.864E+5,
1577.4000,3.667E+5,
1578.45000,3.503E+5,
1579.5000,3.409E+5,
1580.55000,3.332E+5,
1581.6000,3.265E+5,
1582.65000,3.230E+5,
1583.7000,3.183E+5,
1584.75000,3.165E+5,
1585.8000,3.134E+5,
1586.85000,3.117E+5,
1587.9000,3.105E+5,
1588.95000,3.080E+5,
1590.00,3.079E+5,
1591.05000,3.072E+5,
1592.1000,3.059E+5,
1593.15000,3.055E+5,
1594.2000,3.041E+5,
1595.25000,3.050E+5,
1596.3000,3.029E+5,
1597.35000,3.030E+5,
1598.4000,3.021E+5,
1599.45000,3.006E+5,
1600.5000,2.991E+5,
1601.55000,2.969E+5,
1602.6000,2.958E+5,
1603.65000,2.930E+5,
1604.7000,2.912E+5,
1605.75000,2.882E+5,
1606.8000,2.859E+5,
1607.85000,2.812E+5,
1608.9000,2.791E+5,
1609.95000,2.748E+5,
1611.000,2.704E+5,
1612.05000,2.645E+5,
1613.1000,2.580E+5,
1614.15000,2.511E+5,
1615.2000,2.432E+5,
1616.25000,2.357E+5,
1617.3000,2.265E+5,
1618.35000,2.169E+5,
1619.4000,2.062E+5,
1620.45000,1.959E+5,
1621.5000,1.850E+5,
1622.55000,1.727E+5,
1623.6000,1.623E+5,
1624.65000,1.509E+5,
1625.7000,1.408E+5,
1626.75000,1.313E+5,
1627.8000,1.226E+5,
1628.85000,1.142E+5,
1629.9000,1.066E+5,
1630.95000,1.000E+5,
1632.000,9.355E+4,
1633.05000,8.912E+4,
1634.1000,8.437E+4,
1635.15000,7.861E+4,
1636.2000,7.572E+4,
1637.25000,7.093E+4,
1638.3000,6.826E+4,
1639.35000,6.531E+4,
1640.4000,6.332E+4,
1641.45000,6.133E+4,
1642.5000,5.856E+4,
1643.55000,5.702E+4,
1644.6000,5.519E+4,
1645.65000,5.451E+4,
1646.7000,5.349E+4,
1647.75000,5.165E+4,
1648.8000,5.011E+4,
1649.85000,4.895E+4,
1650.9000,4.824E+4,
1651.95000,4.775E+4,
1653.000,4.714E+4,
1654.05000,4.590E+4,
1655.1000,4.591E+4,
1656.15000,4.487E+4,
1657.2000,4.461E+4,
1658.25000,4.384E+4,
1659.3000,4.403E+4,
1660.35000,4.345E+4,
1661.4000,4.336E+4,
1662.45000,4.252E+4,
1663.5000,4.250E+4,
1664.55000,4.174E+4,
1665.6000,4.124E+4,
1666.65000,4.190E+4,
1667.7000,4.100E+4,
1668.75000,4.126E+4,
1669.8000,4.132E+4,
1670.85000,4.070E+4,
1671.9000,4.126E+4,
1672.95000,4.084E+4,
1674.000,4.056E+4,
1675.05000,4.067E+4,
1676.1000,4.042E+4,
1677.15000,4.015E+4,
1678.2000,4.013E+4,
1679.25000,4.002E+4,
1680.3000,4.013E+4,
1681.35000,3.987E+4,
1682.4000,4.003E+4,
1683.45000,4.009E+4,
1684.5000,4.014E+4,
1685.55000,3.990E+4,
1686.6000,3.950E+4,
1687.65000,4.017E+4,
1688.7000,3.988E+4,
1689.75000,3.965E+4,
1690.8000,3.987E+4,
1691.85000,4.007E+4,
1692.9000,4.010E+4,
1693.95000,3.982E+4,
1695.000,4.005E+4,
1696.05000,3.959E+4,
1697.1000,3.965E+4,
1698.15000,4.003E+4,
1699.2000,3.995E+4,
1700.25000,3.987E+4,
