Labels,T8,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,4.087E+4,
1401.000,4.054E+4,
1402.05000,4.080E+4,
1403.1000,4.098E+4,
1404.15000,4.077E+4,
1405.2000,4.176E+4,
1406.25000,4.200E+4,
1407.3000,4.123E+4,
1408.35000,4.156E+4,
1409.4000,4.192E+4,
1410.45000,4.178E+4,
1411.5000,4.233E+4,
1412.55000,4.239E+4,
1413.6000,4.197E+4,
1414.65000,4.236E+4,
1415.7000,4.279E+4,
1416.75000,4.331E+4,
1417.8000,4.345E+4,
1418.85000,4.326E+4,
1419.9000,4.373E+4,
1420.95000,4.436E+4,
1422.000,4.421E+4,
1423.05000,4.502E+4,
1424.1000,4.512E+4,
1425.15000,4.608E+4,
1426.2000,4.600E+4,
1427.25000,4.656E+4,
1428.3000,4.633E+4,
1429.35000,4.710E+4,
1430.4000,4.765E+4,
1431.45000,4.835E+4,
1432.5000,4.883E+4,
1433.55000,4.927E+4,
1434.6000,5.000E+4,
1435.65000,5.145E+4,
1436.7000,5.216E+4,
1437.75000,5.408E+4,
1438.8000,5.451E+4,
1439.85000,5.577E+4,
1440.9000,5.713E+4,
1441.95000,5.872E+4,
1443.000,6.019E+4,
1444.05000,6.147E+4,
1445.1000,6.395E+4,
1446.15000,6.690E+4,
1447.2000,6.916E+4,
1448.25000,7.205E+4,
1449.3000,7.483E+4,
1450.35000,7.946E+4,
1451.4000,8.305E+4,
1452.45000,8.755E+4,
1453.5000,9.220E+4,
1454.55000,9.713E+4,
1455.6000,1.031E+5,
1456.65000,1.097E+5,
1457.7000,1.165E+5,
1458.75000,1.237E+5,
1459.8000,1.319E+5,
1460.85000,1.399E+5,
1461.9000,1.499E+5,
1462.95000,1.599E+5,
1464.000,1.702E+5,
1465.05000,1.793E+5,
1466.1000,1.909E+5,
1467.15000,2.035E+5,
1468.2000,2.165E+5,
1469.25000,2.298E+5,
1470.3000,2.428E+5,
1471.35000,2.593E+5,
1472.4000,2.733E+5,
1473.45000,2.899E+5,
1474.5000,3.054E+5,
1475.55000,3.204E+5,
1476.6000,3.377E+5,
1477.65000,3.532E+5,
1478.7000,3.690E+5,
1479.75000,3.845E+5,
1480.8000,3.988E+5,
1481.85000,4.136E+5,
1482.9000,4.268E+5,
1483.95000,4.408E+5,
1485.000,4.504E+5,
1486.05000,4.623E+5,
1487.1000,4.706E+5,
1488.15000,4.799E+5,
1489.2000,4.862E+5,
1490.25000,4.928E+5,
1491.3000,4.971E+5,
1492.35000,5.025E+5,
1493.4000,5.027E+5,
1494.45000,5.036E+5,
1495.5000,5.037E+5,
1496.55000,5.019E+5,
1497.6000,5.016E+5,
1498.65000,4.986E+5,
1499.7000,4.953E+5,
1500.75000,4.918E+5,
1501.8000,4.884E+5,
1502.85000,4.831E+5,
1503.9000,4.784E+5,
1504.95000,4.741E+5,
1506.000,4.711E+5,
1507.05000,4.673E+5,
1508.1000,4.647E+5,
1509.15000,4.640E+5,
1510.2000,4.648E+5,
1511.25000,4.657E+5,
1512.3000,4.709E+5,
1513.35000,4.785E+5,
1514.4000,4.881E+5,
1515.45000,5.016E+5,
1516.5000,5.198E+5,
1517.55000,5.410E+5,
1518.6000,5.664E+5,
1519.65000,5.950E+5,
1520.7000,6.303E+5,
1521.75000,6.734E+5,
1522.8000,7.195E+5,
1523.85000,7.664E+5,
1524.9000,8.234E+5,
1525.95000,8.819E+5,
1527.000,9.576E+5,
1528.05000,1.047E+6,
1529.1000,1.146E+6,
1530.15000,1.250E+6,
1531.2000,1.373E+6,
1532.25000,1.525E+6,
1533.3000,1.683E+6,
1534.35000,1.743E+6,
1535.4000,1.716E+6,
1536.45000,1.582E+6,
1537.5000,1.427E+6,
1538.55000,1.326E+6,
1539.6000,1.298E+6,
1540.65000,1.310E+6,
1541.7000,1.314E+6,
1542.75000,1.294E+6,
1543.8000,1.248E+6,
1544.85000,1.174E+6,
1545.9000,1.097E+6,
1546.95000,1.019E+6,
1548.000,9.532E+5,
1549.05000,8.911E+5,
1550.1000,8.459E+5,
1551.15000,8.076E+5,
1552.2000,7.738E+5,
1553.25000,7.482E+5,
1554.3000,7.231E+5,
1555.35000,7.046E+5,
1556.4000,6.855E+5,
1557.45000,6.650E+5,
1558.5000,6.491E+5,
1559.55000,6.354E+5,
1560.6000,6.242E+5,
1561.65000,6.147E+5,
1562.7000,6.047E+5,
1563.75000,5.934E+5,
1564.8000,5.822E+5,
1565.85000,5.659E+5,
1566.9000,5.482E+5,
1567.95000,5.312E+5,
1569.000,5.104E+5,
1570.05000,4.815E+5,
1571.1000,4.514E+5,
1572.15000,4.170E+5,
1573.2000,3.808E+5,
1574.25000,3.481E+5,
1575.3000,3.160E+5,
1576.35000,2.943E+5,
1577.4000,2.752E+5,
1578.45000,2.604E+5,
1579.5000,2.519E+5,
1580.55000,2.439E+5,
1581.6000,2.381E+5,
1582.65000,2.337E+5,
1583.7000,2.298E+5,
1584.75000,2.273E+5,
1585.8000,2.245E+5,
1586.85000,2.234E+5,
1587.9000,2.228E+5,
1588.95000,2.217E+5,
1590.00,2.216E+5,
1591.05000,2.210E+5,
1592.1000,2.195E+5,
1593.15000,2.194E+5,
1594.2000,2.196E+5,
1595.25000,2.179E+5,
1596.3000,2.192E+5,
1597.35000,2.182E+5,
1598.4000,2.181E+5,
1599.45000,2.178E+5,
1600.5000,2.166E+5,
1601.55000,2.165E+5,
1602.6000,2.155E+5,
1603.65000,2.148E+5,
1604.7000,2.124E+5,
1605.75000,2.124E+5,
1606.8000,2.102E+5,
1607.85000,2.102E+5,
1608.9000,2.073E+5,
1609.95000,2.055E+5,
1611.000,2.034E+5,
1612.05000,1.986E+5,
1613.1000,1.951E+5,
1614.15000,1.910E+5,
1615.2000,1.870E+5,
1616.25000,1.810E+5,
1617.3000,1.739E+5,
1618.35000,1.683E+5,
1619.4000,1.599E+5,
1620.45000,1.528E+5,
1621.5000,1.453E+5,
1622.55000,1.387E+5,
1623.6000,1.302E+5,
1624.65000,1.221E+5,
1625.7000,1.148E+5,
1626.75000,1.083E+5,
1627.8000,1.027E+5,
1628.85000,9.624E+4,
1629.9000,9.053E+4,
1630.95000,8.570E+4,
1632.000,8.148E+4,
1633.05000,7.779E+4,
1634.1000,7.395E+4,
1635.15000,7.055E+4,
1636.2000,6.809E+4,
1637.25000,6.503E+4,
1638.3000,6.261E+4,
1639.35000,6.080E+4,
1640.4000,5.860E+4,
1641.45000,5.644E+4,
1642.5000,5.518E+4,
1643.55000,5.320E+4,
1644.6000,5.175E+4,
1645.65000,5.113E+4,
1646.7000,5.042E+4,
1647.75000,4.936E+4,
1648.8000,4.899E+4,
1649.85000,4.784E+4,
1650.9000,4.710E+4,
1651.95000,4.654E+4,
1653.000,4.559E+4,
1654.05000,4.571E+4,
1655.1000,4.490E+4,
1656.15000,4.375E+4,
1657.2000,4.361E+4,
1658.25000,4.255E+4,
1659.3000,4.305E+4,
1660.35000,4.228E+4,
1661.4000,4.150E+4,
1662.45000,4.123E+4,
1663.5000,4.157E+4,
1664.55000,4.109E+4,
1665.6000,4.108E+4,
1666.65000,4.014E+4,
1667.7000,4.004E+4,
1668.75000,4.002E+4,
1669.8000,4.030E+4,
1670.85000,4.019E+4,
1671.9000,4.006E+4,
1672.95000,3.966E+4,
1674.000,4.002E+4,
1675.05000,3.997E+4,
1676.1000,3.984E+4,
1677.15000,3.974E+4,
1678.2000,3.960E+4,
1679.25000,3.940E+4,
1680.3000,3.962E+4,
1681.35000,3.899E+4,
1682.4000,3.947E+4,
1683.45000,3.896E+4,
1684.5000,3.859E+4,
1685.55000,3.945E+4,
1686.6000,3.898E+4,
1687.65000,3.889E+4,
1688.7000,3.856E+4,
1689.75000,3.932E+4,
1690.8000,3.866E+4,
1691.85000,3.911E+4,
1692.9000,3.903E+4,
1693.95000,3.851E+4,
1695.000,3.883E+4,
1696.05000,3.875E+4,
1697.1000,3.885E+4,
1698.15000,3.928E+4,
1699.2000,3.960E+4,
1700.25000,3.926E+4,
