Labels,T29,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,4.330E+4,
1401.000,4.349E+4,
1402.05000,4.298E+4,
1403.1000,4.320E+4,
1404.15000,4.293E+4,
1405.2000,4.317E+4,
1406.25000,4.338E+4,
1407.3000,4.336E+4,
1408.35000,4.264E+4,
1409.4000,4.275E+4,
1410.45000,4.250E+4,
1411.5000,4.257E+4,
1412.55000,4.227E+4,
1413.6000,4.239E+4,
1414.65000,4.300E+4,
1415.7000,4.299E+4,
1416.75000,4.272E+4,
1417.8000,4.321E+4,
1418.85000,4.278E+4,
1419.9000,4.258E+4,
1420.95000,4.250E+4,
1422.000,4.309E+4,
1423.05000,4.168E+4,
1424.1000,4.217E+4,
1425.15000,4.245E+4,
1426.2000,4.257E+4,
1427.25000,4.361E+4,
1428.3000,4.348E+4,
1429.35000,4.375E+4,
1430.4000,4.347E+4,
1431.45000,4.374E+4,
1432.5000,4.419E+4,
1433.55000,4.336E+4,
1434.6000,4.337E+4,
1435.65000,4.328E+4,
1436.7000,4.322E+4,
1437.75000,4.380E+4,
1438.8000,4.377E+4,
1439.85000,4.403E+4,
1440.9000,4.356E+4,
1441.95000,4.393E+4,
1443.000,4.422E+4,
1444.05000,4.432E+4,
1445.1000,4.461E+4,
1446.15000,4.460E+4,
1447.2000,4.470E+4,
1448.25000,4.523E+4,
1449.3000,4.479E+4,
1450.35000,4.498E+4,
1451.4000,4.542E+4,
1452.45000,4.684E+4,
1453.5000,4.655E+4,
1454.55000,4.653E+4,
1455.6000,4.728E+4,
1456.65000,4.777E+4,
1457.7000,4.773E+4,
1458.75000,4.794E+4,
1459.8000,4.911E+4,
1460.85000,4.950E+4,
1461.9000,4.990E+4,
1462.95000,5.016E+4,
1464.000,5.132E+4,
1465.05000,5.261E+4,
1466.1000,5.337E+4,
1467.15000,5.369E+4,
1468.2000,5.415E+4,
1469.25000,5.522E+4,
1470.3000,5.629E+4,
1471.35000,5.763E+4,
1472.4000,5.843E+4,
1473.45000,5.980E+4,
1474.5000,6.030E+4,
1475.55000,6.174E+4,
1476.6000,6.275E+4,
1477.65000,6.396E+4,
1478.7000,6.452E+4,
1479.75000,6.643E+4,
1480.8000,6.764E+4,
1481.85000,6.861E+4,
1482.9000,6.888E+4,
1483.95000,7.016E+4,
1485.000,7.043E+4,
1486.05000,7.159E+4,
1487.1000,7.239E+4,
1488.15000,7.260E+4,
1489.2000,7.276E+4,
1490.25000,7.401E+4,
1491.3000,7.415E+4,
1492.35000,7.483E+4,
1493.4000,7.345E+4,
1494.45000,7.481E+4,
1495.5000,7.505E+4,
1496.55000,7.540E+4,
1497.6000,7.462E+4,
1498.65000,7.459E+4,
1499.7000,7.412E+4,
1500.75000,7.441E+4,
1501.8000,7.346E+4,
1502.85000,7.311E+4,
1503.9000,7.378E+4,
1504.95000,7.371E+4,
1506.000,7.313E+4,
1507.05000,7.301E+4,
1508.1000,7.251E+4,
1509.15000,7.276E+4,
1510.2000,7.306E+4,
1511.25000,7.347E+4,
1512.3000,7.375E+4,
1513.35000,7.423E+4,
1514.4000,7.521E+4,
1515.45000,7.683E+4,
1516.5000,7.804E+4,
1517.55000,8.023E+4,
1518.6000,8.333E+4,
1519.65000,8.508E+4,
1520.7000,8.965E+4,
1521.75000,9.403E+4,
1522.8000,9.897E+4,
1523.85000,1.036E+5,
1524.9000,1.096E+5,
1525.95000,1.162E+5,
1527.000,1.244E+5,
1528.05000,1.343E+5,
1529.1000,1.442E+5,
1530.15000,1.579E+5,
1531.2000,1.756E+5,
1532.25000,1.979E+5,
1533.3000,2.283E+5,
1534.35000,2.509E+5,
1535.4000,2.626E+5,
1536.45000,2.533E+5,
1537.5000,2.328E+5,
1538.55000,2.186E+5,
1539.6000,2.138E+5,
1540.65000,2.170E+5,
1541.7000,2.205E+5,
1542.75000,2.199E+5,
1543.8000,2.139E+5,
1544.85000,2.030E+5,
1545.9000,1.898E+5,
1546.95000,1.757E+5,
1548.000,1.638E+5,
1549.05000,1.532E+5,
1550.1000,1.441E+5,
1551.15000,1.372E+5,
1552.2000,1.308E+5,
1553.25000,1.261E+5,
1554.3000,1.211E+5,
1555.35000,1.164E+5,
1556.4000,1.142E+5,
1557.45000,1.100E+5,
1558.5000,1.086E+5,
1559.55000,1.065E+5,
1560.6000,1.056E+5,
1561.65000,1.045E+5,
1562.7000,1.042E+5,
1563.75000,1.016E+5,
1564.8000,1.009E+5,
1565.85000,9.901E+4,
1566.9000,9.762E+4,
1567.95000,9.504E+4,
1569.000,9.225E+4,
1570.05000,8.873E+4,
1571.1000,8.480E+4,
1572.15000,8.147E+4,
1573.2000,7.627E+4,
1574.25000,7.236E+4,
1575.3000,6.866E+4,
1576.35000,6.606E+4,
1577.4000,6.377E+4,
1578.45000,6.192E+4,
1579.5000,6.039E+4,
1580.55000,5.900E+4,
1581.6000,5.873E+4,
1582.65000,5.861E+4,
1583.7000,5.727E+4,
1584.75000,5.725E+4,
1585.8000,5.725E+4,
1586.85000,5.761E+4,
1587.9000,5.699E+4,
1588.95000,5.642E+4,
1590.00,5.681E+4,
1591.05000,5.672E+4,
1592.1000,5.650E+4,
1593.15000,5.605E+4,
1594.2000,5.534E+4,
1595.25000,5.562E+4,
1596.3000,5.565E+4,
1597.35000,5.543E+4,
1598.4000,5.616E+4,
1599.45000,5.639E+4,
1600.5000,5.642E+4,
1601.55000,5.533E+4,
1602.6000,5.590E+4,
1603.65000,5.613E+4,
1604.7000,5.574E+4,
1605.75000,5.601E+4,
1606.8000,5.621E+4,
1607.85000,5.582E+4,
1608.9000,5.506E+4,
1609.95000,5.510E+4,
1611.000,5.374E+4,
1612.05000,5.447E+4,
1613.1000,5.367E+4,
1614.15000,5.339E+4,
1615.2000,5.305E+4,
1616.25000,5.385E+4,
1617.3000,5.264E+4,
1618.35000,5.271E+4,
1619.4000,5.248E+4,
1620.45000,5.152E+4,
1621.5000,5.125E+4,
1622.55000,5.071E+4,
1623.6000,5.065E+4,
1624.65000,5.009E+4,
1625.7000,4.976E+4,
1626.75000,4.942E+4,
1627.8000,4.813E+4,
1628.85000,4.799E+4,
1629.9000,4.805E+4,
1630.95000,4.713E+4,
1632.000,4.645E+4,
1633.05000,4.672E+4,
1634.1000,4.606E+4,
1635.15000,4.576E+4,
1636.2000,4.572E+4,
1637.25000,4.549E+4,
1638.3000,4.494E+4,
1639.35000,4.464E+4,
1640.4000,4.511E+4,
1641.45000,4.453E+4,
1642.5000,4.387E+4,
1643.55000,4.434E+4,
1644.6000,4.343E+4,
1645.65000,4.354E+4,
1646.7000,4.286E+4,
1647.75000,4.328E+4,
1648.8000,4.289E+4,
1649.85000,4.313E+4,
1650.9000,4.360E+4,
1651.95000,4.377E+4,
1653.000,4.298E+4,
1654.05000,4.406E+4,
1655.1000,4.327E+4,
1656.15000,4.296E+4,
1657.2000,4.318E+4,
1658.25000,4.246E+4,
1659.3000,4.216E+4,
1660.35000,4.273E+4,
1661.4000,4.310E+4,
1662.45000,4.306E+4,
1663.5000,4.305E+4,
1664.55000,4.246E+4,
1665.6000,4.388E+4,
1666.65000,4.277E+4,
1667.7000,4.204E+4,
1668.75000,4.331E+4,
1669.8000,4.282E+4,
1670.85000,4.268E+4,
1671.9000,4.222E+4,
1672.95000,4.253E+4,
1674.000,4.254E+4,
1675.05000,4.286E+4,
1676.1000,4.358E+4,
1677.15000,4.315E+4,
1678.2000,4.146E+4,
1679.25000,4.179E+4,
1680.3000,4.169E+4,
1681.35000,4.320E+4,
1682.4000,4.211E+4,
1683.45000,4.263E+4,
1684.5000,4.302E+4,
1685.55000,4.278E+4,
1686.6000,4.232E+4,
1687.65000,4.218E+4,
1688.7000,4.267E+4,
1689.75000,4.229E+4,
1690.8000,4.263E+4,
1691.85000,4.263E+4,
1692.9000,4.285E+4,
1693.95000,4.305E+4,
1695.000,4.339E+4,
1696.05000,4.337E+4,
1697.1000,4.341E+4,
1698.15000,4.298E+4,
1699.2000,4.350E+4,
1700.25000,4.343E+4,
