Multi Scans Modified Normalised

Labels	T2_2percent_diffuseReflectance-24900 Normalised	T2_99percent_diffuseReflectance-24900 Normalised	
Type	Emission Scan	Emission Scan	
Comment			
Start	1399.95000	1450.05000	
Stop	1700.25000	1649.55000	
Step	1.050	1.050	
Fixed/Offset	850.00	850.00	
Xaxis	Wavelength	Wavelength	
Yaxis	Counts	Counts	
Scan Corr. by File	False	False	
Corr. by Ref. Det.	False	False	
Fixed/Offset Corr. by File	False	False	
Repeats	1	1	
Dwell Time	0.20	0.20	
Lamp	uF900	uF900	
Temp	0.00	0.00	
Scan Polariser	None	None	
Scan Slit	0.00	0.00	
Fixed/Offset Polariser	None	None	
Fixed/Offset Slit	0.00	0.00	
Detector	NIR PMT	NIR PMT	

1399.95000	-3.956E-4	 	
1401.000	-2.191E-3	 	
1402.05000	5.477E-4	 	
1403.1000	-2.587E-4	 	
1404.15000	-5.204E-3	 	
1405.2000	-3.317E-3	 	
1406.25000	-4.747E-3	 	
1407.3000	2.769E-3	 	
1408.35000	-3.241E-3	 	
1409.4000	-4.260E-4	 	
1410.45000	8.657E-3	 	
1411.5000	7.182E-3	 	
1412.55000	8.429E-3	 	
1413.6000	7.288E-3	 	
1414.65000	5.599E-3	 	
1415.7000	8.962E-3	 	
1416.75000	6.390E-3	 	
1417.8000	5.401E-3	 	
1418.85000	8.064E-3	 	
1419.9000	5.128E-3	 	
1420.95000	6.162E-3	 	
1422.000	2.206E-3	 	
1423.05000	1.293E-3	 	
1424.1000	4.869E-4	 	
1425.15000	-1.765E-3	 	
1426.2000	1.202E-3	 	
1427.25000	3.576E-3	 	
1428.3000	3.956E-4	 	
1429.35000	8.520E-4	 	
1430.4000	1.430E-3	 	
1431.45000	1.887E-3	 	
1432.5000	1.963E-3	 	
1433.55000	3.210E-3	 	
1434.6000	5.051E-3	 	
1435.65000	3.606E-3	 	
1436.7000	7.440E-3	 	
1437.75000	1.085E-2	 	
1438.8000	1.064E-2	 	
1439.85000	2.495E-3	 	
1440.9000	2.678E-3	 	
1441.95000	3.652E-3	 	
1443.000	1.056E-2	 	
1444.05000	5.660E-3	 	
1445.1000	1.500E-2	 	
1446.15000	7.577E-3	 	
1447.2000	1.337E-2	 	
1448.25000	9.175E-3	 	
1449.3000	7.166E-3	 	
1450.35000	8.444E-3	2.011E-2	
1451.4000	1.397E-2	1.781E-2	
1452.45000	8.414E-3	1.695E-2	
1453.5000	7.425E-3	2.378E-2	
1454.55000	1.421E-2	2.371E-2	
1455.6000	1.270E-2	2.889E-2	
1456.65000	1.683E-2	2.501E-2	
1457.7000	2.002E-2	2.484E-2	
1458.75000	2.389E-2	3.288E-2	
1459.8000	3.087E-2	3.040E-2	
1460.85000	3.434E-2	4.133E-2	
1461.9000	3.458E-2	4.165E-2	
1462.95000	3.825E-2	4.810E-2	
1464.000	5.056E-2	4.736E-2	
1465.05000	4.336E-2	4.499E-2	
1466.1000	3.889E-2	4.540E-2	
1467.15000	4.803E-2	5.012E-2	
1468.2000	5.178E-2	5.330E-2	
1469.25000	5.141E-2	5.894E-2	
1470.3000	6.225E-2	6.170E-2	
1471.35000	6.593E-2	6.576E-2	
1472.4000	7.090E-2	6.769E-2	
1473.45000	7.411E-2	7.189E-2	
1474.5000	6.708E-2	7.367E-2	
1475.55000	7.302E-2	7.763E-2	
1476.6000	7.970E-2	8.147E-2	
1477.65000	8.520E-2	8.797E-2	
1478.7000	9.163E-2	8.771E-2	
1479.75000	9.328E-2	9.549E-2	
1480.8000	1.008E-1	9.602E-2	
1481.85000	9.726E-2	1.049E-1	
1482.9000	1.107E-1	1.090E-1	
1483.95000	1.115E-1	1.130E-1	
1485.000	1.158E-1	1.145E-1	
1486.05000	1.169E-1	1.215E-1	
1487.1000	1.246E-1	1.230E-1	
1488.15000	1.190E-1	1.265E-1	
1489.2000	1.212E-1	1.218E-1	
1490.25000	1.203E-1	1.252E-1	
1491.3000	1.172E-1	1.215E-1	
1492.35000	1.162E-1	1.223E-1	
1493.4000	1.235E-1	1.223E-1	
1494.45000	1.177E-1	1.210E-1	
1495.5000	1.223E-1	1.180E-1	
1496.55000	1.226E-1	1.211E-1	
1497.6000	1.207E-1	1.173E-1	
1498.65000	1.206E-1	1.165E-1	
1499.7000	1.223E-1	1.166E-1	
1500.75000	1.182E-1	1.172E-1	
1501.8000	1.202E-1	1.138E-1	
1502.85000	1.134E-1	1.122E-1	
1503.9000	1.109E-1	1.106E-1	
1504.95000	1.075E-1	1.099E-1	
1506.000	1.063E-1	1.098E-1	
1507.05000	1.072E-1	1.083E-1	
1508.1000	1.044E-1	1.082E-1	
1509.15000	1.075E-1	1.080E-1	
1510.2000	1.142E-1	1.092E-1	
1511.25000	1.081E-1	1.152E-1	
1512.3000	1.080E-1	1.137E-1	
1513.35000	1.144E-1	1.141E-1	
1514.4000	1.179E-1	1.159E-1	
1515.45000	1.153E-1	1.239E-1	
1516.5000	1.240E-1	1.308E-1	
1517.55000	1.380E-1	1.377E-1	
1518.6000	1.384E-1	1.463E-1	
1519.65000	1.545E-1	1.541E-1	
1520.7000	1.654E-1	1.661E-1	
1521.75000	1.777E-1	1.800E-1	
1522.8000	2.004E-1	2.004E-1	
1523.85000	2.203E-1	2.207E-1	
1524.9000	2.488E-1	2.439E-1	
1525.95000	2.751E-1	2.675E-1	
1527.000	3.024E-1	2.971E-1	
1528.05000	3.445E-1	3.303E-1	
1529.1000	3.869E-1	3.697E-1	
1530.15000	4.226E-1	4.132E-1	
1531.2000	4.808E-1	4.650E-1	
1532.25000	5.568E-1	5.327E-1	
1533.3000	6.863E-1	6.281E-1	
1534.35000	8.243E-1	7.732E-1	
1535.4000	9.533E-1	9.208E-1	
1536.45000	1.000E+0	1.000E+0	
1537.5000	9.705E-1	9.869E-1	
1538.55000	8.870E-1	9.187E-1	
1539.6000	8.277E-1	8.360E-1	
1540.65000	8.212E-1	8.046E-1	
1541.7000	8.379E-1	8.270E-1	
1542.75000	8.524E-1	8.543E-1	
1543.8000	8.492E-1	8.476E-1	
1544.85000	8.048E-1	8.225E-1	
1545.9000	7.276E-1	7.590E-1	
1546.95000	6.576E-1	6.853E-1	
1548.000	5.894E-1	6.003E-1	
1549.05000	5.376E-1	5.464E-1	
1550.1000	4.776E-1	4.943E-1	
1551.15000	4.392E-1	4.565E-1	
1552.2000	3.948E-1	4.165E-1	
1553.25000	3.668E-1	3.815E-1	
1554.3000	3.397E-1	3.585E-1	
1555.35000	3.170E-1	3.267E-1	
1556.4000	3.067E-1	3.123E-1	
