Labels,100us_77k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.104E+4,
2E05,2.386E+4,
4E05,2.316E+4,
6E05,2.296E+4,
800000.060000,2.222E+4,
1E06,2.195E+4,
1.2E06,2.189E+4,
1.4E06,2.171E+4,
1.6E06,2.106E+4,
1.8E06,2.086E+4,
2E06,2.036E+4,
2.2E06,2.036E+4,
2.4E06,2.020E+4,
2.6E06,1.970E+4,
2.8E06,1.947E+4,
3E06,1.917E+4,
3.2E06,1.906E+4,
3.4E06,1.837E+4,
3.6E06,1.841E+4,
3.8E06,1.838E+4,
4E06,1.818E+4,
4.2E06,1.811E+4,
4.4E06,1.760E+4,
4.6E06,1.743E+4,
4.8E06,1.753E+4,
5E06,1.709E+4,
5.2E06,1.670E+4,
5.4E06,1.659E+4,
5.6E06,1.677E+4,
5.8E06,1.632E+4,
6E06,1.659E+4,
6.2E06,1.588E+4,
6400000.500000,1.582E+4,
6600000.500000,1.559E+4,
6800000.500000,1.558E+4,
7000000.500000,1.551E+4,
7200000.600000,1.526E+4,
7400000.600000,1.485E+4,
7600000.600000,1.486E+4,
7800000.600000,1.474E+4,
8000000.600000,1.466E+4,
8200000.600000,1.459E+4,
8400000.700000,1.439E+4,
8600000.700000,1.429E+4,
8800000.700000,1.371E+4,
9000000.700000,1.377E+4,
9200000.700000,1.379E+4,
9400000.700000,1.389E+4,
9600000.800000,1.327E+4,
9800000.800000,1.344E+4,
1E07,1.315E+4,
1.02E07,1.306E+4,
1.04E07,1.292E+4,
1.06E07,1.296E+4,
1.08E07,1.272E+4,
1.1E07,1.263E+4,
1.12E07,1.284E+4,
1.14E07,1.260E+4,
1.16E07,1.250E+4,
1.18E07,1.234E+4,
1.2E07,1.217E+4,
1.22E07,1.204E+4,
1.24E07,1.193E+4,
1.26E07,1.180E+4,
1.28E07,1.187E+4,
1.3E07,1.164E+4,
1.32E07,1.153E+4,
1.34E07,1.163E+4,
1.36E07,1.136E+4,
1.38E07,1.143E+4,
1.4E07,1.118E+4,
1.42E07,1.120E+4,
1.44E07,1.119E+4,
1.46E07,1.097E+4,
1.48E07,1.090E+4,
1.5E07,1.078E+4,
1.52E07,1.062E+4,
1.54E07,1.057E+4,
1.56E07,1.061E+4,
1.58E07,1.062E+4,
1.6E07,1.055E+4,
1.62E07,1.032E+4,
1.64E07,1.048E+4,
1.66E07,1.041E+4,
1.68E07,1.003E+4,
1.7E07,1.009E+4,
1.72E07,1.020E+4,
1.74E07,1.011E+4,
1.76E07,1.009E+4,
1.78E07,9.736E+3,
1.8E07,9.850E+3,
1.82E07,9.672E+3,
1.84E07,9.909E+3,
1.86E07,9.684E+3,
1.88E07,9.229E+3,
1.9E07,9.276E+3,
1.92E07,9.340E+3,
1.94E07,9.200E+3,
1.96E07,9.237E+3,
1.98E07,9.247E+3,
2E07,9.141E+3,
2.02E07,9.192E+3,
2.04E07,9.264E+3,
2.06E07,9.057E+3,
2.08E07,8.969E+3,
2.1E07,8.771E+3,
2.12E07,8.847E+3,
2.14E07,9.013E+3,
2.16E07,8.813E+3,
2.18E07,8.758E+3,
2.2E07,8.790E+3,
2.22E07,8.677E+3,
2.24E07,8.634E+3,
2.26E07,8.534E+3,
2.28E07,8.673E+3,
2.3E07,8.487E+3,
2.32E07,8.523E+3,
2.34E07,8.308E+3,
2.36E07,8.402E+3,
2.38E07,8.281E+3,
2.4E07,8.475E+3,
2.42E07,8.298E+3,
2.44E07,8.241E+3,
2.46E07,8.170E+3,
2.48E07,8.241E+3,
2.5E07,8.126E+3,
2.52E07,8.001E+3,
2.54E07,8.155E+3,
2.56E07,7.917E+3,
2.58E07,7.855E+3,
2.6E07,8.072E+3,
2.62E07,7.858E+3,
2.64E07,7.814E+3,
2.66E07,7.640E+3,
2.68E07,7.778E+3,
2.7E07,7.737E+3,
2.72E07,7.805E+3,
2.74E07,7.535E+3,
2.76E07,7.814E+3,
2.78E07,7.847E+3,
2.8E07,7.530E+3,
2.82E07,7.441E+3,
2.84E07,7.419E+3,
2.86E07,7.469E+3,
2.88E07,7.602E+3,
2.9E07,7.509E+3,
2.92E07,7.468E+3,
2.94E07,7.581E+3,
2.96E07,7.307E+3,
2.98E07,7.298E+3,
3E07,7.415E+3,
3.02E07,7.313E+3,
3.04E07,7.290E+3,
3.06E07,7.212E+3,
3.08E07,7.291E+3,
3.1E07,7.111E+3,
3.12E07,7.210E+3,
3.14E07,7.162E+3,
3.16E07,7.141E+3,
3.18E07,7.084E+3,
3.2E07,6.929E+3,
3.22E07,7.148E+3,
3.24E07,7.092E+3,
3.26E07,6.982E+3,
3.28E07,7.069E+3,
3.3E07,7.186E+3,
3.32E07,7.138E+3,
3.34E07,6.947E+3,
3.36E07,7.045E+3,
3.38E07,6.930E+3,
3.4E07,6.923E+3,
3.42E07,6.880E+3,
3.44E07,6.924E+3,
3.46E07,6.977E+3,
3.48E07,6.856E+3,
3.5E07,6.794E+3,
3.52E07,6.834E+3,
3.54E07,6.819E+3,
3.56E07,6.967E+3,
3.58E07,6.923E+3,
3.6E07,6.736E+3,
3.62E07,6.688E+3,
3.64E07,6.832E+3,
3.66E07,6.803E+3,
3.68E07,6.624E+3,
3.7E07,6.642E+3,
3.72E07,6.540E+3,
3.74E07,6.720E+3,
3.76E07,6.870E+3,
3.78E07,6.778E+3,
3.8E07,6.733E+3,
3.82E07,6.550E+3,
3.84E07,6.771E+3,
3.86E07,6.454E+3,
3.88E07,6.629E+3,
3.9E07,6.551E+3,
3.92E07,6.531E+3,
3.94E07,6.606E+3,
3.96E07,6.602E+3,
3.98E07,6.476E+3,
4E07,6.454E+3,
4.02E07,6.445E+3,
4.04E07,6.436E+3,
4.06E07,6.581E+3,
4.08E07,6.447E+3,
4.1E07,6.395E+3,
4.12E07,6.455E+3,
4.14E07,6.453E+3,
4.16E07,6.521E+3,
4.18E07,6.282E+3,
4.2E07,6.362E+3,
4.22E07,6.355E+3,
4.24E07,6.349E+3,
4.26E07,6.387E+3,
4.28E07,6.275E+3,
4.3E07,6.393E+3,
4.32E07,6.424E+3,
4.34E07,6.451E+3,
4.36E07,6.369E+3,
4.38E07,6.525E+3,
4.4E07,6.411E+3,
4.42E07,6.509E+3,
4.44E07,6.330E+3,
4.46E07,6.372E+3,
4.48E07,6.316E+3,
4.5E07,6.236E+3,
4.52E07,6.474E+3,
4.54E07,6.241E+3,
4.56E07,6.051E+3,
4.58E07,6.162E+3,
4.6E07,6.194E+3,
4.62E07,6.274E+3,
4.64E07,6.233E+3,
4.66E07,6.157E+3,
4.68E07,6.174E+3,
4.7E07,6.183E+3,
4.72E07,6.236E+3,
4.74E07,6.282E+3,
4.76E07,6.134E+3,
4.78E07,6.083E+3,
4.8E07,6.136E+3,
4.82E07,6.192E+3,
4.84E07,6.248E+3,
4.86E07,6.093E+3,
4.88E07,6.226E+3,
4.9E07,6.085E+3,
4.92E07,6.234E+3,
4.94E07,5.981E+3,
4.96E07,6.128E+3,
4.98E07,5.926E+3,
5E07,6.124E+3,
5.02E07,6.161E+3,
5.04E07,5.955E+3,
5.06E07,5.962E+3,
5.08E07,6.143E+3,
5.1E07,6.095E+3,
5.12E07,6.113E+3,
5.14E07,6.210E+3,
5.16E07,6.052E+3,
5.18E07,5.976E+3,
5.2E07,5.976E+3,
5.22E07,6.153E+3,
5.24E07,6.267E+3,
5.26E07,6.176E+3,
5.28E07,6.220E+3,
5.3E07,6.048E+3,
5.32E07,5.994E+3,
5.34E07,6.030E+3,
5.36E07,6.150E+3,
5.38E07,5.987E+3,
5.4E07,6.101E+3,
5.42E07,6.091E+3,
5.44E07,5.894E+3,
5.46E07,6.171E+3,
5.48E07,6.017E+3,
5.5E07,5.928E+3,
5.52E07,6.059E+3,
5.54E07,5.915E+3,
5.56E07,6.130E+3,
5.58E07,6.099E+3,
5.6E07,6.006E+3,
5.62E07,6.085E+3,
5.64E07,6.037E+3,
5.66E07,6.015E+3,
5.68E07,5.943E+3,
5.7E07,5.808E+3,
5.72E07,5.894E+3,
5.74E07,5.922E+3,
5.76E07,6.015E+3,
5.78E07,6.016E+3,
5.8E07,5.885E+3,
5.82E07,6.076E+3,
5.84E07,5.942E+3,
5.86E07,5.952E+3,
5.88E07,5.870E+3,
5.9E07,5.857E+3,
5.92E07,6.079E+3,
5.94E07,5.880E+3,
5.96E07,6.041E+3,
5.98E07,5.761E+3,
6E07,5.788E+3,
6.02E07,5.767E+3,
6.04E07,5.859E+3,
6.06E07,5.942E+3,
6.08E07,5.872E+3,
6.1E07,5.855E+3,
6.12E07,5.891E+3,
6.14E07,5.966E+3,
6.16E07,5.852E+3,
6.18E07,5.998E+3,
6.2E07,5.930E+3,
6.22E07,6.069E+3,
6.24E07,5.989E+3,
6.26E07,5.759E+3,
6.28E07,5.771E+3,
6.3E07,5.826E+3,
6.32E07,5.853E+3,
6.34E07,5.869E+3,
6.36E07,5.956E+3,
6.38E07,5.857E+3,
64000005.000000,5.970E+3,
64200005.000000,5.752E+3,
64400005.000000,5.935E+3,
64600005.000000,5.889E+3,
64800005.000000,5.837E+3,
65000005.000000,5.880E+3,
65200005.000000,5.865E+3,
65400005.000000,5.755E+3,
65600005.000000,5.795E+3,
65800005.000000,5.757E+3,
