Labels,2ms_77k,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.128E+4,
2E05,4.290E+4,
4E05,7.533E+4,
6E05,1.060E+5,
800000.060000,1.351E+5,
1E06,1.618E+5,
1.2E06,1.871E+5,
1.4E06,2.110E+5,
1.6E06,2.341E+5,
1.8E06,2.562E+5,
2E06,2.741E+5,
2.2E06,2.738E+5,
2.4E06,2.694E+5,
2.6E06,2.660E+5,
2.8E06,2.616E+5,
3E06,2.565E+5,
3.2E06,2.531E+5,
3.4E06,2.491E+5,
3.6E06,2.451E+5,
3.8E06,2.419E+5,
4E06,2.369E+5,
4.2E06,2.341E+5,
4.4E06,2.308E+5,
4.6E06,2.272E+5,
4.8E06,2.243E+5,
5E06,2.207E+5,
5.2E06,2.170E+5,
5.4E06,2.142E+5,
5.6E06,2.115E+5,
5.8E06,2.077E+5,
6E06,2.047E+5,
6.2E06,2.016E+5,
6400000.500000,1.982E+5,
6600000.500000,1.964E+5,
6800000.500000,1.929E+5,
7000000.500000,1.893E+5,
7200000.600000,1.878E+5,
7400000.600000,1.848E+5,
7600000.600000,1.821E+5,
7800000.600000,1.791E+5,
8000000.600000,1.758E+5,
8200000.600000,1.743E+5,
8400000.700000,1.717E+5,
8600000.700000,1.690E+5,
8800000.700000,1.667E+5,
9000000.700000,1.641E+5,
9200000.700000,1.618E+5,
9400000.700000,1.604E+5,
9600000.800000,1.575E+5,
9800000.800000,1.548E+5,
1E07,1.528E+5,
1.02E07,1.498E+5,
1.04E07,1.491E+5,
1.06E07,1.462E+5,
1.08E07,1.451E+5,
1.1E07,1.429E+5,
1.12E07,1.406E+5,
1.14E07,1.386E+5,
1.16E07,1.367E+5,
1.18E07,1.348E+5,
1.2E07,1.323E+5,
1.22E07,1.313E+5,
1.24E07,1.294E+5,
1.26E07,1.276E+5,
1.28E07,1.261E+5,
1.3E07,1.240E+5,
1.32E07,1.217E+5,
1.34E07,1.207E+5,
1.36E07,1.192E+5,
1.38E07,1.169E+5,
1.4E07,1.152E+5,
1.42E07,1.139E+5,
1.44E07,1.124E+5,
1.46E07,1.109E+5,
1.48E07,1.090E+5,
1.5E07,1.081E+5,
1.52E07,1.059E+5,
1.54E07,1.051E+5,
1.56E07,1.037E+5,
1.58E07,1.017E+5,
1.6E07,1.010E+5,
1.62E07,9.963E+4,
1.64E07,9.757E+4,
1.66E07,9.665E+4,
1.68E07,9.486E+4,
1.7E07,9.415E+4,
1.72E07,9.262E+4,
1.74E07,9.119E+4,
1.76E07,9.037E+4,
1.78E07,8.930E+4,
1.8E07,8.693E+4,
1.82E07,8.640E+4,
1.84E07,8.627E+4,
1.86E07,8.477E+4,
1.88E07,8.260E+4,
1.9E07,8.249E+4,
1.92E07,8.100E+4,
1.94E07,8.008E+4,
1.96E07,7.863E+4,
1.98E07,7.758E+4,
2E07,7.669E+4,
2.02E07,7.545E+4,
2.04E07,7.433E+4,
2.06E07,7.381E+4,
2.08E07,7.241E+4,
2.1E07,7.125E+4,
2.12E07,7.061E+4,
2.14E07,7.010E+4,
2.16E07,6.827E+4,
2.18E07,6.835E+4,
2.2E07,6.729E+4,
2.22E07,6.623E+4,
2.24E07,6.513E+4,
2.26E07,6.422E+4,
2.28E07,6.363E+4,
2.3E07,6.225E+4,
2.32E07,6.219E+4,
2.34E07,6.115E+4,
2.36E07,6.014E+4,
2.38E07,5.971E+4,
2.4E07,5.888E+4,
2.42E07,5.790E+4,
2.44E07,5.741E+4,
2.46E07,5.621E+4,
2.48E07,5.585E+4,
2.5E07,5.493E+4,
2.52E07,5.386E+4,
2.54E07,5.335E+4,
2.56E07,5.293E+4,
2.58E07,5.191E+4,
2.6E07,5.149E+4,
2.62E07,5.122E+4,
2.64E07,5.031E+4,
2.66E07,4.944E+4,
2.68E07,4.903E+4,
2.7E07,4.831E+4,
2.72E07,4.777E+4,
2.74E07,4.745E+4,
2.76E07,4.648E+4,
2.78E07,4.573E+4,
2.8E07,4.518E+4,
2.82E07,4.495E+4,
2.84E07,4.419E+4,
2.86E07,4.366E+4,
2.88E07,4.267E+4,
2.9E07,4.267E+4,
2.92E07,4.203E+4,
2.94E07,4.142E+4,
2.96E07,4.083E+4,
2.98E07,4.033E+4,
3E07,3.982E+4,
3.02E07,3.954E+4,
3.04E07,3.908E+4,
3.06E07,3.814E+4,
3.08E07,3.808E+4,
3.1E07,3.785E+4,
3.12E07,3.693E+4,
3.14E07,3.650E+4,
3.16E07,3.670E+4,
3.18E07,3.555E+4,
3.2E07,3.518E+4,
3.22E07,3.476E+4,
3.24E07,3.444E+4,
3.26E07,3.388E+4,
3.28E07,3.368E+4,
3.3E07,3.314E+4,
3.32E07,3.273E+4,
3.34E07,3.259E+4,
3.36E07,3.229E+4,
3.38E07,3.183E+4,
3.4E07,3.152E+4,
3.42E07,3.091E+4,
3.44E07,3.029E+4,
3.46E07,2.990E+4,
3.48E07,2.975E+4,
3.5E07,2.932E+4,
3.52E07,2.964E+4,
3.54E07,2.876E+4,
3.56E07,2.832E+4,
3.58E07,2.813E+4,
3.6E07,2.764E+4,
3.62E07,2.731E+4,
3.64E07,2.712E+4,
3.66E07,2.702E+4,
3.68E07,2.648E+4,
3.7E07,2.627E+4,
3.72E07,2.585E+4,
3.74E07,2.529E+4,
3.76E07,2.519E+4,
3.78E07,2.512E+4,
3.8E07,2.478E+4,
3.82E07,2.479E+4,
3.84E07,2.434E+4,
3.86E07,2.434E+4,
3.88E07,2.335E+4,
3.9E07,2.357E+4,
3.92E07,2.340E+4,
3.94E07,2.297E+4,
3.96E07,2.257E+4,
3.98E07,2.220E+4,
4E07,2.219E+4,
4.02E07,2.191E+4,
4.04E07,2.171E+4,
4.06E07,2.156E+4,
4.08E07,2.119E+4,
4.1E07,2.082E+4,
4.12E07,2.074E+4,
4.14E07,2.078E+4,
4.16E07,2.047E+4,
4.18E07,2.010E+4,
4.2E07,2.019E+4,
4.22E07,1.989E+4,
4.24E07,1.953E+4,
4.26E07,1.913E+4,
4.28E07,1.920E+4,
4.3E07,1.918E+4,
4.32E07,1.880E+4,
4.34E07,1.858E+4,
4.36E07,1.836E+4,
4.38E07,1.822E+4,
4.4E07,1.817E+4,
4.42E07,1.786E+4,
4.44E07,1.760E+4,
4.46E07,1.747E+4,
4.48E07,1.739E+4,
4.5E07,1.704E+4,
4.52E07,1.697E+4,
4.54E07,1.684E+4,
4.56E07,1.642E+4,
4.58E07,1.652E+4,
4.6E07,1.632E+4,
4.62E07,1.635E+4,
4.64E07,1.616E+4,
4.66E07,1.589E+4,
4.68E07,1.556E+4,
4.7E07,1.589E+4,
4.72E07,1.529E+4,
4.74E07,1.539E+4,
4.76E07,1.530E+4,
4.78E07,1.530E+4,
4.8E07,1.494E+4,
4.82E07,1.490E+4,
4.84E07,1.468E+4,
4.86E07,1.460E+4,
4.88E07,1.423E+4,
4.9E07,1.432E+4,
4.92E07,1.441E+4,
4.94E07,1.401E+4,
4.96E07,1.410E+4,
4.98E07,1.389E+4,
5E07,1.373E+4,
5.02E07,1.357E+4,
5.04E07,1.355E+4,
5.06E07,1.341E+4,
5.08E07,1.340E+4,
5.1E07,1.331E+4,
5.12E07,1.309E+4,
5.14E07,1.299E+4,
5.16E07,1.278E+4,
5.18E07,1.282E+4,
5.2E07,1.253E+4,
5.22E07,1.276E+4,
5.24E07,1.252E+4,
5.26E07,1.236E+4,
5.28E07,1.214E+4,
5.3E07,1.224E+4,
5.32E07,1.207E+4,
5.34E07,1.220E+4,
5.36E07,1.190E+4,
5.38E07,1.200E+4,
5.4E07,1.171E+4,
5.42E07,1.156E+4,
5.44E07,1.140E+4,
5.46E07,1.147E+4,
5.48E07,1.116E+4,
5.5E07,1.135E+4,
5.52E07,1.124E+4,
5.54E07,1.102E+4,
5.56E07,1.111E+4,
5.58E07,1.111E+4,
5.6E07,1.105E+4,
5.62E07,1.094E+4,
5.64E07,1.067E+4,
5.66E07,1.070E+4,
5.68E07,1.066E+4,
5.7E07,1.051E+4,
5.72E07,1.036E+4,
5.74E07,1.034E+4,
5.76E07,1.038E+4,
5.78E07,1.027E+4,
5.8E07,1.043E+4,
5.82E07,1.026E+4,
5.84E07,1.014E+4,
5.86E07,9.979E+3,
5.88E07,1.001E+4,
5.9E07,9.956E+3,
5.92E07,9.978E+3,
5.94E07,9.800E+3,
5.96E07,9.639E+3,
5.98E07,9.800E+3,
6E07,9.538E+3,
6.02E07,9.551E+3,
6.04E07,9.489E+3,
6.06E07,9.421E+3,
6.08E07,9.471E+3,
6.1E07,9.405E+3,
6.12E07,9.452E+3,
6.14E07,9.413E+3,
6.16E07,9.070E+3,
6.18E07,9.112E+3,
6.2E07,9.036E+3,
6.22E07,9.001E+3,
6.24E07,9.052E+3,
6.26E07,9.058E+3,
6.28E07,9.031E+3,
6.3E07,8.766E+3,
6.32E07,8.599E+3,
6.34E07,8.861E+3,
6.36E07,8.735E+3,
6.38E07,8.860E+3,
64000005.000000,8.751E+3,
64200005.000000,8.665E+3,
64400005.000000,8.563E+3,
64600005.000000,8.562E+3,
64800005.000000,8.639E+3,
65000005.000000,8.526E+3,
65200005.000000,8.512E+3,
65400005.000000,8.386E+3,
65600005.000000,8.161E+3,
65800005.000000,8.334E+3,
