Labels,150K,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,3.959E+4,
1401.000,3.944E+4,
1402.05000,3.918E+4,
1403.1000,3.871E+4,
1404.15000,3.890E+4,
1405.2000,3.954E+4,
1406.25000,3.909E+4,
1407.3000,3.950E+4,
1408.35000,3.964E+4,
1409.4000,3.906E+4,
1410.45000,3.955E+4,
1411.5000,3.878E+4,
1412.55000,3.893E+4,
1413.6000,3.914E+4,
1414.65000,3.913E+4,
1415.7000,3.862E+4,
1416.75000,3.894E+4,
1417.8000,3.938E+4,
1418.85000,3.889E+4,
1419.9000,3.902E+4,
1420.95000,3.940E+4,
1422.000,3.887E+4,
1423.05000,3.950E+4,
1424.1000,3.911E+4,
1425.15000,3.930E+4,
1426.2000,3.896E+4,
1427.25000,3.930E+4,
1428.3000,3.944E+4,
1429.35000,3.881E+4,
1430.4000,3.920E+4,
1431.45000,3.912E+4,
1432.5000,3.879E+4,
1433.55000,3.929E+4,
1434.6000,3.963E+4,
1435.65000,3.938E+4,
1436.7000,3.934E+4,
1437.75000,3.935E+4,
1438.8000,3.959E+4,
1439.85000,3.986E+4,
1440.9000,3.965E+4,
1441.95000,3.937E+4,
1443.000,3.928E+4,
1444.05000,3.928E+4,
1445.1000,3.974E+4,
1446.15000,3.917E+4,
1447.2000,3.941E+4,
1448.25000,3.961E+4,
1449.3000,3.941E+4,
1450.35000,3.922E+4,
1451.4000,3.980E+4,
1452.45000,3.940E+4,
1453.5000,3.921E+4,
1454.55000,3.930E+4,
1455.6000,4.010E+4,
1456.65000,3.993E+4,
1457.7000,4.004E+4,
1458.75000,4.020E+4,
1459.8000,4.044E+4,
1460.85000,3.996E+4,
1461.9000,4.069E+4,
1462.95000,4.046E+4,
1464.000,4.041E+4,
1465.05000,4.117E+4,
1466.1000,4.084E+4,
1467.15000,4.101E+4,
1468.2000,4.129E+4,
1469.25000,4.150E+4,
1470.3000,4.105E+4,
1471.35000,4.135E+4,
1472.4000,4.091E+4,
1473.45000,4.161E+4,
1474.5000,4.133E+4,
1475.55000,4.228E+4,
1476.6000,4.212E+4,
1477.65000,4.234E+4,
1478.7000,4.211E+4,
1479.75000,4.240E+4,
1480.8000,4.299E+4,
1481.85000,4.258E+4,
1482.9000,4.330E+4,
1483.95000,4.301E+4,
1485.000,4.333E+4,
1486.05000,4.386E+4,
1487.1000,4.400E+4,
1488.15000,4.430E+4,
1489.2000,4.420E+4,
1490.25000,4.379E+4,
1491.3000,4.426E+4,
1492.35000,4.403E+4,
1493.4000,4.382E+4,
1494.45000,4.422E+4,
1495.5000,4.451E+4,
1496.55000,4.462E+4,
1497.6000,4.522E+4,
1498.65000,4.507E+4,
1499.7000,4.476E+4,
1500.75000,4.419E+4,
1501.8000,4.425E+4,
1502.85000,4.420E+4,
1503.9000,4.505E+4,
1504.95000,4.523E+4,
1506.000,4.500E+4,
1507.05000,4.505E+4,
1508.1000,4.549E+4,
1509.15000,4.492E+4,
1510.2000,4.497E+4,
1511.25000,4.536E+4,
1512.3000,4.673E+4,
1513.35000,4.653E+4,
1514.4000,4.681E+4,
1515.45000,4.791E+4,
1516.5000,4.829E+4,
1517.55000,4.952E+4,
1518.6000,5.089E+4,
1519.65000,5.249E+4,
1520.7000,5.371E+4,
1521.75000,5.606E+4,
1522.8000,5.820E+4,
1523.85000,6.011E+4,
1524.9000,6.237E+4,
1525.95000,6.614E+4,
1527.000,7.081E+4,
1528.05000,7.463E+4,
1529.1000,7.888E+4,
1530.15000,8.539E+4,
1531.2000,9.642E+4,
1532.25000,1.111E+5,
1533.3000,1.294E+5,
1534.35000,1.402E+5,
1535.4000,1.383E+5,
1536.45000,1.255E+5,
1537.5000,1.097E+5,
1538.55000,1.029E+5,
1539.6000,1.055E+5,
1540.65000,1.113E+5,
1541.7000,1.139E+5,
1542.75000,1.134E+5,
1543.8000,1.087E+5,
1544.85000,1.014E+5,
1545.9000,9.378E+4,
1546.95000,8.760E+4,
1548.000,8.298E+4,
1549.05000,7.861E+4,
1550.1000,7.601E+4,
1551.15000,7.261E+4,
1552.2000,6.937E+4,
1553.25000,6.641E+4,
1554.3000,6.396E+4,
1555.35000,6.254E+4,
1556.4000,6.169E+4,
1557.45000,5.969E+4,
1558.5000,5.796E+4,
1559.55000,5.773E+4,
1560.6000,5.662E+4,
1561.65000,5.537E+4,
1562.7000,5.434E+4,
1563.75000,5.404E+4,
1564.8000,5.358E+4,
1565.85000,5.218E+4,
1566.9000,5.207E+4,
1567.95000,5.053E+4,
1569.000,4.994E+4,
1570.05000,4.921E+4,
1571.1000,4.797E+4,
1572.15000,4.757E+4,
1573.2000,4.749E+4,
1574.25000,4.627E+4,
1575.3000,4.596E+4,
1576.35000,4.508E+4,
1577.4000,4.490E+4,
1578.45000,4.480E+4,
1579.5000,4.424E+4,
1580.55000,4.421E+4,
1581.6000,4.390E+4,
1582.65000,4.414E+4,
1583.7000,4.371E+4,
1584.75000,4.373E+4,
1585.8000,4.377E+4,
1586.85000,4.312E+4,
1587.9000,4.353E+4,
1588.95000,4.383E+4,
1590.00,4.424E+4,
1591.05000,4.387E+4,
1592.1000,4.409E+4,
1593.15000,4.342E+4,
1594.2000,4.327E+4,
1595.25000,4.305E+4,
1596.3000,4.354E+4,
1597.35000,4.419E+4,
1598.4000,4.349E+4,
1599.45000,4.459E+4,
1600.5000,4.421E+4,
1601.55000,4.377E+4,
1602.6000,4.341E+4,
1603.65000,4.361E+4,
1604.7000,4.420E+4,
1605.75000,4.416E+4,
1606.8000,4.380E+4,
1607.85000,4.461E+4,
1608.9000,4.483E+4,
1609.95000,4.490E+4,
1611.000,4.421E+4,
1612.05000,4.454E+4,
1613.1000,4.377E+4,
1614.15000,4.417E+4,
1615.2000,4.335E+4,
1616.25000,4.392E+4,
1617.3000,4.338E+4,
1618.35000,4.343E+4,
1619.4000,4.333E+4,
1620.45000,4.243E+4,
1621.5000,4.260E+4,
1622.55000,4.292E+4,
1623.6000,4.263E+4,
1624.65000,4.228E+4,
1625.7000,4.215E+4,
1626.75000,4.205E+4,
1627.8000,4.138E+4,
1628.85000,4.128E+4,
1629.9000,4.042E+4,
1630.95000,4.054E+4,
1632.000,4.054E+4,
1633.05000,4.025E+4,
1634.1000,4.024E+4,
1635.15000,4.048E+4,
1636.2000,3.971E+4,
1637.25000,3.985E+4,
1638.3000,3.915E+4,
1639.35000,4.004E+4,
1640.4000,3.973E+4,
1641.45000,3.893E+4,
1642.5000,3.942E+4,
1643.55000,3.923E+4,
1644.6000,3.985E+4,
1645.65000,3.923E+4,
1646.7000,3.907E+4,
1647.75000,3.964E+4,
1648.8000,3.855E+4,
1649.85000,3.912E+4,
1650.9000,3.854E+4,
1651.95000,3.887E+4,
1653.000,3.859E+4,
1654.05000,3.903E+4,
1655.1000,3.863E+4,
1656.15000,3.908E+4,
1657.2000,3.888E+4,
1658.25000,3.926E+4,
1659.3000,3.901E+4,
1660.35000,3.922E+4,
1661.4000,3.902E+4,
1662.45000,3.946E+4,
1663.5000,3.915E+4,
1664.55000,3.939E+4,
1665.6000,3.885E+4,
1666.65000,3.861E+4,
1667.7000,3.889E+4,
1668.75000,3.838E+4,
1669.8000,3.921E+4,
1670.85000,3.944E+4,
1671.9000,3.930E+4,
1672.95000,3.885E+4,
1674.000,3.962E+4,
1675.05000,3.887E+4,
1676.1000,3.907E+4,
1677.15000,3.898E+4,
1678.2000,3.949E+4,
1679.25000,3.935E+4,
1680.3000,3.921E+4,
1681.35000,3.851E+4,
1682.4000,3.907E+4,
1683.45000,3.934E+4,
1684.5000,3.910E+4,
1685.55000,3.912E+4,
1686.6000,3.896E+4,
1687.65000,3.945E+4,
1688.7000,3.890E+4,
1689.75000,3.908E+4,
1690.8000,3.965E+4,
1691.85000,3.952E+4,
1692.9000,3.966E+4,
1693.95000,3.920E+4,
1695.000,3.913E+4,
1696.05000,3.937E+4,
1697.1000,3.940E+4,
1698.15000,3.963E+4,
1699.2000,3.927E+4,
1700.25000,3.909E+4,
