StdOrder,RunOrder,CenterPt,Blocks,Er,Yb,Deposition Time,Pressure,Sample ID
5,1,1,1,-1,-1,1,1,T2
4,2,1,1,1,1,-1,-1,T4
1,3,1,1,-1,-1,-1,-1,T5
8,4,1,1,1,1,1,1,T6
2,5,1,1,1,-1,-1,1,T7
7,6,1,1,-1,1,1,-1,T8
11,7,0,1,0,0,0,0,T10
10,8,0,1,0,0,0,0,T11
6,9,1,1,1,-1,1,-1,T14
3,10,1,2,-1,1,-1,1,T15
9,11,0,2,0,0,0,0,T16
17,12,1,2,1,1,1,-1,T20
18,13,1,2,-1,-1,-1,1,T21
14,14,1,2,-1,1,1,1,T22
20,15,0,2,0,0,0,0,T23
15,16,1,2,-1,-1,1,-1,T24
12,17,1,2,1,1,-1,1,T25
13,18,1,2,1,-1,1,1,T26
16,19,1,2,1,-1,-1,-1,T27
19,20,1,2,-1,1,-1,-1,T28
21,21,0,2,0,0,0,0,T29
