Labels,T24_decay_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,7.720E+2,
2.5E04,7.910E+2,
5E04,7.660E+2,
75000.006000,7.910E+2,
1E05,9.210E+2,
1.25E05,1.876E+3,
1.5E05,3.096E+3,
1.75E05,4.072E+3,
2E05,5.251E+3,
2.25E05,6.367E+3,
2.5E05,7.504E+3,
2.75E05,8.609E+3,
3E05,9.757E+3,
3.25E05,1.055E+4,
3.5E05,1.182E+4,
3.75E05,1.282E+4,
4E05,1.391E+4,
4.25E05,1.489E+4,
4.5E05,1.595E+4,
4.75E05,1.732E+4,
5E05,1.809E+4,
5.25E05,1.907E+4,
5.5E05,2.017E+4,
5.75E05,2.101E+4,
6E05,2.223E+4,
6.25E05,2.268E+4,
650000.050000,2.392E+4,
675000.050000,2.496E+4,
700000.050000,2.561E+4,
725000.060000,2.655E+4,
750000.060000,2.770E+4,
775000.060000,2.859E+4,
800000.060000,2.960E+4,
825000.060000,3.049E+4,
850000.070000,3.149E+4,
875000.070000,3.189E+4,
900000.070000,3.289E+4,
925000.070000,3.373E+4,
950000.070000,3.528E+4,
975000.080000,3.602E+4,
1E06,3.655E+4,
1.025E006,3.744E+4,
1.05E06,3.851E+4,
1.075E006,3.923E+4,
1.1E06,3.974E+4,
1.125E006,3.961E+4,
1.15E06,3.998E+4,
1.175E006,3.969E+4,
1.2E06,3.961E+4,
1.225E006,3.942E+4,
1.25E06,3.916E+4,
1.275E006,3.923E+4,
1.3E06,3.882E+4,
1.325E006,3.912E+4,
1.35E06,3.900E+4,
1.375E006,3.882E+4,
1.4E06,3.879E+4,
1.425E006,3.875E+4,
1.45E06,3.898E+4,
1.475E006,3.838E+4,
1.5E06,3.845E+4,
1.525E006,3.832E+4,
1.55E06,3.840E+4,
1.575E006,3.793E+4,
1.6E06,3.850E+4,
1.625E006,3.793E+4,
1.65E06,3.832E+4,
1.675E006,3.777E+4,
1.7E06,3.830E+4,
1.725E006,3.813E+4,
1.75E06,3.795E+4,
1.775E006,3.758E+4,
1.8E06,3.758E+4,
1.825E006,3.716E+4,
1.85E06,3.758E+4,
1.875E006,3.718E+4,
1.9E06,3.739E+4,
1.925E006,3.716E+4,
1.95E06,3.723E+4,
1.975E006,3.712E+4,
2E06,3.713E+4,
2.025E006,3.691E+4,
2.05E06,3.692E+4,
2.075E006,3.696E+4,
2.1E06,3.677E+4,
2.125E006,3.665E+4,
2.15E06,3.652E+4,
2.175E006,3.661E+4,
2.2E06,3.656E+4,
2.225E006,3.641E+4,
2.25E06,3.637E+4,
2.275E006,3.633E+4,
2.3E06,3.610E+4,
2.325E006,3.615E+4,
2.35E06,3.585E+4,
2.375E006,3.617E+4,
2.4E06,3.600E+4,
2.425E006,3.601E+4,
2.45E06,3.570E+4,
2.475E006,3.565E+4,
2.5E06,3.573E+4,
2.525E006,3.547E+4,
2.55E06,3.563E+4,
2.575E006,3.545E+4,
2.6E06,3.543E+4,
2.625E006,3.533E+4,
2.65E06,3.563E+4,
2.675E006,3.538E+4,
2.7E06,3.513E+4,
2.725E006,3.513E+4,
2.75E06,3.496E+4,
2.775E006,3.506E+4,
2.8E06,3.504E+4,
2.825E006,3.517E+4,
2.85E06,3.477E+4,
2.875E006,3.522E+4,
2.9E06,3.443E+4,
2.925E006,3.443E+4,
2.95E06,3.455E+4,
2.975E006,3.441E+4,
3E06,3.456E+4,
3.025E006,3.423E+4,
3.05E06,3.430E+4,
3.075E006,3.394E+4,
3.1E06,3.377E+4,
3.125E006,3.459E+4,
3.15E06,3.403E+4,
3.175E006,3.385E+4,
3.2E06,3.389E+4,
3.225E006,3.393E+4,
3.25E06,3.379E+4,
3.275E006,3.367E+4,
3.3E06,3.373E+4,
3.325E006,3.347E+4,
3.35E06,3.345E+4,
3.375E006,3.346E+4,
3.4E06,3.336E+4,
3.425E006,3.356E+4,
3.45E06,3.289E+4,
3.475E006,3.309E+4,
3.5E06,3.331E+4,
3.525E006,3.285E+4,
3.55E06,3.283E+4,
3.575E006,3.299E+4,
3.6E06,3.287E+4,
3.625E006,3.280E+4,
3.65E06,3.273E+4,
3.675E006,3.295E+4,
3.7E06,3.287E+4,
3.725E006,3.242E+4,
3.75E06,3.275E+4,
3.775E006,3.260E+4,
3.8E06,3.222E+4,
3.825E006,3.236E+4,
3.85E06,3.240E+4,
3.875E006,3.226E+4,
3.9E06,3.240E+4,
3.925E006,3.205E+4,
3.95E06,3.190E+4,
3.975E006,3.204E+4,
4E06,3.216E+4,
4.025E006,3.176E+4,
4.05E06,3.192E+4,
4.075E006,3.139E+4,
4.1E06,3.164E+4,
4.125E006,3.149E+4,
4.15E06,3.142E+4,
4.175E006,3.129E+4,
4.2E06,3.172E+4,
4.225E006,3.158E+4,
4.25E06,3.129E+4,
4.275E006,3.124E+4,
4.3E06,3.115E+4,
4.325E006,3.127E+4,
4.35E06,3.102E+4,
4.375E006,3.096E+4,
4.4E06,3.115E+4,
4.425E006,3.093E+4,
4.45E06,3.064E+4,
4.475E006,3.085E+4,
4.5E06,3.055E+4,
4.525E006,3.075E+4,
4.55E06,3.061E+4,
4.575E006,3.043E+4,
4.6E06,3.049E+4,
4.625E006,3.068E+4,
4.65E06,3.047E+4,
4.675E006,3.042E+4,
4.7E06,3.047E+4,
4.725E006,3.020E+4,
4.75E06,3.012E+4,
4.775E006,3.033E+4,
4.8E06,3.014E+4,
4.825E006,3.003E+4,
4.85E06,3.015E+4,
4.875E006,2.984E+4,
4.9E06,2.984E+4,
4.925E006,2.971E+4,
4.95E06,2.975E+4,
4.975E006,2.974E+4,
5E06,2.962E+4,
5.025E006,2.937E+4,
5.05E06,2.946E+4,
5.075E006,2.919E+4,
5.1E06,2.931E+4,
5.125E006,2.937E+4,
5.15E06,2.951E+4,
5.175E006,2.933E+4,
5.2E06,2.952E+4,
5.225E006,2.900E+4,
5.25E06,2.934E+4,
5.275E006,2.894E+4,
5.3E06,2.865E+4,
5.325E006,2.869E+4,
5.35E06,2.900E+4,
5.375E006,2.868E+4,
5.4E06,2.879E+4,
5.425E006,2.892E+4,
5.45E06,2.839E+4,
5.475E006,2.873E+4,
5.5E06,2.849E+4,
5.525E006,2.843E+4,
5.55E06,2.839E+4,
5.575E006,2.824E+4,
5.6E06,2.832E+4,
5.625E006,2.842E+4,
5.65E06,2.837E+4,
5.675E006,2.860E+4,
5.7E06,2.827E+4,
5.725E006,2.800E+4,
5.75E06,2.785E+4,
5.775E006,2.813E+4,
5.8E06,2.799E+4,
5.825E006,2.800E+4,
5.85E06,2.792E+4,
5.875E006,2.796E+4,
5.9E06,2.803E+4,
5.925E006,2.770E+4,
5.95E06,2.756E+4,
5.975E006,2.753E+4,
6E06,2.726E+4,
6.025E006,2.702E+4,
6.05E06,2.729E+4,
6.075E006,2.737E+4,
6.1E06,2.716E+4,
6.125E006,2.713E+4,
6.15E06,2.728E+4,
6.175E006,2.742E+4,
6.2E06,2.704E+4,
6.225E006,2.702E+4,
6.25E06,2.692E+4,
6.275E006,2.681E+4,
6.3E06,2.679E+4,
6.325E006,2.686E+4,
6.35E06,2.696E+4,
6.375E006,2.683E+4,
6400000.500000,2.662E+4,
6425000.500000,2.683E+4,
6450000.500000,2.680E+4,
6475000.500000,2.631E+4,
6500000.500000,2.635E+4,
6525000.500000,2.659E+4,
6550000.500000,2.632E+4,
6575000.500000,2.635E+4,
6600000.500000,2.642E+4,
6625000.500000,2.633E+4,
6650000.500000,2.628E+4,
6675000.500000,2.613E+4,
6700000.500000,2.617E+4,
6725000.500000,2.617E+4,
6750000.500000,2.604E+4,
6775000.500000,2.601E+4,
6800000.500000,2.598E+4,
6825000.500000,2.593E+4,
6850000.500000,2.606E+4,
6875000.500000,2.586E+4,
6900000.500000,2.583E+4,
6925000.500000,2.548E+4,
6950000.500000,2.582E+4,
6975000.500000,2.570E+4,
7000000.500000,2.530E+4,
7025000.500000,2.523E+4,
7050000.600000,2.560E+4,
7075000.600000,2.548E+4,
7100000.600000,2.530E+4,
7125000.600000,2.510E+4,
7150000.600000,2.517E+4,
7175000.600000,2.507E+4,
7200000.600000,2.514E+4,
7225000.600000,2.501E+4,
7250000.600000,2.503E+4,
7275000.600000,2.505E+4,
7300000.600000,2.500E+4,
7325000.600000,2.507E+4,
7350000.600000,2.471E+4,
7375000.600000,2.493E+4,
7400000.600000,2.498E+4,
7425000.600000,2.456E+4,
7450000.600000,2.477E+4,
7475000.600000,2.467E+4,
7500000.600000,2.459E+4,
7525000.600000,2.457E+4,
7550000.600000,2.440E+4,
7575000.600000,2.433E+4,
7600000.600000,2.456E+4,
7625000.600000,2.466E+4,
7650000.600000,2.433E+4,
7675000.600000,2.428E+4,
7700000.600000,2.406E+4,
7725000.600000,2.441E+4,
7750000.600000,2.434E+4,
7775000.600000,2.439E+4,
7800000.600000,2.404E+4,
7825000.600000,2.391E+4,
7850000.600000,2.410E+4,
7875000.600000,2.410E+4,
7900000.600000,2.368E+4,
7925000.600000,2.428E+4,
7950000.600000,2.409E+4,
7975000.600000,2.365E+4,
8000000.600000,2.378E+4,
8025000.600000,2.367E+4,
8050000.600000,2.350E+4,
8075000.600000,2.378E+4,
8100000.600000,2.361E+4,
8125000.600000,2.333E+4,
8150000.600000,2.339E+4,
