Labels,T27_decay_canolaOil,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,7.950E+2,
2.5E04,7.880E+2,
5E04,8.250E+2,
75000.006000,8.140E+2,
1E05,8.710E+2,
1.25E05,1.342E+3,
1.5E05,2.200E+3,
1.75E05,2.939E+3,
2E05,3.809E+3,
2.25E05,4.811E+3,
2.5E05,5.611E+3,
2.75E05,6.320E+3,
3E05,7.271E+3,
3.25E05,8.246E+3,
3.5E05,8.937E+3,
3.75E05,9.875E+3,
4E05,1.065E+4,
4.25E05,1.133E+4,
4.5E05,1.195E+4,
4.75E05,1.299E+4,
5E05,1.376E+4,
5.25E05,1.471E+4,
5.5E05,1.532E+4,
5.75E05,1.595E+4,
6E05,1.695E+4,
6.25E05,1.784E+4,
650000.050000,1.843E+4,
675000.050000,1.906E+4,
700000.050000,1.968E+4,
725000.060000,2.058E+4,
750000.060000,2.146E+4,
775000.060000,2.197E+4,
800000.060000,2.259E+4,
825000.060000,2.338E+4,
850000.070000,2.394E+4,
875000.070000,2.481E+4,
900000.070000,2.558E+4,
925000.070000,2.642E+4,
950000.070000,2.658E+4,
975000.080000,2.760E+4,
1E06,2.799E+4,
1.025E006,2.906E+4,
1.05E06,2.946E+4,
1.075E006,2.992E+4,
1.1E06,3.105E+4,
1.125E006,3.095E+4,
1.15E06,3.089E+4,
1.175E006,3.091E+4,
1.2E06,3.113E+4,
1.225E006,3.088E+4,
1.25E06,3.086E+4,
1.275E006,3.062E+4,
1.3E06,3.059E+4,
1.325E006,3.085E+4,
1.35E06,3.046E+4,
1.375E006,3.045E+4,
1.4E06,3.034E+4,
1.425E006,3.033E+4,
1.45E06,3.000E+4,
1.475E006,3.041E+4,
1.5E06,3.039E+4,
1.525E006,3.010E+4,
1.55E06,3.011E+4,
1.575E006,2.978E+4,
1.6E06,3.001E+4,
1.625E006,2.949E+4,
1.65E06,2.969E+4,
1.675E006,2.943E+4,
1.7E06,2.928E+4,
1.725E006,2.935E+4,
1.75E06,2.947E+4,
1.775E006,2.926E+4,
1.8E06,2.908E+4,
1.825E006,2.938E+4,
1.85E06,2.892E+4,
1.875E006,2.920E+4,
1.9E06,2.889E+4,
1.925E006,2.864E+4,
1.95E06,2.889E+4,
1.975E006,2.886E+4,
2E06,2.845E+4,
2.025E006,2.873E+4,
2.05E06,2.855E+4,
2.075E006,2.850E+4,
2.1E06,2.832E+4,
2.125E006,2.828E+4,
2.15E06,2.818E+4,
2.175E006,2.807E+4,
2.2E06,2.805E+4,
2.225E006,2.816E+4,
2.25E06,2.793E+4,
2.275E006,2.800E+4,
2.3E06,2.799E+4,
2.325E006,2.770E+4,
2.35E06,2.760E+4,
2.375E006,2.767E+4,
2.4E06,2.761E+4,
2.425E006,2.731E+4,
2.45E06,2.731E+4,
2.475E006,2.719E+4,
2.5E06,2.733E+4,
2.525E006,2.736E+4,
2.55E06,2.697E+4,
2.575E006,2.696E+4,
2.6E06,2.715E+4,
2.625E006,2.678E+4,
2.65E06,2.696E+4,
2.675E006,2.692E+4,
2.7E06,2.673E+4,
2.725E006,2.655E+4,
2.75E06,2.651E+4,
2.775E006,2.654E+4,
2.8E06,2.648E+4,
2.825E006,2.624E+4,
2.85E06,2.669E+4,
2.875E006,2.648E+4,
2.9E06,2.643E+4,
2.925E006,2.591E+4,
2.95E06,2.626E+4,
2.975E006,2.623E+4,
3E06,2.593E+4,
3.025E006,2.610E+4,
3.05E06,2.586E+4,
3.075E006,2.595E+4,
3.1E06,2.576E+4,
3.125E006,2.586E+4,
3.15E06,2.574E+4,
3.175E006,2.584E+4,
3.2E06,2.565E+4,
3.225E006,2.551E+4,
3.25E06,2.567E+4,
3.275E006,2.585E+4,
3.3E06,2.539E+4,
3.325E006,2.538E+4,
3.35E06,2.532E+4,
3.375E006,2.492E+4,
3.4E06,2.504E+4,
3.425E006,2.479E+4,
3.45E06,2.482E+4,
3.475E006,2.505E+4,
3.5E06,2.484E+4,
3.525E006,2.481E+4,
3.55E06,2.475E+4,
3.575E006,2.483E+4,
3.6E06,2.439E+4,
3.625E006,2.454E+4,
3.65E06,2.449E+4,
3.675E006,2.447E+4,
3.7E06,2.433E+4,
3.725E006,2.439E+4,
3.75E06,2.423E+4,
3.775E006,2.408E+4,
3.8E06,2.437E+4,
3.825E006,2.425E+4,
3.85E06,2.405E+4,
3.875E006,2.401E+4,
3.9E06,2.383E+4,
3.925E006,2.405E+4,
3.95E06,2.421E+4,
3.975E006,2.380E+4,
4E06,2.367E+4,
4.025E006,2.368E+4,
4.05E06,2.362E+4,
4.075E006,2.345E+4,
4.1E06,2.345E+4,
4.125E006,2.329E+4,
4.15E06,2.334E+4,
4.175E006,2.337E+4,
4.2E06,2.338E+4,
4.225E006,2.338E+4,
4.25E06,2.346E+4,
4.275E006,2.330E+4,
4.3E06,2.285E+4,
4.325E006,2.316E+4,
4.35E06,2.307E+4,
4.375E006,2.288E+4,
4.4E06,2.279E+4,
4.425E006,2.284E+4,
4.45E06,2.291E+4,
4.475E006,2.268E+4,
4.5E06,2.281E+4,
4.525E006,2.262E+4,
4.55E06,2.246E+4,
4.575E006,2.228E+4,
4.6E06,2.272E+4,
4.625E006,2.242E+4,
4.65E06,2.257E+4,
4.675E006,2.224E+4,
4.7E06,2.223E+4,
4.725E006,2.229E+4,
4.75E06,2.206E+4,
4.775E006,2.203E+4,
4.8E06,2.204E+4,
4.825E006,2.179E+4,
4.85E06,2.173E+4,
4.875E006,2.179E+4,
4.9E06,2.177E+4,
4.925E006,2.183E+4,
4.95E06,2.162E+4,
4.975E006,2.170E+4,
5E06,2.161E+4,
5.025E006,2.156E+4,
5.05E06,2.165E+4,
5.075E006,2.120E+4,
5.1E06,2.139E+4,
5.125E006,2.163E+4,
5.15E06,2.126E+4,
5.175E006,2.100E+4,
5.2E06,2.142E+4,
5.225E006,2.110E+4,
5.25E06,2.111E+4,
5.275E006,2.102E+4,
5.3E06,2.096E+4,
5.325E006,2.111E+4,
5.35E06,2.098E+4,
5.375E006,2.099E+4,
5.4E06,2.079E+4,
5.425E006,2.097E+4,
5.45E06,2.093E+4,
5.475E006,2.038E+4,
5.5E06,2.081E+4,
5.525E006,2.073E+4,
5.55E06,2.046E+4,
5.575E006,2.048E+4,
5.6E06,2.033E+4,
5.625E006,2.030E+4,
5.65E06,2.025E+4,
5.675E006,2.020E+4,
5.7E06,2.064E+4,
5.725E006,2.034E+4,
5.75E06,2.023E+4,
5.775E006,2.013E+4,
5.8E06,1.998E+4,
5.825E006,1.997E+4,
5.85E06,2.014E+4,
5.875E006,1.994E+4,
5.9E06,1.986E+4,
5.925E006,1.967E+4,
5.95E06,1.979E+4,
5.975E006,1.962E+4,
6E06,1.984E+4,
6.025E006,1.967E+4,
6.05E06,1.975E+4,
6.075E006,1.959E+4,
6.1E06,1.963E+4,
6.125E006,1.942E+4,
6.15E06,1.951E+4,
6.175E006,1.937E+4,
6.2E06,1.936E+4,
6.225E006,1.940E+4,
6.25E06,1.921E+4,
6.275E006,1.936E+4,
6.3E06,1.897E+4,
6.325E006,1.928E+4,
6.35E06,1.902E+4,
6.375E006,1.915E+4,
6400000.500000,1.910E+4,
6425000.500000,1.881E+4,
6450000.500000,1.891E+4,
6475000.500000,1.888E+4,
6500000.500000,1.887E+4,
6525000.500000,1.860E+4,
6550000.500000,1.870E+4,
6575000.500000,1.877E+4,
6600000.500000,1.890E+4,
6625000.500000,1.874E+4,
6650000.500000,1.851E+4,
6675000.500000,1.837E+4,
6700000.500000,1.836E+4,
6725000.500000,1.837E+4,
6750000.500000,1.862E+4,
6775000.500000,1.848E+4,
6800000.500000,1.818E+4,
6825000.500000,1.823E+4,
6850000.500000,1.813E+4,
6875000.500000,1.800E+4,
6900000.500000,1.818E+4,
6925000.500000,1.828E+4,
6950000.500000,1.826E+4,
6975000.500000,1.821E+4,
7000000.500000,1.809E+4,
7025000.500000,1.773E+4,
7050000.600000,1.803E+4,
7075000.600000,1.801E+4,
7100000.600000,1.744E+4,
7125000.600000,1.786E+4,
7150000.600000,1.756E+4,
7175000.600000,1.762E+4,
7200000.600000,1.757E+4,
7225000.600000,1.761E+4,
7250000.600000,1.784E+4,
7275000.600000,1.744E+4,
7300000.600000,1.731E+4,
7325000.600000,1.755E+4,
7350000.600000,1.731E+4,
7375000.600000,1.737E+4,
7400000.600000,1.724E+4,
7425000.600000,1.697E+4,
7450000.600000,1.713E+4,
7475000.600000,1.717E+4,
7500000.600000,1.683E+4,
7525000.600000,1.704E+4,
7550000.600000,1.718E+4,
7575000.600000,1.708E+4,
7600000.600000,1.692E+4,
7625000.600000,1.698E+4,
7650000.600000,1.700E+4,
7675000.600000,1.686E+4,
7700000.600000,1.699E+4,
7725000.600000,1.695E+4,
7750000.600000,1.664E+4,
7775000.600000,1.676E+4,
7800000.600000,1.694E+4,
7825000.600000,1.648E+4,
7850000.600000,1.658E+4,
7875000.600000,1.669E+4,
7900000.600000,1.663E+4,
7925000.600000,1.651E+4,
7950000.600000,1.644E+4,
7975000.600000,1.661E+4,
8000000.600000,1.663E+4,
8025000.600000,1.647E+4,
8050000.600000,1.633E+4,
8075000.600000,1.637E+4,
8100000.600000,1.652E+4,
8125000.600000,1.618E+4,
