Labels,T2_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,99975008.000000,
Step,2.5E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,7.080E+2,
2.5E04,7.440E+2,
5E04,7.720E+2,
75000.006000,7.510E+2,
1E05,8.920E+2,
1.25E05,1.787E+3,
1.5E05,2.701E+3,
1.75E05,3.814E+3,
2E05,4.836E+3,
2.25E05,5.923E+3,
2.5E05,6.765E+3,
2.75E05,7.672E+3,
3E05,8.680E+3,
3.25E05,9.779E+3,
3.5E05,1.058E+4,
3.75E05,1.163E+4,
4E05,1.247E+4,
4.25E05,1.361E+4,
4.5E05,1.419E+4,
4.75E05,1.536E+4,
5E05,1.624E+4,
5.25E05,1.720E+4,
5.5E05,1.779E+4,
5.75E05,1.882E+4,
6E05,1.981E+4,
6.25E05,2.070E+4,
650000.050000,2.112E+4,
675000.050000,2.277E+4,
700000.050000,2.327E+4,
725000.060000,2.411E+4,
750000.060000,2.484E+4,
775000.060000,2.568E+4,
800000.060000,2.617E+4,
825000.060000,2.729E+4,
850000.070000,2.828E+4,
875000.070000,2.894E+4,
900000.070000,2.976E+4,
925000.070000,3.061E+4,
950000.070000,3.128E+4,
975000.080000,3.191E+4,
1E06,3.292E+4,
1.025E006,3.386E+4,
1.05E06,3.439E+4,
1.075E006,3.515E+4,
1.1E06,3.578E+4,
1.125E006,3.566E+4,
1.15E06,3.553E+4,
1.175E006,3.541E+4,
1.2E06,3.526E+4,
1.225E006,3.519E+4,
1.25E06,3.491E+4,
1.275E006,3.505E+4,
1.3E06,3.496E+4,
1.325E006,3.501E+4,
1.35E06,3.490E+4,
1.375E006,3.489E+4,
1.4E06,3.471E+4,
1.425E006,3.454E+4,
1.45E06,3.462E+4,
1.475E006,3.438E+4,
1.5E06,3.420E+4,
1.525E006,3.422E+4,
1.55E06,3.430E+4,
1.575E006,3.423E+4,
1.6E06,3.383E+4,
1.625E006,3.438E+4,
1.65E06,3.376E+4,
1.675E006,3.357E+4,
1.7E06,3.389E+4,
1.725E006,3.363E+4,
1.75E06,3.360E+4,
1.775E006,3.363E+4,
1.8E06,3.340E+4,
1.825E006,3.360E+4,
1.85E06,3.319E+4,
1.875E006,3.347E+4,
1.9E06,3.360E+4,
1.925E006,3.320E+4,
1.95E06,3.295E+4,
1.975E006,3.317E+4,
2E06,3.286E+4,
2.025E006,3.285E+4,
2.05E06,3.271E+4,
2.075E006,3.309E+4,
2.1E06,3.253E+4,
2.125E006,3.281E+4,
2.15E06,3.281E+4,
2.175E006,3.245E+4,
2.2E06,3.268E+4,
2.225E006,3.257E+4,
2.25E06,3.251E+4,
2.275E006,3.199E+4,
2.3E06,3.251E+4,
2.325E006,3.213E+4,
2.35E06,3.217E+4,
2.375E006,3.229E+4,
2.4E06,3.211E+4,
2.425E006,3.180E+4,
2.45E06,3.174E+4,
2.475E006,3.187E+4,
2.5E06,3.171E+4,
2.525E006,3.127E+4,
2.55E06,3.175E+4,
2.575E006,3.167E+4,
2.6E06,3.123E+4,
2.625E006,3.132E+4,
2.65E06,3.126E+4,
2.675E006,3.157E+4,
2.7E06,3.112E+4,
2.725E006,3.123E+4,
2.75E06,3.129E+4,
2.775E006,3.126E+4,
2.8E06,3.110E+4,
2.825E006,3.090E+4,
2.85E06,3.053E+4,
2.875E006,3.068E+4,
2.9E06,3.093E+4,
2.925E006,3.068E+4,
2.95E06,3.068E+4,
2.975E006,3.051E+4,
3E06,3.059E+4,
3.025E006,3.061E+4,
3.05E06,3.035E+4,
3.075E006,3.036E+4,
3.1E06,3.010E+4,
3.125E006,3.032E+4,
3.15E06,3.017E+4,
3.175E006,2.994E+4,
3.2E06,2.995E+4,
3.225E006,3.017E+4,
3.25E06,2.952E+4,
3.275E006,3.005E+4,
3.3E06,3.007E+4,
3.325E006,2.966E+4,
3.35E06,2.981E+4,
3.375E006,2.964E+4,
3.4E06,2.971E+4,
3.425E006,2.950E+4,
3.45E06,2.968E+4,
3.475E006,2.918E+4,
3.5E06,2.905E+4,
3.525E006,2.889E+4,
3.55E06,2.922E+4,
3.575E006,2.926E+4,
3.6E06,2.915E+4,
3.625E006,2.909E+4,
3.65E06,2.893E+4,
3.675E006,2.876E+4,
3.7E06,2.928E+4,
3.725E006,2.876E+4,
3.75E06,2.888E+4,
3.775E006,2.848E+4,
3.8E06,2.870E+4,
3.825E006,2.867E+4,
3.85E06,2.817E+4,
3.875E006,2.868E+4,
3.9E06,2.828E+4,
3.925E006,2.837E+4,
3.95E06,2.834E+4,
3.975E006,2.823E+4,
4E06,2.819E+4,
4.025E006,2.817E+4,
4.05E06,2.804E+4,
4.075E006,2.813E+4,
4.1E06,2.798E+4,
4.125E006,2.777E+4,
4.15E06,2.794E+4,
4.175E006,2.802E+4,
4.2E06,2.776E+4,
4.225E006,2.762E+4,
4.25E06,2.778E+4,
4.275E006,2.752E+4,
4.3E06,2.739E+4,
4.325E006,2.744E+4,
4.35E06,2.753E+4,
4.375E006,2.774E+4,
4.4E06,2.755E+4,
4.425E006,2.753E+4,
4.45E06,2.742E+4,
4.475E006,2.700E+4,
4.5E06,2.697E+4,
4.525E006,2.702E+4,
4.55E06,2.682E+4,
4.575E006,2.698E+4,
4.6E06,2.689E+4,
4.625E006,2.694E+4,
4.65E06,2.698E+4,
4.675E006,2.677E+4,
4.7E06,2.672E+4,
4.725E006,2.669E+4,
4.75E06,2.665E+4,
4.775E006,2.670E+4,
4.8E06,2.609E+4,
4.825E006,2.658E+4,
4.85E06,2.642E+4,
4.875E006,2.643E+4,
4.9E06,2.595E+4,
4.925E006,2.636E+4,
4.95E06,2.627E+4,
4.975E006,2.632E+4,
5E06,2.621E+4,
5.025E006,2.621E+4,
5.05E06,2.622E+4,
5.075E006,2.599E+4,
5.1E06,2.590E+4,
5.125E006,2.569E+4,
5.15E06,2.593E+4,
5.175E006,2.578E+4,
5.2E06,2.570E+4,
5.225E006,2.560E+4,
5.25E06,2.590E+4,
5.275E006,2.570E+4,
5.3E06,2.558E+4,
5.325E006,2.529E+4,
5.35E06,2.565E+4,
5.375E006,2.551E+4,
5.4E06,2.551E+4,
5.425E006,2.532E+4,
5.45E06,2.531E+4,
5.475E006,2.526E+4,
5.5E06,2.512E+4,
5.525E006,2.508E+4,
5.55E06,2.508E+4,
5.575E006,2.518E+4,
5.6E06,2.500E+4,
5.625E006,2.514E+4,
5.65E06,2.484E+4,
5.675E006,2.491E+4,
5.7E06,2.477E+4,
5.725E006,2.442E+4,
5.75E06,2.478E+4,
5.775E006,2.425E+4,
5.8E06,2.476E+4,
5.825E006,2.448E+4,
5.85E06,2.437E+4,
5.875E006,2.459E+4,
5.9E06,2.436E+4,
5.925E006,2.435E+4,
5.95E06,2.436E+4,
5.975E006,2.404E+4,
6E06,2.429E+4,
6.025E006,2.420E+4,
6.05E06,2.406E+4,
6.075E006,2.432E+4,
6.1E06,2.403E+4,
6.125E006,2.394E+4,
6.15E06,2.398E+4,
6.175E006,2.396E+4,
6.2E06,2.384E+4,
6.225E006,2.412E+4,
6.25E06,2.373E+4,
6.275E006,2.364E+4,
6.3E06,2.379E+4,
6.325E006,2.356E+4,
6.35E06,2.346E+4,
6.375E006,2.377E+4,
6400000.500000,2.400E+4,
6425000.500000,2.344E+4,
6450000.500000,2.353E+4,
6475000.500000,2.322E+4,
6500000.500000,2.330E+4,
6525000.500000,2.321E+4,
6550000.500000,2.324E+4,
6575000.500000,2.313E+4,
6600000.500000,2.320E+4,
6625000.500000,2.312E+4,
6650000.500000,2.288E+4,
6675000.500000,2.301E+4,
6700000.500000,2.299E+4,
6725000.500000,2.290E+4,
6750000.500000,2.257E+4,
6775000.500000,2.255E+4,
6800000.500000,2.277E+4,
6825000.500000,2.290E+4,
6850000.500000,2.284E+4,
6875000.500000,2.241E+4,
6900000.500000,2.245E+4,
6925000.500000,2.267E+4,
6950000.500000,2.251E+4,
6975000.500000,2.244E+4,
7000000.500000,2.233E+4,
7025000.500000,2.224E+4,
7050000.600000,2.215E+4,
7075000.600000,2.258E+4,
7100000.600000,2.241E+4,
7125000.600000,2.245E+4,
7150000.600000,2.206E+4,
7175000.600000,2.198E+4,
7200000.600000,2.181E+4,
7225000.600000,2.207E+4,
7250000.600000,2.197E+4,
7275000.600000,2.201E+4,
7300000.600000,2.193E+4,
7325000.600000,2.183E+4,
7350000.600000,2.193E+4,
7375000.600000,2.180E+4,
7400000.600000,2.175E+4,
7425000.600000,2.196E+4,
7450000.600000,2.171E+4,
7475000.600000,2.144E+4,
7500000.600000,2.169E+4,
7525000.600000,2.161E+4,
7550000.600000,2.148E+4,
7575000.600000,2.148E+4,
7600000.600000,2.151E+4,
7625000.600000,2.126E+4,
7650000.600000,2.147E+4,
7675000.600000,2.143E+4,
7700000.600000,2.134E+4,
7725000.600000,2.139E+4,
7750000.600000,2.133E+4,
7775000.600000,2.101E+4,
7800000.600000,2.096E+4,
7825000.600000,2.107E+4,
7850000.600000,2.102E+4,
7875000.600000,2.100E+4,
7900000.600000,2.082E+4,
7925000.600000,2.099E+4,
7950000.600000,2.083E+4,
7975000.600000,2.071E+4,
8000000.600000,2.059E+4,
8025000.600000,2.089E+4,
8050000.600000,2.074E+4,
8075000.600000,2.076E+4,
8100000.600000,2.061E+4,
8125000.600000,2.054E+4,
8150000.600000,2.056E+4,
