Labels,T2_spectrum,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,2.340E+4,
1401.000,2.338E+4,
1402.05000,2.323E+4,
1403.1000,2.328E+4,
1404.15000,2.311E+4,
1405.2000,2.340E+4,
1406.25000,2.371E+4,
1407.3000,2.350E+4,
1408.35000,2.359E+4,
1409.4000,2.375E+4,
1410.45000,2.371E+4,
1411.5000,2.363E+4,
1412.55000,2.360E+4,
1413.6000,2.389E+4,
1414.65000,2.353E+4,
1415.7000,2.357E+4,
1416.75000,2.353E+4,
1417.8000,2.351E+4,
1418.85000,2.377E+4,
1419.9000,2.368E+4,
1420.95000,2.352E+4,
1422.000,2.374E+4,
1423.05000,2.387E+4,
1424.1000,2.384E+4,
1425.15000,2.363E+4,
1426.2000,2.362E+4,
1427.25000,2.381E+4,
1428.3000,2.396E+4,
1429.35000,2.377E+4,
1430.4000,2.417E+4,
1431.45000,2.398E+4,
1432.5000,2.404E+4,
1433.55000,2.445E+4,
1434.6000,2.382E+4,
1435.65000,2.416E+4,
1436.7000,2.396E+4,
1437.75000,2.439E+4,
1438.8000,2.418E+4,
1439.85000,2.449E+4,
1440.9000,2.440E+4,
1441.95000,2.419E+4,
1443.000,2.460E+4,
1444.05000,2.473E+4,
1445.1000,2.462E+4,
1446.15000,2.499E+4,
1447.2000,2.502E+4,
1448.25000,2.527E+4,
1449.3000,2.539E+4,
1450.35000,2.525E+4,
1451.4000,2.593E+4,
1452.45000,2.650E+4,
1453.5000,2.649E+4,
1454.55000,2.637E+4,
1455.6000,2.689E+4,
1456.65000,2.728E+4,
1457.7000,2.739E+4,
1458.75000,2.810E+4,
1459.8000,2.838E+4,
1460.85000,2.890E+4,
1461.9000,2.908E+4,
1462.95000,3.035E+4,
1464.000,3.032E+4,
1465.05000,3.074E+4,
1466.1000,3.185E+4,
1467.15000,3.204E+4,
1468.2000,3.270E+4,
1469.25000,3.368E+4,
1470.3000,3.448E+4,
1471.35000,3.493E+4,
1472.4000,3.593E+4,
1473.45000,3.646E+4,
1474.5000,3.722E+4,
1475.55000,3.830E+4,
1476.6000,3.982E+4,
1477.65000,4.104E+4,
1478.7000,4.164E+4,
1479.75000,4.214E+4,
1480.8000,4.315E+4,
1481.85000,4.411E+4,
1482.9000,4.495E+4,
1483.95000,4.551E+4,
1485.000,4.652E+4,
1486.05000,4.735E+4,
1487.1000,4.746E+4,
1488.15000,4.816E+4,
1489.2000,4.868E+4,
1490.25000,4.937E+4,
1491.3000,4.947E+4,
1492.35000,4.974E+4,
1493.4000,4.995E+4,
1494.45000,5.008E+4,
1495.5000,5.009E+4,
1496.55000,4.961E+4,
1497.6000,4.937E+4,
1498.65000,4.921E+4,
1499.7000,4.991E+4,
1500.75000,4.909E+4,
1501.8000,4.911E+4,
1502.85000,4.888E+4,
1503.9000,4.861E+4,
1504.95000,4.855E+4,
1506.000,4.830E+4,
1507.05000,4.832E+4,
1508.1000,4.792E+4,
1509.15000,4.778E+4,
1510.2000,4.770E+4,
1511.25000,4.781E+4,
1512.3000,4.869E+4,
1513.35000,4.892E+4,
1514.4000,4.967E+4,
1515.45000,5.063E+4,
1516.5000,5.211E+4,
1517.55000,5.317E+4,
1518.6000,5.488E+4,
1519.65000,5.735E+4,
1520.7000,6.042E+4,
1521.75000,6.391E+4,
1522.8000,6.725E+4,
1523.85000,7.151E+4,
1524.9000,7.540E+4,
1525.95000,8.099E+4,
1527.000,8.710E+4,
1528.05000,9.471E+4,
1529.1000,1.020E+5,
1530.15000,1.120E+5,
1531.2000,1.229E+5,
1532.25000,1.372E+5,
1533.3000,1.601E+5,
1534.35000,1.868E+5,
1535.4000,2.110E+5,
1536.45000,2.226E+5,
1537.5000,2.163E+5,
1538.55000,1.993E+5,
1539.6000,1.846E+5,
1540.65000,1.804E+5,
1541.7000,1.833E+5,
1542.75000,1.880E+5,
1543.8000,1.872E+5,
1544.85000,1.812E+5,
1545.9000,1.703E+5,
1546.95000,1.575E+5,
1548.000,1.432E+5,
1549.05000,1.311E+5,
1550.1000,1.219E+5,
1551.15000,1.136E+5,
1552.2000,1.061E+5,
1553.25000,1.003E+5,
1554.3000,9.584E+4,
1555.35000,9.124E+4,
1556.4000,8.750E+4,
1557.45000,8.453E+4,
1558.5000,8.226E+4,
1559.55000,7.969E+4,
1560.6000,7.911E+4,
1561.65000,7.753E+4,
1562.7000,7.647E+4,
1563.75000,7.601E+4,
1564.8000,7.549E+4,
1565.85000,7.382E+4,
1566.9000,7.277E+4,
1567.95000,7.063E+4,
1569.000,6.915E+4,
1570.05000,6.679E+4,
1571.1000,6.368E+4,
1572.15000,6.035E+4,
1573.2000,5.654E+4,
1574.25000,5.301E+4,
1575.3000,4.842E+4,
1576.35000,4.510E+4,
1577.4000,4.252E+4,
1578.45000,4.022E+4,
1579.5000,3.847E+4,
1580.55000,3.750E+4,
1581.6000,3.648E+4,
1582.65000,3.607E+4,
1583.7000,3.566E+4,
1584.75000,3.481E+4,
1585.8000,3.452E+4,
1586.85000,3.395E+4,
1587.9000,3.411E+4,
1588.95000,3.433E+4,
1590.00,3.395E+4,
1591.05000,3.351E+4,
1592.1000,3.348E+4,
1593.15000,3.289E+4,
1594.2000,3.373E+4,
1595.25000,3.307E+4,
1596.3000,3.334E+4,
1597.35000,3.318E+4,
1598.4000,3.342E+4,
1599.45000,3.302E+4,
1600.5000,3.338E+4,
1601.55000,3.341E+4,
1602.6000,3.295E+4,
1603.65000,3.284E+4,
1604.7000,3.291E+4,
1605.75000,3.292E+4,
1606.8000,3.298E+4,
1607.85000,3.268E+4,
1608.9000,3.286E+4,
1609.95000,3.254E+4,
1611.000,3.294E+4,
1612.05000,3.291E+4,
1613.1000,3.262E+4,
1614.15000,3.258E+4,
1615.2000,3.259E+4,
1616.25000,3.238E+4,
1617.3000,3.215E+4,
1618.35000,3.190E+4,
1619.4000,3.176E+4,
1620.45000,3.142E+4,
1621.5000,3.106E+4,
1622.55000,3.091E+4,
1623.6000,3.050E+4,
1624.65000,3.011E+4,
1625.7000,2.949E+4,
1626.75000,2.948E+4,
1627.8000,2.855E+4,
1628.85000,2.826E+4,
1629.9000,2.844E+4,
1630.95000,2.801E+4,
1632.000,2.732E+4,
1633.05000,2.675E+4,
1634.1000,2.681E+4,
1635.15000,2.658E+4,
1636.2000,2.585E+4,
1637.25000,2.598E+4,
1638.3000,2.558E+4,
1639.35000,2.547E+4,
1640.4000,2.531E+4,
1641.45000,2.485E+4,
1642.5000,2.507E+4,
1643.55000,2.504E+4,
1644.6000,2.467E+4,
1645.65000,2.434E+4,
1646.7000,2.476E+4,
1647.75000,2.431E+4,
1648.8000,2.463E+4,
1649.85000,2.466E+4,
1650.9000,2.430E+4,
1651.95000,2.408E+4,
1653.000,2.372E+4,
1654.05000,2.386E+4,
1655.1000,2.385E+4,
1656.15000,2.393E+4,
1657.2000,2.379E+4,
1658.25000,2.375E+4,
1659.3000,2.368E+4,
1660.35000,2.357E+4,
1661.4000,2.361E+4,
1662.45000,2.351E+4,
1663.5000,2.372E+4,
1664.55000,2.350E+4,
1665.6000,2.342E+4,
1666.65000,2.325E+4,
1667.7000,2.341E+4,
1668.75000,2.340E+4,
1669.8000,2.385E+4,
1670.85000,2.380E+4,
1671.9000,2.366E+4,
1672.95000,2.325E+4,
1674.000,2.334E+4,
1675.05000,2.332E+4,
1676.1000,2.320E+4,
1677.15000,2.367E+4,
1678.2000,2.354E+4,
1679.25000,2.335E+4,
1680.3000,2.351E+4,
1681.35000,2.353E+4,
1682.4000,2.338E+4,
1683.45000,2.319E+4,
1684.5000,2.316E+4,
1685.55000,2.309E+4,
1686.6000,2.354E+4,
1687.65000,2.357E+4,
1688.7000,2.320E+4,
1689.75000,2.297E+4,
1690.8000,2.303E+4,
1691.85000,2.325E+4,
1692.9000,2.313E+4,
1693.95000,2.306E+4,
1695.000,2.333E+4,
1696.05000,2.302E+4,
1697.1000,2.312E+4,
1698.15000,2.329E+4,
1699.2000,2.324E+4,
1700.25000,2.350E+4,
