Labels,t12_air,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,7.998E007,
Step,2E04,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,6.440E+2,
2E04,5.990E+2,
4E04,6.160E+2,
6E04,5.670E+2,
8E04,6.830E+2,
1E05,7.100E+2,
1.2E05,1.143E+3,
1.4E05,1.588E+3,
1.6E05,2.168E+3,
1.8E05,2.545E+3,
2E05,3.150E+3,
2.2E05,3.653E+3,
2.4E05,4.005E+3,
2.6E05,4.487E+3,
2.8E05,4.996E+3,
3E05,5.425E+3,
3.2E05,5.907E+3,
3.4E05,6.328E+3,
3.6E05,6.851E+3,
3.8E05,7.105E+3,
4E05,7.580E+3,
4.2E05,8.220E+3,
4.4E05,8.346E+3,
4.6E05,8.837E+3,
4.8E05,9.327E+3,
5E05,9.533E+3,
5.2E05,1.008E+4,
5.4E05,1.040E+4,
5.6E05,1.096E+4,
5.8E05,1.119E+4,
6E05,1.151E+4,
6.2E05,1.190E+4,
6.4E05,1.239E+4,
6.6E05,1.266E+4,
6.8E05,1.300E+4,
7E05,1.342E+4,
7.2E05,1.374E+4,
7.4E05,1.419E+4,
7.6E05,1.453E+4,
7.8E05,1.459E+4,
8E05,1.522E+4,
8.2E05,1.575E+4,
8.4E05,1.600E+4,
8.6E05,1.643E+4,
8.8E05,1.659E+4,
9E05,1.687E+4,
9.2E05,1.722E+4,
9.4E05,1.765E+4,
9.6E05,1.795E+4,
9.8E05,1.813E+4,
1E06,1.879E+4,
1.02E06,1.916E+4,
1.04E06,1.937E+4,
1.06E06,1.947E+4,
1.08E06,1.972E+4,
1.1E06,2.021E+4,
1.12E06,2.058E+4,
1.14E06,2.090E+4,
1.16E06,2.118E+4,
1.18E06,2.134E+4,
1.2E06,2.183E+4,
1.22E06,2.247E+4,
1.24E06,2.253E+4,
1.26E06,2.274E+4,
1.28E06,2.303E+4,
1.3E06,2.321E+4,
1.32E06,2.370E+4,
1.34E06,2.384E+4,
1.36E06,2.405E+4,
1.38E06,2.424E+4,
1.4E06,2.495E+4,
1.42E06,2.504E+4,
1.44E06,2.534E+4,
1.46E06,2.551E+4,
1.48E06,2.580E+4,
1.5E06,2.604E+4,
1.52E06,2.649E+4,
1.54E06,2.684E+4,
1.56E06,2.724E+4,
1.58E06,2.706E+4,
1.6E06,2.787E+4,
1.62E06,2.846E+4,
1.64E06,2.798E+4,
1.66E06,2.842E+4,
1.68E06,2.891E+4,
1.7E06,2.895E+4,
1.72E06,2.929E+4,
1.74E06,2.944E+4,
1.76E06,2.985E+4,
1.78E06,2.946E+4,
1.8E06,3.016E+4,
1.82E06,3.052E+4,
1.84E06,3.089E+4,
1.86E06,3.121E+4,
1.88E06,3.106E+4,
1.9E06,3.189E+4,
1.92E06,3.164E+4,
1.94E06,3.204E+4,
1.96E06,3.214E+4,
1.98E06,3.239E+4,
2E06,3.255E+4,
2.02E06,3.298E+4,
2.04E06,3.332E+4,
2.06E06,3.356E+4,
2.08E06,3.377E+4,
2.1E06,3.397E+4,
2.12E06,3.373E+4,
2.14E06,3.368E+4,
2.16E06,3.338E+4,
2.18E06,3.314E+4,
2.2E06,3.319E+4,
2.22E06,3.312E+4,
2.24E06,3.259E+4,
2.26E06,3.259E+4,
2.28E06,3.276E+4,
2.3E06,3.282E+4,
2.32E06,3.231E+4,
2.34E06,3.241E+4,
2.36E06,3.243E+4,
2.38E06,3.218E+4,
2.4E06,3.206E+4,
2.42E06,3.189E+4,
2.44E06,3.173E+4,
2.46E06,3.173E+4,
2.48E06,3.153E+4,
2.5E06,3.156E+4,
2.52E06,3.152E+4,
2.54E06,3.120E+4,
2.56E06,3.139E+4,
2.58E06,3.116E+4,
2.6E06,3.129E+4,
2.62E06,3.125E+4,
2.64E06,3.099E+4,
2.66E06,3.073E+4,
2.68E06,3.060E+4,
2.7E06,3.031E+4,
2.72E06,3.089E+4,
2.74E06,3.026E+4,
2.76E06,3.022E+4,
2.78E06,3.054E+4,
2.8E06,3.031E+4,
2.82E06,3.027E+4,
2.84E06,3.003E+4,
2.86E06,2.997E+4,
2.88E06,2.997E+4,
2.9E06,2.970E+4,
2.92E06,2.992E+4,
2.94E06,2.993E+4,
2.96E06,2.990E+4,
2.98E06,2.966E+4,
3E06,2.964E+4,
3.02E06,2.956E+4,
3.04E06,2.928E+4,
3.06E06,2.923E+4,
3.08E06,2.916E+4,
3.1E06,2.893E+4,
3.12E06,2.887E+4,
3.14E06,2.902E+4,
3.16E06,2.883E+4,
3.18E06,2.872E+4,
3.2E06,2.897E+4,
3.22E06,2.859E+4,
3.24E06,2.866E+4,
3.26E06,2.867E+4,
3.28E06,2.849E+4,
3.3E06,2.872E+4,
3.32E06,2.838E+4,
3.34E06,2.817E+4,
3.36E06,2.785E+4,
3.38E06,2.812E+4,
3.4E06,2.801E+4,
3.42E06,2.772E+4,
3.44E06,2.789E+4,
3.46E06,2.820E+4,
3.48E06,2.747E+4,
3.5E06,2.775E+4,
3.52E06,2.751E+4,
3.54E06,2.771E+4,
3.56E06,2.764E+4,
3.58E06,2.773E+4,
3.6E06,2.750E+4,
3.62E06,2.739E+4,
3.64E06,2.697E+4,
3.66E06,2.744E+4,
3.68E06,2.686E+4,
3.7E06,2.721E+4,
3.72E06,2.707E+4,
3.74E06,2.696E+4,
3.76E06,2.672E+4,
3.78E06,2.712E+4,
3.8E06,2.688E+4,
3.82E06,2.661E+4,
3.84E06,2.649E+4,
3.86E06,2.651E+4,
3.88E06,2.640E+4,
3.9E06,2.631E+4,
3.92E06,2.654E+4,
3.94E06,2.621E+4,
3.96E06,2.638E+4,
3.98E06,2.632E+4,
4E06,2.634E+4,
4.02E06,2.631E+4,
4.04E06,2.602E+4,
4.06E06,2.583E+4,
4.08E06,2.596E+4,
4.1E06,2.591E+4,
4.12E06,2.562E+4,
4.14E06,2.559E+4,
4.16E06,2.566E+4,
4.18E06,2.546E+4,
4.2E06,2.557E+4,
4.22E06,2.542E+4,
4.24E06,2.564E+4,
4.26E06,2.535E+4,
4.28E06,2.520E+4,
4.3E06,2.552E+4,
4.32E06,2.534E+4,
4.34E06,2.516E+4,
4.36E06,2.485E+4,
4.38E06,2.516E+4,
4.4E06,2.505E+4,
4.42E06,2.493E+4,
4.44E06,2.490E+4,
4.46E06,2.448E+4,
4.48E06,2.470E+4,
4.5E06,2.462E+4,
4.52E06,2.464E+4,
4.54E06,2.440E+4,
4.56E06,2.450E+4,
4.58E06,2.414E+4,
4.6E06,2.452E+4,
4.62E06,2.448E+4,
4.64E06,2.461E+4,
4.66E06,2.426E+4,
4.68E06,2.401E+4,
4.7E06,2.413E+4,
4.72E06,2.397E+4,
4.74E06,2.385E+4,
4.76E06,2.414E+4,
4.78E06,2.390E+4,
4.8E06,2.395E+4,
4.82E06,2.377E+4,
4.84E06,2.377E+4,
4.86E06,2.346E+4,
4.88E06,2.362E+4,
4.9E06,2.355E+4,
4.92E06,2.348E+4,
4.94E06,2.343E+4,
4.96E06,2.359E+4,
4.98E06,2.350E+4,
5E06,2.337E+4,
5.02E06,2.334E+4,
5.04E06,2.330E+4,
5.06E06,2.311E+4,
5.08E06,2.337E+4,
5.1E06,2.303E+4,
5.12E06,2.274E+4,
5.14E06,2.283E+4,
5.16E06,2.298E+4,
5.18E06,2.255E+4,
5.2E06,2.266E+4,
5.22E06,2.289E+4,
5.24E06,2.257E+4,
5.26E06,2.238E+4,
5.28E06,2.256E+4,
5.3E06,2.225E+4,
5.32E06,2.248E+4,
5.34E06,2.229E+4,
5.36E06,2.227E+4,
5.38E06,2.239E+4,
5.4E06,2.205E+4,
5.42E06,2.251E+4,
5.44E06,2.192E+4,
5.46E06,2.243E+4,
5.48E06,2.244E+4,
5.5E06,2.191E+4,
5.52E06,2.189E+4,
5.54E06,2.222E+4,
5.56E06,2.193E+4,
5.58E06,2.164E+4,
5.6E06,2.162E+4,
5.62E06,2.172E+4,
5.64E06,2.184E+4,
5.66E06,2.158E+4,
5.68E06,2.158E+4,
5.7E06,2.157E+4,
5.72E06,2.169E+4,
5.74E06,2.143E+4,
5.76E06,2.117E+4,
5.78E06,2.114E+4,
5.8E06,2.131E+4,
5.82E06,2.127E+4,
5.84E06,2.110E+4,
5.86E06,2.118E+4,
5.88E06,2.126E+4,
5.9E06,2.113E+4,
5.92E06,2.098E+4,
5.94E06,2.092E+4,
5.96E06,2.072E+4,
5.98E06,2.100E+4,
6E06,2.084E+4,
6.02E06,2.061E+4,
6.04E06,2.089E+4,
6.06E06,2.085E+4,
6.08E06,2.080E+4,
6.1E06,2.093E+4,
6.12E06,2.039E+4,
6.14E06,2.055E+4,
6.16E06,2.034E+4,
6.18E06,2.070E+4,
6.2E06,2.050E+4,
6.22E06,2.033E+4,
6.24E06,2.028E+4,
6.26E06,2.027E+4,
6.28E06,2.021E+4,
6.3E06,1.995E+4,
6.32E06,2.006E+4,
6.34E06,1.987E+4,
6.36E06,2.004E+4,
6.38E06,2.004E+4,
6.4E06,1.990E+4,
6.42E06,1.982E+4,
6.44E06,1.988E+4,
6.46E06,1.994E+4,
6.48E06,1.982E+4,
6.5E06,1.951E+4,
6.52E06,1.965E+4,
6.54E06,1.982E+4,
6.56E06,1.969E+4,
6.58E06,1.960E+4,
6.6E06,1.963E+4,
6.62E06,1.962E+4,
6.64E06,1.978E+4,
