Labels,T12,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.867E+4,
2E05,7.582E+4,
4E05,7.554E+4,
6E05,7.433E+4,
800000.060000,7.216E+4,
1E06,7.115E+4,
1.2E06,6.972E+4,
1.4E06,6.818E+4,
1.6E06,6.729E+4,
1.8E06,6.603E+4,
2E06,6.480E+4,
2.2E06,6.368E+4,
2.4E06,6.306E+4,
2.6E06,6.149E+4,
2.8E06,6.025E+4,
3E06,5.945E+4,
3.2E06,5.825E+4,
3.4E06,5.716E+4,
3.6E06,5.622E+4,
3.8E06,5.496E+4,
4E06,5.386E+4,
4.2E06,5.321E+4,
4.4E06,5.248E+4,
4.6E06,5.127E+4,
4.8E06,5.082E+4,
5E06,4.999E+4,
5.2E06,4.941E+4,
5.4E06,4.810E+4,
5.6E06,4.696E+4,
5.8E06,4.660E+4,
6E06,4.529E+4,
6.2E06,4.523E+4,
6400000.500000,4.476E+4,
6600000.500000,4.392E+4,
6800000.500000,4.286E+4,
7000000.500000,4.242E+4,
7200000.600000,4.143E+4,
7400000.600000,4.112E+4,
7600000.600000,4.060E+4,
7800000.600000,3.986E+4,
8000000.600000,3.899E+4,
8200000.600000,3.877E+4,
8400000.700000,3.779E+4,
8600000.700000,3.754E+4,
8800000.700000,3.696E+4,
9000000.700000,3.640E+4,
9200000.700000,3.566E+4,
9400000.700000,3.542E+4,
9600000.800000,3.476E+4,
9800000.800000,3.429E+4,
1E07,3.351E+4,
1.02E07,3.349E+4,
1.04E07,3.249E+4,
1.06E07,3.221E+4,
1.08E07,3.192E+4,
1.1E07,3.139E+4,
1.12E07,3.117E+4,
1.14E07,3.042E+4,
1.16E07,2.990E+4,
1.18E07,2.965E+4,
1.2E07,2.893E+4,
1.22E07,2.895E+4,
1.24E07,2.826E+4,
1.26E07,2.806E+4,
1.28E07,2.788E+4,
1.3E07,2.733E+4,
1.32E07,2.688E+4,
1.34E07,2.640E+4,
1.36E07,2.549E+4,
1.38E07,2.533E+4,
1.4E07,2.497E+4,
1.42E07,2.485E+4,
1.44E07,2.438E+4,
1.46E07,2.450E+4,
1.48E07,2.436E+4,
1.5E07,2.366E+4,
1.52E07,2.369E+4,
1.54E07,2.313E+4,
1.56E07,2.330E+4,
1.58E07,2.301E+4,
1.6E07,2.242E+4,
1.62E07,2.198E+4,
1.64E07,2.179E+4,
1.66E07,2.151E+4,
1.68E07,2.118E+4,
1.7E07,2.089E+4,
1.72E07,2.086E+4,
1.74E07,2.058E+4,
1.76E07,2.029E+4,
1.78E07,2.006E+4,
1.8E07,1.987E+4,
1.82E07,1.951E+4,
1.84E07,1.943E+4,
1.86E07,1.915E+4,
1.88E07,1.887E+4,
1.9E07,1.845E+4,
1.92E07,1.871E+4,
1.94E07,1.856E+4,
1.96E07,1.817E+4,
1.98E07,1.785E+4,
2E07,1.821E+4,
2.02E07,1.777E+4,
2.04E07,1.746E+4,
2.06E07,1.752E+4,
2.08E07,1.737E+4,
2.1E07,1.706E+4,
2.12E07,1.684E+4,
2.14E07,1.694E+4,
2.16E07,1.640E+4,
2.18E07,1.631E+4,
2.2E07,1.630E+4,
2.22E07,1.614E+4,
2.24E07,1.589E+4,
2.26E07,1.593E+4,
2.28E07,1.524E+4,
2.3E07,1.532E+4,
2.32E07,1.524E+4,
2.34E07,1.537E+4,
2.36E07,1.519E+4,
2.38E07,1.513E+4,
2.4E07,1.469E+4,
2.42E07,1.459E+4,
2.44E07,1.446E+4,
2.46E07,1.430E+4,
2.48E07,1.411E+4,
2.5E07,1.406E+4,
2.52E07,1.404E+4,
2.54E07,1.411E+4,
2.56E07,1.377E+4,
2.58E07,1.382E+4,
2.6E07,1.344E+4,
2.62E07,1.332E+4,
2.64E07,1.333E+4,
2.66E07,1.333E+4,
2.68E07,1.318E+4,
2.7E07,1.300E+4,
2.72E07,1.314E+4,
2.74E07,1.305E+4,
2.76E07,1.300E+4,
2.78E07,1.274E+4,
2.8E07,1.274E+4,
2.82E07,1.234E+4,
2.84E07,1.246E+4,
2.86E07,1.243E+4,
2.88E07,1.207E+4,
2.9E07,1.237E+4,
2.92E07,1.224E+4,
2.94E07,1.196E+4,
2.96E07,1.230E+4,
2.98E07,1.190E+4,
3E07,1.205E+4,
3.02E07,1.199E+4,
3.04E07,1.181E+4,
3.06E07,1.158E+4,
3.08E07,1.139E+4,
3.1E07,1.155E+4,
3.12E07,1.126E+4,
3.14E07,1.139E+4,
3.16E07,1.136E+4,
3.18E07,1.133E+4,
3.2E07,1.120E+4,
3.22E07,1.111E+4,
3.24E07,1.115E+4,
3.26E07,1.112E+4,
3.28E07,1.072E+4,
3.3E07,1.098E+4,
3.32E07,1.088E+4,
3.34E07,1.072E+4,
3.36E07,1.093E+4,
3.38E07,1.069E+4,
3.4E07,1.071E+4,
3.42E07,1.046E+4,
3.44E07,1.072E+4,
3.46E07,1.052E+4,
3.48E07,1.043E+4,
3.5E07,1.058E+4,
3.52E07,1.021E+4,
3.54E07,1.037E+4,
3.56E07,1.035E+4,
3.58E07,1.030E+4,
3.6E07,1.034E+4,
3.62E07,1.020E+4,
3.64E07,1.019E+4,
3.66E07,1.015E+4,
3.68E07,9.824E+3,
3.7E07,9.932E+3,
3.72E07,1.003E+4,
3.74E07,1.007E+4,
3.76E07,9.955E+3,
3.78E07,9.987E+3,
3.8E07,9.863E+3,
3.82E07,9.691E+3,
3.84E07,9.730E+3,
3.86E07,9.746E+3,
3.88E07,9.515E+3,
3.9E07,9.644E+3,
3.92E07,9.633E+3,
3.94E07,9.668E+3,
3.96E07,9.609E+3,
3.98E07,9.404E+3,
4E07,9.883E+3,
4.02E07,9.571E+3,
4.04E07,9.613E+3,
4.06E07,9.553E+3,
4.08E07,9.360E+3,
4.1E07,9.586E+3,
4.12E07,9.448E+3,
4.14E07,9.320E+3,
4.16E07,9.443E+3,
4.18E07,9.438E+3,
4.2E07,9.382E+3,
4.22E07,9.292E+3,
4.24E07,9.346E+3,
4.26E07,9.299E+3,
4.28E07,9.266E+3,
4.3E07,9.235E+3,
4.32E07,9.241E+3,
4.34E07,9.399E+3,
4.36E07,9.337E+3,
4.38E07,9.235E+3,
4.4E07,9.158E+3,
4.42E07,9.045E+3,
4.44E07,9.143E+3,
4.46E07,9.065E+3,
4.48E07,9.055E+3,
4.5E07,9.034E+3,
4.52E07,9.246E+3,
4.54E07,8.865E+3,
4.56E07,9.021E+3,
4.58E07,8.837E+3,
4.6E07,9.096E+3,
4.62E07,9.055E+3,
4.64E07,8.774E+3,
4.66E07,8.906E+3,
4.68E07,8.835E+3,
4.7E07,8.901E+3,
4.72E07,8.749E+3,
4.74E07,8.866E+3,
4.76E07,8.797E+3,
4.78E07,8.851E+3,
4.8E07,8.791E+3,
4.82E07,8.743E+3,
4.84E07,8.999E+3,
4.86E07,8.931E+3,
4.88E07,8.906E+3,
4.9E07,8.742E+3,
4.92E07,9.024E+3,
4.94E07,8.732E+3,
4.96E07,8.649E+3,
4.98E07,8.700E+3,
5E07,8.652E+3,
5.02E07,8.709E+3,
5.04E07,8.609E+3,
5.06E07,8.697E+3,
5.08E07,8.592E+3,
5.1E07,8.696E+3,
5.12E07,8.372E+3,
5.14E07,8.938E+3,
5.16E07,8.437E+3,
5.18E07,8.657E+3,
5.2E07,8.638E+3,
5.22E07,8.589E+3,
5.24E07,8.480E+3,
5.26E07,8.748E+3,
5.28E07,8.378E+3,
5.3E07,8.536E+3,
5.32E07,8.531E+3,
5.34E07,8.371E+3,
5.36E07,8.424E+3,
5.38E07,8.521E+3,
5.4E07,8.323E+3,
5.42E07,8.450E+3,
5.44E07,8.501E+3,
5.46E07,8.553E+3,
5.48E07,8.337E+3,
5.5E07,8.447E+3,
5.52E07,8.475E+3,
5.54E07,8.349E+3,
5.56E07,8.337E+3,
5.58E07,8.559E+3,
5.6E07,8.528E+3,
5.62E07,8.522E+3,
5.64E07,8.659E+3,
5.66E07,8.345E+3,
5.68E07,8.371E+3,
5.7E07,8.432E+3,
5.72E07,8.336E+3,
5.74E07,8.393E+3,
5.76E07,8.266E+3,
5.78E07,8.408E+3,
5.8E07,8.367E+3,
5.82E07,8.516E+3,
5.84E07,8.324E+3,
5.86E07,8.375E+3,
5.88E07,8.400E+3,
5.9E07,8.336E+3,
5.92E07,8.550E+3,
5.94E07,8.594E+3,
5.96E07,8.219E+3,
5.98E07,8.302E+3,
6E07,8.420E+3,
6.02E07,8.308E+3,
6.04E07,8.142E+3,
6.06E07,8.329E+3,
6.08E07,8.291E+3,
6.1E07,8.315E+3,
6.12E07,8.386E+3,
6.14E07,8.453E+3,
6.16E07,8.469E+3,
6.18E07,8.411E+3,
6.2E07,8.387E+3,
6.22E07,8.296E+3,
6.24E07,8.481E+3,
6.26E07,8.609E+3,
6.28E07,8.442E+3,
6.3E07,8.249E+3,
6.32E07,8.382E+3,
6.34E07,8.502E+3,
6.36E07,8.262E+3,
6.38E07,8.115E+3,
64000005.000000,8.261E+3,
64200005.000000,8.315E+3,
64400005.000000,8.284E+3,
64600005.000000,8.276E+3,
64800005.000000,8.437E+3,
65000005.000000,8.395E+3,
65200005.000000,8.153E+3,
65400005.000000,8.344E+3,
65600005.000000,8.420E+3,
65800005.000000,8.106E+3,
66000005.000000,8.445E+3,
