Labels,T13_2ms,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,1.998E008,
Step,2E05,
Fixed/Offset, ,
XAxis,Time,
YAxis,Counts,

0.00,1.213E+4,
2E05,5.475E+4,
4E05,9.952E+4,
6E05,1.386E+5,
800000.060000,1.736E+5,
1E06,2.057E+5,
1.2E06,2.349E+5,
1.4E06,2.619E+5,
1.6E06,2.866E+5,
1.8E06,3.087E+5,
2E06,3.265E+5,
2.2E06,3.191E+5,
2.4E06,3.102E+5,
2.6E06,3.016E+5,
2.8E06,2.926E+5,
3E06,2.851E+5,
3.2E06,2.790E+5,
3.4E06,2.720E+5,
3.6E06,2.660E+5,
3.8E06,2.593E+5,
4E06,2.533E+5,
4.2E06,2.470E+5,
4.4E06,2.416E+5,
4.6E06,2.363E+5,
4.8E06,2.303E+5,
5E06,2.252E+5,
5.2E06,2.209E+5,
5.4E06,2.158E+5,
5.6E06,2.107E+5,
5.8E06,2.067E+5,
6E06,2.023E+5,
6.2E06,1.980E+5,
6400000.500000,1.932E+5,
6600000.500000,1.895E+5,
6800000.500000,1.852E+5,
7000000.500000,1.810E+5,
7200000.600000,1.777E+5,
7400000.600000,1.738E+5,
7600000.600000,1.695E+5,
7800000.600000,1.666E+5,
8000000.600000,1.638E+5,
8200000.600000,1.602E+5,
8400000.700000,1.568E+5,
8600000.700000,1.527E+5,
8800000.700000,1.504E+5,
9000000.700000,1.476E+5,
9200000.700000,1.451E+5,
9400000.700000,1.416E+5,
9600000.800000,1.389E+5,
9800000.800000,1.361E+5,
1E07,1.330E+5,
1.02E07,1.306E+5,
1.04E07,1.284E+5,
1.06E07,1.260E+5,
1.08E07,1.232E+5,
1.1E07,1.205E+5,
1.12E07,1.190E+5,
1.14E07,1.161E+5,
1.16E07,1.141E+5,
1.18E07,1.119E+5,
1.2E07,1.099E+5,
1.22E07,1.080E+5,
1.24E07,1.050E+5,
1.26E07,1.037E+5,
1.28E07,1.015E+5,
1.3E07,9.970E+4,
1.32E07,9.784E+4,
1.34E07,9.581E+4,
1.36E07,9.438E+4,
1.38E07,9.282E+4,
1.4E07,9.109E+4,
1.42E07,8.890E+4,
1.44E07,8.768E+4,
1.46E07,8.519E+4,
1.48E07,8.440E+4,
1.5E07,8.244E+4,
1.52E07,8.089E+4,
1.54E07,7.973E+4,
1.56E07,7.775E+4,
1.58E07,7.683E+4,
1.6E07,7.556E+4,
1.62E07,7.412E+4,
1.64E07,7.307E+4,
1.66E07,7.194E+4,
1.68E07,6.988E+4,
1.7E07,6.879E+4,
1.72E07,6.794E+4,
1.74E07,6.653E+4,
1.76E07,6.571E+4,
1.78E07,6.408E+4,
1.8E07,6.345E+4,
1.82E07,6.245E+4,
1.84E07,6.076E+4,
1.86E07,6.041E+4,
1.88E07,5.943E+4,
1.9E07,5.763E+4,
1.92E07,5.757E+4,
1.94E07,5.582E+4,
1.96E07,5.468E+4,
1.98E07,5.380E+4,
2E07,5.325E+4,
2.02E07,5.243E+4,
2.04E07,5.165E+4,
2.06E07,5.105E+4,
2.08E07,4.957E+4,
2.1E07,4.904E+4,
2.12E07,4.838E+4,
2.14E07,4.800E+4,
2.16E07,4.680E+4,
2.18E07,4.612E+4,
2.2E07,4.528E+4,
2.22E07,4.426E+4,
2.24E07,4.368E+4,
2.26E07,4.329E+4,
2.28E07,4.226E+4,
2.3E07,4.178E+4,
2.32E07,4.125E+4,
2.34E07,4.029E+4,
2.36E07,3.971E+4,
2.38E07,3.944E+4,
2.4E07,3.852E+4,
2.42E07,3.801E+4,
2.44E07,3.781E+4,
2.46E07,3.667E+4,
2.48E07,3.646E+4,
2.5E07,3.553E+4,
2.52E07,3.487E+4,
2.54E07,3.477E+4,
2.56E07,3.433E+4,
2.58E07,3.350E+4,
2.6E07,3.343E+4,
2.62E07,3.253E+4,
2.64E07,3.251E+4,
2.66E07,3.198E+4,
2.68E07,3.143E+4,
2.7E07,3.069E+4,
2.72E07,3.039E+4,
2.74E07,3.007E+4,
2.76E07,2.986E+4,
2.78E07,2.941E+4,
2.8E07,2.896E+4,
2.82E07,2.837E+4,
2.84E07,2.798E+4,
2.86E07,2.742E+4,
2.88E07,2.703E+4,
2.9E07,2.688E+4,
2.92E07,2.637E+4,
2.94E07,2.621E+4,
2.96E07,2.617E+4,
2.98E07,2.523E+4,
3E07,2.525E+4,
3.02E07,2.483E+4,
3.04E07,2.444E+4,
3.06E07,2.412E+4,
3.08E07,2.390E+4,
3.1E07,2.346E+4,
3.12E07,2.310E+4,
3.14E07,2.277E+4,
3.16E07,2.265E+4,
3.18E07,2.250E+4,
3.2E07,2.219E+4,
3.22E07,2.187E+4,
3.24E07,2.153E+4,
3.26E07,2.119E+4,
3.28E07,2.103E+4,
3.3E07,2.121E+4,
3.32E07,2.044E+4,
3.34E07,2.018E+4,
3.36E07,1.973E+4,
3.38E07,2.004E+4,
3.4E07,1.978E+4,
3.42E07,1.940E+4,
3.44E07,1.916E+4,
3.46E07,1.881E+4,
3.48E07,1.870E+4,
3.5E07,1.826E+4,
3.52E07,1.835E+4,
3.54E07,1.811E+4,
3.56E07,1.786E+4,
3.58E07,1.734E+4,
3.6E07,1.750E+4,
3.62E07,1.710E+4,
3.64E07,1.711E+4,
3.66E07,1.709E+4,
3.68E07,1.672E+4,
3.7E07,1.645E+4,
3.72E07,1.651E+4,
3.74E07,1.623E+4,
3.76E07,1.601E+4,
3.78E07,1.605E+4,
3.8E07,1.565E+4,
3.82E07,1.562E+4,
3.84E07,1.539E+4,
3.86E07,1.528E+4,
3.88E07,1.523E+4,
3.9E07,1.518E+4,
3.92E07,1.487E+4,
3.94E07,1.486E+4,
3.96E07,1.460E+4,
3.98E07,1.446E+4,
4E07,1.442E+4,
4.02E07,1.419E+4,
4.04E07,1.415E+4,
4.06E07,1.411E+4,
4.08E07,1.362E+4,
4.1E07,1.373E+4,
4.12E07,1.366E+4,
4.14E07,1.334E+4,
4.16E07,1.333E+4,
4.18E07,1.331E+4,
4.2E07,1.328E+4,
4.22E07,1.305E+4,
4.24E07,1.296E+4,
4.26E07,1.278E+4,
4.28E07,1.288E+4,
4.3E07,1.271E+4,
4.32E07,1.250E+4,
4.34E07,1.246E+4,
4.36E07,1.267E+4,
4.38E07,1.221E+4,
4.4E07,1.231E+4,
4.42E07,1.181E+4,
4.44E07,1.216E+4,
4.46E07,1.185E+4,
4.48E07,1.189E+4,
4.5E07,1.189E+4,
4.52E07,1.169E+4,
4.54E07,1.150E+4,
4.56E07,1.152E+4,
4.58E07,1.140E+4,
4.6E07,1.157E+4,
4.62E07,1.144E+4,
4.64E07,1.121E+4,
4.66E07,1.120E+4,
4.68E07,1.108E+4,
4.7E07,1.094E+4,
4.72E07,1.109E+4,
4.74E07,1.075E+4,
4.76E07,1.058E+4,
4.78E07,1.079E+4,
4.8E07,1.085E+4,
4.82E07,1.058E+4,
4.84E07,1.063E+4,
4.86E07,1.067E+4,
4.88E07,1.051E+4,
4.9E07,1.030E+4,
4.92E07,1.016E+4,
4.94E07,1.029E+4,
4.96E07,1.030E+4,
4.98E07,1.024E+4,
5E07,1.022E+4,
5.02E07,1.004E+4,
5.04E07,1.020E+4,
5.06E07,9.958E+3,
5.08E07,9.895E+3,
5.1E07,9.931E+3,
5.12E07,9.703E+3,
5.14E07,9.775E+3,
5.16E07,9.610E+3,
5.18E07,9.585E+3,
5.2E07,9.668E+3,
5.22E07,9.682E+3,
5.24E07,9.496E+3,
5.26E07,9.673E+3,
5.28E07,9.523E+3,
5.3E07,9.476E+3,
5.32E07,9.487E+3,
5.34E07,9.329E+3,
5.36E07,9.184E+3,
5.38E07,9.362E+3,
5.4E07,9.263E+3,
5.42E07,9.307E+3,
5.44E07,9.260E+3,
5.46E07,9.056E+3,
5.48E07,9.118E+3,
5.5E07,8.972E+3,
5.52E07,8.847E+3,
5.54E07,8.961E+3,
5.56E07,8.954E+3,
5.58E07,8.931E+3,
5.6E07,8.844E+3,
5.62E07,8.939E+3,
5.64E07,8.584E+3,
5.66E07,8.954E+3,
5.68E07,8.615E+3,
5.7E07,8.815E+3,
5.72E07,8.814E+3,
5.74E07,8.691E+3,
5.76E07,8.766E+3,
5.78E07,8.673E+3,
5.8E07,8.806E+3,
5.82E07,8.568E+3,
5.84E07,8.582E+3,
5.86E07,8.583E+3,
5.88E07,8.213E+3,
5.9E07,8.445E+3,
5.92E07,8.517E+3,
5.94E07,8.557E+3,
5.96E07,8.474E+3,
5.98E07,8.453E+3,
6E07,8.327E+3,
6.02E07,8.406E+3,
6.04E07,8.364E+3,
6.06E07,8.454E+3,
6.08E07,8.314E+3,
6.1E07,8.157E+3,
6.12E07,8.461E+3,
6.14E07,8.256E+3,
6.16E07,8.252E+3,
6.18E07,8.131E+3,
6.2E07,8.125E+3,
6.22E07,8.080E+3,
6.24E07,8.011E+3,
6.26E07,8.005E+3,
6.28E07,7.877E+3,
6.3E07,8.046E+3,
6.32E07,8.151E+3,
6.34E07,8.095E+3,
6.36E07,8.091E+3,
6.38E07,7.842E+3,
64000005.000000,7.859E+3,
64200005.000000,7.960E+3,
64400005.000000,8.068E+3,
64600005.000000,8.066E+3,
64800005.000000,7.988E+3,
65000005.000000,8.013E+3,
65200005.000000,7.987E+3,
65400005.000000,7.848E+3,
65600005.000000,7.960E+3,
65800005.000000,7.913E+3,
