Labels,T13,
Type,Emission Scan,
Comment,,
Start,1399.95000,
Stop,1700.25000,
Step,1.050,
Fixed/Offset,900.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.20,
Lamp,uF900,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.00,
Detector,NIR PMT,

1399.95000,4.168E+4,
1401.000,4.121E+4,
1402.05000,4.085E+4,
1403.1000,4.091E+4,
1404.15000,4.171E+4,
1405.2000,4.191E+4,
1406.25000,4.192E+4,
1407.3000,4.117E+4,
1408.35000,4.070E+4,
1409.4000,4.154E+4,
1410.45000,4.225E+4,
1411.5000,4.118E+4,
1412.55000,4.086E+4,
1413.6000,4.162E+4,
1414.65000,4.138E+4,
1415.7000,4.150E+4,
1416.75000,4.167E+4,
1417.8000,4.250E+4,
1418.85000,4.235E+4,
1419.9000,4.175E+4,
1420.95000,4.166E+4,
1422.000,4.183E+4,
1423.05000,4.195E+4,
1424.1000,4.129E+4,
1425.15000,4.190E+4,
1426.2000,4.199E+4,
1427.25000,4.234E+4,
1428.3000,4.258E+4,
1429.35000,4.245E+4,
1430.4000,4.248E+4,
1431.45000,4.236E+4,
1432.5000,4.202E+4,
1433.55000,4.233E+4,
1434.6000,4.256E+4,
1435.65000,4.248E+4,
1436.7000,4.238E+4,
1437.75000,4.267E+4,
1438.8000,4.323E+4,
1439.85000,4.264E+4,
1440.9000,4.295E+4,
1441.95000,4.276E+4,
1443.000,4.304E+4,
1444.05000,4.252E+4,
1445.1000,4.271E+4,
1446.15000,4.335E+4,
1447.2000,4.391E+4,
1448.25000,4.434E+4,
1449.3000,4.363E+4,
1450.35000,4.396E+4,
1451.4000,4.381E+4,
1452.45000,4.439E+4,
1453.5000,4.483E+4,
1454.55000,4.492E+4,
1455.6000,4.567E+4,
1456.65000,4.564E+4,
1457.7000,4.576E+4,
1458.75000,4.601E+4,
1459.8000,4.652E+4,
1460.85000,4.692E+4,
1461.9000,4.808E+4,
1462.95000,4.878E+4,
1464.000,4.927E+4,
1465.05000,4.988E+4,
1466.1000,5.053E+4,
1467.15000,5.102E+4,
1468.2000,5.171E+4,
1469.25000,5.249E+4,
1470.3000,5.321E+4,
1471.35000,5.417E+4,
1472.4000,5.442E+4,
1473.45000,5.569E+4,
1474.5000,5.625E+4,
1475.55000,5.769E+4,
1476.6000,5.832E+4,
1477.65000,5.894E+4,
1478.7000,6.058E+4,
1479.75000,6.058E+4,
1480.8000,6.248E+4,
1481.85000,6.258E+4,
1482.9000,6.399E+4,
1483.95000,6.455E+4,
1485.000,6.568E+4,
1486.05000,6.682E+4,
1487.1000,6.679E+4,
1488.15000,6.790E+4,
1489.2000,6.811E+4,
1490.25000,6.948E+4,
1491.3000,6.990E+4,
1492.35000,7.047E+4,
1493.4000,7.148E+4,
1494.45000,7.145E+4,
1495.5000,7.130E+4,
1496.55000,7.187E+4,
1497.6000,7.161E+4,
1498.65000,7.105E+4,
1499.7000,7.180E+4,
1500.75000,7.186E+4,
1501.8000,7.219E+4,
1502.85000,7.166E+4,
1503.9000,7.226E+4,
1504.95000,7.232E+4,
1506.000,7.247E+4,
1507.05000,7.169E+4,
1508.1000,7.183E+4,
1509.15000,7.264E+4,
1510.2000,7.277E+4,
1511.25000,7.225E+4,
1512.3000,7.358E+4,
1513.35000,7.430E+4,
1514.4000,7.483E+4,
1515.45000,7.573E+4,
1516.5000,7.680E+4,
1517.55000,7.845E+4,
1518.6000,8.018E+4,
1519.65000,8.188E+4,
1520.7000,8.447E+4,
1521.75000,8.729E+4,
1522.8000,8.994E+4,
1523.85000,9.433E+4,
1524.9000,9.850E+4,
1525.95000,1.041E+5,
1527.000,1.095E+5,
1528.05000,1.172E+5,
1529.1000,1.255E+5,
1530.15000,1.347E+5,
1531.2000,1.441E+5,
1532.25000,1.551E+5,
1533.3000,1.678E+5,
1534.35000,1.735E+5,
1535.4000,1.728E+5,
1536.45000,1.652E+5,
1537.5000,1.538E+5,
1538.55000,1.781E+5,
1539.6000,1.433E+5,
1540.65000,1.440E+5,
1541.7000,1.455E+5,
1542.75000,1.459E+5,
1543.8000,1.423E+5,
1544.85000,1.372E+5,
1545.9000,1.313E+5,
1546.95000,1.249E+5,
1548.000,1.200E+5,
1549.05000,1.143E+5,
1550.1000,1.098E+5,
1551.15000,1.074E+5,
1552.2000,1.045E+5,
1553.25000,1.032E+5,
1554.3000,1.007E+5,
1555.35000,9.917E+4,
1556.4000,9.788E+4,
1557.45000,9.510E+4,
1558.5000,9.326E+4,
1559.55000,9.230E+4,
1560.6000,8.972E+4,
1561.65000,8.860E+4,
1562.7000,8.627E+4,
1563.75000,8.475E+4,
1564.8000,8.352E+4,
1565.85000,8.193E+4,
1566.9000,7.924E+4,
1567.95000,7.776E+4,
1569.000,7.575E+4,
1570.05000,7.347E+4,
1571.1000,7.222E+4,
1572.15000,6.905E+4,
1573.2000,6.681E+4,
1574.25000,6.492E+4,
1575.3000,6.314E+4,
1576.35000,6.193E+4,
1577.4000,5.993E+4,
1578.45000,5.886E+4,
1579.5000,5.835E+4,
1580.55000,5.765E+4,
1581.6000,5.727E+4,
1582.65000,5.705E+4,
1583.7000,5.673E+4,
1584.75000,5.656E+4,
1585.8000,5.652E+4,
1586.85000,5.572E+4,
1587.9000,5.551E+4,
1588.95000,5.549E+4,
1590.00,5.505E+4,
1591.05000,5.580E+4,
1592.1000,5.509E+4,
1593.15000,5.487E+4,
1594.2000,5.461E+4,
1595.25000,5.533E+4,
1596.3000,5.547E+4,
1597.35000,5.484E+4,
1598.4000,5.541E+4,
1599.45000,5.456E+4,
1600.5000,5.518E+4,
1601.55000,5.447E+4,
1602.6000,5.447E+4,
1603.65000,5.407E+4,
1604.7000,5.325E+4,
1605.75000,5.373E+4,
1606.8000,5.409E+4,
1607.85000,5.403E+4,
1608.9000,5.384E+4,
1609.95000,5.354E+4,
1611.000,5.299E+4,
1612.05000,5.311E+4,
1613.1000,5.263E+4,
1614.15000,5.261E+4,
1615.2000,5.135E+4,
1616.25000,5.124E+4,
1617.3000,5.068E+4,
1618.35000,5.005E+4,
1619.4000,4.969E+4,
1620.45000,4.908E+4,
1621.5000,4.814E+4,
1622.55000,4.774E+4,
1623.6000,4.731E+4,
1624.65000,4.690E+4,
1625.7000,4.631E+4,
1626.75000,4.600E+4,
1627.8000,4.521E+4,
1628.85000,4.511E+4,
1629.9000,4.483E+4,
1630.95000,4.475E+4,
1632.000,4.410E+4,
1633.05000,4.359E+4,
1634.1000,4.391E+4,
1635.15000,4.269E+4,
1636.2000,4.259E+4,
1637.25000,4.293E+4,
1638.3000,4.202E+4,
1639.35000,4.279E+4,
1640.4000,4.220E+4,
1641.45000,4.227E+4,
1642.5000,4.232E+4,
1643.55000,4.205E+4,
1644.6000,4.174E+4,
1645.65000,4.192E+4,
1646.7000,4.205E+4,
1647.75000,4.174E+4,
1648.8000,4.205E+4,
1649.85000,4.140E+4,
1650.9000,4.171E+4,
1651.95000,4.168E+4,
1653.000,4.124E+4,
1654.05000,4.209E+4,
1655.1000,4.150E+4,
1656.15000,4.222E+4,
1657.2000,4.159E+4,
1658.25000,4.196E+4,
1659.3000,4.240E+4,
1660.35000,4.176E+4,
1661.4000,4.196E+4,
1662.45000,4.222E+4,
1663.5000,4.226E+4,
1664.55000,4.162E+4,
1665.6000,4.247E+4,
1666.65000,4.173E+4,
1667.7000,4.174E+4,
1668.75000,4.199E+4,
1669.8000,4.279E+4,
1670.85000,4.212E+4,
1671.9000,4.255E+4,
1672.95000,4.218E+4,
1674.000,4.208E+4,
1675.05000,4.171E+4,
1676.1000,4.090E+4,
1677.15000,4.206E+4,
1678.2000,4.195E+4,
1679.25000,4.124E+4,
1680.3000,4.153E+4,
1681.35000,4.127E+4,
1682.4000,4.171E+4,
1683.45000,4.180E+4,
1684.5000,4.166E+4,
1685.55000,4.119E+4,
1686.6000,4.127E+4,
1687.65000,4.104E+4,
1688.7000,4.112E+4,
1689.75000,4.171E+4,
1690.8000,4.132E+4,
1691.85000,4.171E+4,
1692.9000,4.166E+4,
1693.95000,4.153E+4,
1695.000,4.176E+4,
1696.05000,4.210E+4,
1697.1000,4.184E+4,
1698.15000,4.174E+4,
1699.2000,4.141E+4,
1700.25000,4.156E+4,
