Distance (µm),Er Lα1,O Kα1,Si Kα1,Zn Kα1,Na Kα1_2,Te Kα1,
0,2,306,626,2,4,0,
0.0041381366944852,2,351,591,0,5,1,
0.0082762733889704,1,342,623,3,8,0,
0.0124144100834556,1,350,627,2,9,0,
0.0165525467779408,1,345,586,1,7,0,
0.020690683472426,1,334,613,1,11,0,
0.0248288201669112,1,337,625,2,5,0,
0.0289669568613964,0,365,621,1,9,0,
0.0331050935558816,1,312,596,3,7,2,
0.0372432302503668,2,349,625,1,6,0,
0.041381366944852,3,364,624,1,5,0,
0.0455195036393372,2,344,594,4,10,0,
0.0496576403338224,2,343,631,0,4,1,
0.0537957770283076,2,342,620,0,7,0,
0.0579339137227928,1,341,617,1,7,0,
0.062072050417278,1,345,651,2,7,0,
0.0662101871117632,0,343,583,1,10,0,
0.0703483238062484,0,326,607,0,5,0,
0.0744864605007336,1,359,630,5,11,0,
0.0786245971952188,3,366,616,2,5,0,
0.082762733889704,1,344,600,1,5,0,
0.0869008705841892,3,334,650,2,10,0,
0.0910390072786744,2,346,654,0,9,0,
0.0951771439731596,1,364,626,1,9,1,
0.0993152806676448,1,327,638,1,7,0,
0.10345341736213,2,367,610,3,10,0,
0.107591554056615,1,360,590,3,12,0,
0.1117296907511,1,349,630,0,2,1,
0.115867827445586,2,355,652,1,7,0,
0.120005964140071,4,326,609,2,7,0,
0.124144100834556,1,333,598,2,5,0,
0.128282237529041,0,339,644,1,9,0,
0.132420374223526,0,339,638,0,11,1,
0.136558510918012,1,333,602,1,4,0,
0.140696647612497,2,312,648,1,8,1,
0.144834784306982,3,360,580,1,5,0,
0.148972921001467,4,348,630,1,3,0,
0.153111057695952,5,325,653,0,3,0,
0.157249194390438,0,349,608,3,6,0,
0.161387331084923,2,308,568,3,9,0,
0.165525467779408,1,325,593,2,3,1,
0.169663604473893,2,331,625,2,5,0,
0.173801741168378,1,263,623,3,9,0,
0.177939877862864,3,312,607,2,8,1,
0.182078014557349,1,306,587,0,7,0,
0.186216151251834,2,333,610,3,9,0,
0.190354287946319,0,320,552,3,2,0,
0.194492424640804,3,344,572,2,10,0,
0.19863056133529,2,299,566,2,7,0,
0.202768698029775,0,322,513,4,17,0,
0.20690683472426,1,314,526,11,17,0,
0.211044971418745,3,330,510,12,11,0,
0.21518310811323,1,307,480,8,15,0,
0.219321244807716,0,317,528,10,13,1,
0.223459381502201,1,299,532,17,24,0,
0.227597518196686,0,301,576,10,10,0,
0.231735654891171,1,334,515,7,14,1,
0.235873791585656,2,279,542,5,11,0,
0.240011928280142,2,310,540,15,20,1,
0.244150064974627,1,282,506,24,28,0,
0.248288201669112,1,324,508,22,26,0,
0.252426338363597,2,326,517,21,14,0,
0.256564475058082,2,317,535,11,22,0,
0.260702611752568,1,284,501,14,24,0,
0.264840748447053,5,285,525,13,18,0,
0.268978885141538,6,324,456,11,26,0,
0.273117021836023,2,326,485,13,17,1,
0.277255158530508,1,314,504,10,11,0,
0.281393295224994,2,254,433,14,10,0,
0.285531431919479,1,300,523,20,12,1,
0.289669568613964,3,321,479,15,25,0,
0.293807705308449,0,252,468,6,11,1,
0.297945842002934,3,281,496,12,12,0,
0.30208397869742,3,307,476,5,14,0,
0.306222115391905,2,291,519,17,18,1,
0.31036025208639,3,307,420,5,16,0,
0.314498388780875,2,302,450,8,18,0,
0.31863652547536,2,301,473,15,14,1,
0.322774662169846,3,266,482,18,15,0,
0.326912798864331,1,281,478,13,16,0,
0.331050935558816,2,284,466,11,17,0,
