Distance (µm),Pt Lα1,C Kα1_2,O Kα1,Si Kα1,Ga Kα1,Ir Lα1,
0,912,96,20,58,447,282,
0.00512650384526833,889,119,19,71,431,266,
0.0102530076905367,831,91,23,50,384,234,
0.015379511535805,835,106,22,37,387,233,
0.0205060153810733,856,107,19,44,430,274,
0.0256325192263417,834,93,26,66,403,238,
0.03075902307161,816,89,17,52,402,250,
0.0358855269168783,800,105,20,48,448,279,
0.0410120307621466,831,114,20,53,415,248,
0.046138534607415,740,104,17,51,355,224,
0.0512650384526833,760,108,18,57,371,234,
0.0563915422979516,813,95,15,68,405,250,
0.06151804614322,734,97,25,43,362,242,
0.0666445499884883,887,109,26,50,417,256,
0.0717710538337566,807,96,17,47,382,234,
0.076897557679025,935,107,28,64,374,248,
0.0820240615242933,938,98,25,52,436,263,
0.0871505653695616,801,77,13,59,446,273,
0.09227706921483,853,95,25,61,466,300,
0.0974035730600983,850,117,23,50,434,270,
0.102530076905367,811,100,23,58,418,259,
0.107656580750635,885,101,32,55,446,276,
0.112783084595903,862,106,15,63,406,264,
0.117909588441172,841,86,29,65,437,270,
0.12303609228644,897,109,20,58,460,273,
0.128162596131708,866,94,18,70,443,283,
0.133289099976977,653,86,23,51,315,208,
0.138415603822245,421,83,24,42,269,206,
0.143542107667513,357,86,22,28,362,335,
0.148668611512782,383,103,29,91,718,882,
0.15379511535805,480,119,51,146,1355,1817,
0.158921619203318,267,104,65,154,1823,2524,
0.164048123048587,143,110,58,196,1795,2650,
0.169174626893855,105,108,49,180,1731,2623,
0.174301130739123,106,89,66,196,1492,2262,
0.179427634584392,50,47,71,245,771,1203,
0.18455413842966,7,38,69,431,74,97,
0.189680642274928,2,33,73,443,1,3,
0.194807146120197,4,46,79,490,2,1,
0.199933649965465,4,33,81,450,5,7,
0.205060153810733,4,42,79,481,1,3,
0.210186657656002,4,36,107,468,2,3,
0.21531316150127,5,35,93,488,0,1,
0.220439665346538,5,33,113,446,1,4,
0.225566169191807,1,34,110,496,6,4,
0.230692673037075,5,33,117,475,1,2,
0.235819176882343,3,37,113,499,2,2,
0.240945680727612,4,38,140,494,2,3,
0.24607218457288,3,32,133,477,3,2,
0.251198688418148,2,28,156,482,4,4,
0.256325192263417,3,31,134,520,3,2,
0.261451696108685,2,33,158,551,3,2,
0.266578199953953,6,30,179,501,1,1,
0.271704703799222,1,40,185,546,2,1,
0.27683120764449,2,28,195,516,2,1,
0.281957711489758,3,33,191,516,7,3,
0.287084215335027,3,31,203,523,0,1,
0.292210719180295,1,27,193,531,1,1,
0.297337223025563,3,42,191,575,1,1,
0.302463726870832,2,32,215,505,4,2,
0.3075902307161,2,31,222,532,2,2,
0.312716734561368,2,30,207,544,1,1,
0.317843238406637,1,32,218,490,4,2,
0.322969742251905,1,25,224,543,0,1,
0.328096246097173,4,34,236,578,0,0,
0.333222749942442,2,23,255,545,1,2,
0.33834925378771,2,32,258,571,1,3,
0.343475757632978,3,34,240,504,1,0,
0.348602261478247,3,25,250,508,3,1,
0.353728765323515,2,33,264,515,3,3,
0.358855269168783,2,32,269,583,3,3,
0.363981773014051,6,29,286,569,5,3,
0.36910827685932,2,29,269,569,3,4,
0.374234780704588,2,23,297,561,4,4,
0.379361284549857,3,35,311,559,5,3,
0.384487788395125,1,23,290,528,1,1,
0.389614292240393,0,35,290,601,2,1,
0.394740796085661,3,21,273,545,6,4,
0.39986729993093,2,16,305,570,2,1,
0.404993803776198,1,28,296,538,0,0,
0.410120307621467,0,33,285,538,3,4,
0.415246811466735,5,22,279,560,0,0,
0.420373315312003,6,30,280,515,0,0,
0.425499819157271,1,22,312,578,0,0,
0.43062632300254,5,41,253,524,2,2,
0.435752826847808,1,28,308,535,2,1,
0.440879330693077,3,24,320,560,1,0,
0.446005834538345,6,22,317,490,3,1,
0.451132338383613,2,33,301,562,0,1,
0.456258842228881,5,27,307,532,1,1,
0.46138534607415,5,29,281,543,5,5,
0.466511849919418,3,27,304,597,2,2,
0.471638353764686,3,23,305,553,2,1,
0.476764857609955,4,30,292,570,3,2,
0.481891361455223,2,33,308,559,0,1,
0.487017865300491,2,27,307,532,0,0,
0.49214436914576,2,27,316,511,2,3,
0.497270872991028,3,21,300,560,2,3,
0.502397376836296,2,25,294,544,3,2,
0.507523880681565,4,34,295,548,3,3,
0.512650384526833,5,23,305,551,2,3,
0.517776888372101,4,27,308,497,0,0,
0.52290339221737,5,27,333,517,3,1,
0.528029896062638,6,21,309,544,4,2,
0.533156399907906,4,28,281,509,2,3,
0.538282903753175,2,29,320,559,2,2,
0.543409407598443,1,19,305,510,2,2,
0.548535911443711,3,26,262,550,4,2,
0.55366241528898,3,17,316,528,1,1,
0.558788919134248,1,15,305,528,2,1,
0.563915422979516,2,23,319,572,1,1,
0.569041926824785,2,16,306,542,0,0,
0.574168430670053,3,23,322,541,1,2,
0.579294934515321,0,28,283,548,2,3,
0.58442143836059,2,36,275,538,0,0,
0.589547942205858,3,33,297,537,2,2,
0.594674446051126,1,23,292,557,4,3,
0.599800949896395,0,28,341,591,3,2,
0.604927453741663,4,22,336,556,1,2,
0.610053957586931,2,33,332,550,1,0,
0.6151804614322,2,26,299,530,4,4,
0.620306965277468,2,24,323,553,2,3,
0.625433469122736,1,26,307,554,1,0,
0.630559972968005,2,29,281,532,2,2,
0.635686476813273,1,18,284,524,2,1,
0.640812980658541,2,24,273,530,1,3,
0.64593948450381,2,22,286,491,5,6,
0.651065988349078,1,18,257,517,1,1,
0.656192492194346,3,26,336,513,3,2,
0.661318996039615,2,31,278,581,1,0,
0.666445499884883,3,23,325,535,5,2,
0.671572003730151,1,28,279,577,3,3,
0.67669850757542,1,20,316,518,3,1,
0.681825011420688,1,31,327,550,3,2,
0.686951515265956,1,21,293,554,1,2,
0.692078019111225,3,21,308,566,2,2,
0.697204522956493,1,19,313,547,3,1,
0.702331026801761,2,24,316,555,1,0,
0.70745753064703,1,35,302,554,2,0,
0.712584034492298,4,31,325,572,1,0,
0.717710538337566,5,26,322,568,4,2,
0.722837042182835,3,33,352,574,0,0,
0.727963546028103,2,24,310,583,0,0,
0.733090049873371,5,35,343,563,2,3,
0.73821655371864,7,25,300,525,2,0,
0.743343057563908,0,28,319,553,0,0,
0.748469561409176,3,29,308,590,0,3,
0.753596065254445,3,24,357,568,5,4,
0.758722569099713,3,30,316,579,1,2,
0.763849072944981,3,39,310,560,1,0,
0.76897557679025,3,30,301,596,2,4,
0.774102080635518,1,38,316,569,0,2,
0.779228584480786,0,35,336,563,2,3,
0.784355088326055,1,50,312,580,1,0,
0.789481592171323,1,40,326,627,1,1,
0.794608096016591,2,37,341,575,5,5,
0.79973459986186,1,30,344,585,0,1,
0.804861103707128,5,24,328,545,1,0,
0.809987607552396,4,41,327,604,3,3,
0.815114111397665,3,40,335,577,4,4,
0.820240615242933,3,33,312,537,4,2,
0.825367119088201,0,41,344,546,3,4,
0.83049362293347,3,26,318,568,2,2,
0.835620126778738,0,37,306,551,5,4,
0.840746630624006,1,45,337,610,3,2,
0.845873134469275,4,28,333,601,0,0,
0.850999638314543,3,31,316,575,6,3,
0.856126142159811,1,27,346,645,2,2,
0.86125264600508,1,33,334,578,2,1,
0.866379149850348,2,49,323,570,3,2,
0.871505653695616,1,26,332,571,3,3,
0.876632157540885,4,21,339,625,2,3,
0.881758661386153,4,35,314,641,4,3,
0.886885165231421,2,44,301,570,6,4,
0.89201166907669,4,36,354,653,5,4,
0.897138172921958,1,34,349,585,4,3,
0.902264676767226,1,36,370,591,1,3,
0.907391180612495,3,41,340,609,2,4,
0.912517684457763,3,29,350,586,4,4,
0.917644188303031,2,40,325,577,2,1,
0.9227706921483,2,53,330,647,0,1,
0.927897195993568,3,48,355,589,4,1,
0.933023699838836,3,38,352,594,3,3,
0.938150203684105,2,37,318,623,1,1,
0.943276707529373,0,47,375,589,2,0,
0.948403211374641,4,44,321,595,4,6,
0.95352971521991,2,42,345,591,0,0,
0.958656219065178,3,32,344,633,3,2,
0.963782722910446,2,37,318,641,5,5,
0.968909226755715,0,43,368,620,7,5,
0.974035730600983,1,39,361,626,2,2,
0.979162234446251,2,38,335,612,2,2,
0.98428873829152,5,51,338,600,3,3,
0.989415242136788,4,40,358,610,1,1,
0.994541745982056,2,43,330,635,3,3,
0.999668249827325,4,40,393,654,3,3,
1.00479475367259,2,49,386,634,6,6,
1.00992125751786,0,41,376,649,5,5,
1.01504776136313,0,44,357,635,5,3,
1.0201742652084,2,42,365,656,2,2,
1.02530076905367,4,62,385,692,1,1,
1.03042727289893,1,55,411,711,4,4,
1.0355537767442,3,50,409,715,3,1,
1.04068028058947,3,39,422,775,1,0,
1.04580678443474,4,43,407,753,4,2,
1.05093328828001,4,44,422,737,3,4,
1.05605979212528,1,59,380,738,2,1,
1.06118629597054,5,58,405,747,2,0,
1.06631279981581,2,67,414,713,7,6,
1.07143930366108,2,48,431,708,5,4,
1.07656580750635,3,39,443,726,3,1,
1.08169231135162,6,51,444,766,1,1,
1.08681881519689,4,52,405,719,3,2,
1.09194531904215,2,66,426,746,2,3,
1.09707182288742,5,47,427,744,4,4,
1.10219832673269,7,48,373,765,10,7,
1.10732483057796,0,60,401,790,2,1,
1.11245133442323,0,54,382,792,2,2,
1.1175778382685,2,57,420,739,2,3,
1.12270434211376,1,56,397,760,3,2,
1.12783084595903,3,45,426,742,4,4,
1.1329573498043,4,41,403,750,7,7,
1.13808385364957,3,64,404,788,3,2,
1.14321035749484,4,43,397,723,5,4,
1.14833686134011,7,45,403,723,11,10,
1.15346336518537,2,45,412,780,1,2,
1.15858986903064,3,47,397,784,8,6,
1.16371637287591,3,47,418,773,0,1,
1.16884287672118,4,57,415,828,6,5,
1.17396938056645,2,46,394,753,2,3,
1.17909588441172,5,61,391,785,2,1,
1.18422238825698,4,56,422,742,2,2,
1.18934889210225,2,53,374,777,4,3,
1.19447539594752,2,53,405,754,5,7,
1.19960189979279,1,55,404,800,9,6,
1.20472840363806,5,48,429,818,0,0,
1.20985490748333,1,45,381,802,4,2,
1.21498141132859,4,78,419,793,2,2,
1.22010791517386,2,49,377,810,2,3,
1.22523441901913,3,44,421,803,1,1,
1.2303609228644,2,55,415,828,7,4,
1.23548742670967,4,62,399,793,2,3,
1.24061393055494,2,61,440,770,3,3,
1.2457404344002,1,72,409,765,1,3,
1.25086693824547,1,60,409,715,4,6,
1.25599344209074,3,72,380,750,3,3,
1.26111994593601,2,59,412,764,4,4,
1.26624644978128,3,60,444,799,4,1,
1.27137295362655,5,66,389,739,4,2,
1.27649945747181,2,63,445,763,4,4,
