Distance (µm),Zn Kα1,O Kα1,Si Kα1,Te Kα1,Er Lα1,Na Kα1_2,
0,2,0,4,0,3,12,
0.00519436024898257,7,1,7,0,4,9,
0.0103887204979651,3,4,4,0,6,9,
0.0155830807469477,1,4,10,0,3,7,
0.0207774409959303,5,0,11,0,10,12,
0.0259718012449128,3,5,14,0,3,12,
0.0311661614938954,3,1,8,0,3,9,
0.036360521742878,2,6,7,2,4,11,
0.0415548819918605,3,2,9,0,3,9,
0.0467492422408431,2,1,12,0,1,4,
0.0519436024898257,2,0,10,0,6,7,
0.0571379627388082,6,4,4,1,5,14,
0.0623323229877908,4,2,8,0,2,5,
0.0675266832367734,5,3,10,0,5,7,
0.0727210434857559,4,4,11,0,3,7,
0.0779154037347385,1,2,9,0,1,10,
0.0831097639837211,3,4,4,0,1,7,
0.0883041242327036,3,4,0,0,2,8,
0.0934984844816862,2,2,10,0,1,6,
0.0986928447306688,6,5,16,1,5,21,
0.103887204979651,16,6,24,0,8,17,
0.109081565228634,13,9,18,3,10,11,
0.114275925477616,13,6,19,2,12,14,
0.119470285726599,13,4,25,2,6,9,
0.124664645975582,13,4,20,1,9,16,
0.129859006224564,2,5,22,0,1,5,
0.135053366473547,1,6,46,0,0,0,
0.140247726722529,5,10,56,0,0,1,
0.145442086971512,9,9,55,0,2,4,
0.150636447220494,1,7,57,0,2,0,
0.155830807469477,5,13,49,1,0,1,
0.16102516771846,0,16,47,0,1,1,
0.166219527967442,1,24,69,0,1,3,
0.171413888216425,2,10,69,0,0,1,
0.176608248465407,4,12,64,0,1,2,
0.18180260871439,1,16,57,0,0,2,
0.186996968963372,2,11,59,0,0,1,
0.192191329212355,2,16,48,0,0,1,
0.197385689461338,2,16,66,0,0,0,
0.20258004971032,3,15,52,0,1,3,
0.207774409959303,2,22,47,0,2,2,
0.212968770208285,1,24,53,0,0,2,
0.218163130457268,3,24,39,0,0,0,
0.22335749070625,0,16,50,0,2,0,
0.228551850955233,2,11,40,0,1,3,
0.233746211204215,2,20,42,0,1,4,
0.238940571453198,1,21,52,0,1,3,
0.244134931702181,3,16,43,0,0,0,
0.249329291951163,0,15,61,0,0,2,
0.254523652200146,3,10,48,0,0,2,
0.259718012449128,0,16,50,0,0,1,
0.264912372698111,0,19,34,0,0,1,
0.270106732947093,2,13,31,0,0,2,
0.275301093196076,1,22,36,0,0,2,
0.280495453445059,0,16,31,0,0,3,
0.285689813694041,0,13,44,0,0,1,
0.290884173943024,1,17,42,0,0,1,
0.296078534192006,1,21,39,0,0,0,
0.301272894440989,1,34,50,0,0,1,
0.306467254689971,4,18,42,0,0,0,
0.311661614938954,2,20,43,0,0,0,
0.316855975187937,2,14,33,0,0,1,
0.322050335436919,1,8,28,0,0,3,
0.327244695685902,0,20,21,0,0,3,
0.332439055934884,4,27,47,0,0,2,
0.337633416183867,1,18,30,1,1,3,
0.342827776432849,2,27,46,0,1,1,
0.348022136681832,0,13,51,0,0,4,
0.353216496930814,2,20,45,0,0,1,
0.358410857179797,0,20,30,0,0,1,
0.36360521742878,1,23,39,0,0,1,
0.368799577677762,2,29,42,0,0,1,
0.373993937926745,1,25,20,0,0,0,
0.379188298175727,3,24,32,0,1,2,
0.38438265842471,0,24,44,0,0,5,
0.389577018673692,2,34,53,0,0,4,
0.394771378922675,4,32,47,0,1,2,
0.399965739171658,1,32,50,0,0,1,
0.40516009942064,2,25,45,0,1,2,
0.410354459669623,2,19,33,0,0,2,
0.415548819918605,1,20,39,0,1,3,
0.420743180167588,4,26,32,0,1,1,
0.42593754041657,0,27,44,0,1,2,
0.431131900665553,1,29,49,0,0,2,
0.436326260914536,2,33,45,0,0,4,
0.441520621163518,4,33,58,0,1,4,
0.446714981412501,0,39,60,0,0,5,
0.451909341661483,1,14,33,0,0,4,
0.457103701910466,2,24,40,0,2,2,
0.462298062159448,2,24,47,0,0,4,
0.467492422408431,3,31,47,0,0,3,
0.472686782657413,2,34,62,0,0,2,
0.477881142906396,3,35,46,1,2,1,
0.483075503155379,1,33,51,0,1,5,
0.488269863404361,6,22,39,0,1,2,
0.493464223653344,1,24,57,0,0,3,
0.498658583902326,0,31,67,0,0,5,
0.503852944151309,3,35,60,0,0,1,
0.509047304400291,1,33,56,0,0,0,
0.514241664649274,1,39,66,0,0,1,
0.519436024898257,0,36,60,0,0,4,
0.524630385147239,2,38,65,0,0,1,
0.529824745396222,2,41,55,0,0,0,
0.535019105645204,2,37,61,0,0,2,
0.540213465894187,1,34,67,0,0,6,
0.545407826143169,0,26,64,0,1,2,
0.550602186392152,1,54,65,0,0,1,
0.555796546641135,1,46,70,0,0,3,
0.560990906890117,5,43,64,0,0,3,
0.5661852671391,2,33,78,0,0,1,
0.571379627388082,2,30,64,0,1,1,
0.576573987637065,2,49,63,0,0,4,
0.581768347886047,6,53,68,0,0,5,
0.58696270813503,2,55,67,1,0,2,
0.592157068384013,1,36,58,0,1,1,
0.597351428632995,1,31,79,0,0,2,
0.602545788881978,1,41,80,0,0,2,
0.60774014913096,0,33,86,0,0,2,
0.612934509379943,0,46,73,0,0,2,
0.618128869628925,2,58,87,0,0,2,
0.623323229877908,2,54,71,0,0,1,
0.62851759012689,1,44,59,0,1,3,
0.633711950375873,1,39,56,0,0,5,
0.638906310624856,0,53,70,0,0,2,
0.644100670873838,1,49,61,0,1,2,
0.649295031122821,1,56,92,0,0,0,
0.654489391371803,2,51,78,0,0,1,
0.659683751620786,2,35,78,0,0,5,
0.664878111869768,3,39,78,0,0,2,
0.670072472118751,3,35,92,0,0,3,
0.675266832367734,3,42,85,0,1,2,
0.680461192616716,2,40,95,0,1,1,
