nm, %R
1800.000000, 1.286700
1799.000000, 1.319523
1798.000000, 1.311568
1797.000000, 1.332966
1796.000000, 1.306416
1795.000000, 1.307173
1794.000000, 1.261910
1793.000000, 1.284717
1792.000000, 1.263991
1791.000000, 1.297615
1790.000000, 1.291773
1789.000000, 1.336489
1788.000000, 1.336801
1787.000000, 1.313573
1786.000000, 1.344353
1785.000000, 1.393839
1784.000000, 1.282497
1783.000000, 1.275406
1782.000000, 1.345407
1781.000000, 1.333850
1780.000000, 1.322732
1779.000000, 1.316761
1778.000000, 1.298776
1777.000000, 1.283369
1776.000000, 1.303804
1775.000000, 1.307057
1774.000000, 1.293251
1773.000000, 1.290524
1772.000000, 1.294482
1771.000000, 1.278760
1770.000000, 1.274768
1769.000000, 1.331879
1768.000000, 1.294456
1767.000000, 1.278463
1766.000000, 1.266743
1765.000000, 1.300654
1764.000000, 1.277731
1763.000000, 1.251807
1762.000000, 1.277615
1761.000000, 1.281462
1760.000000, 1.282041
1759.000000, 1.247345
1758.000000, 1.314320
1757.000000, 1.316699
1756.000000, 1.304439
1755.000000, 1.332159
1754.000000, 1.312625
1753.000000, 1.302119
1752.000000, 1.321557
1751.000000, 1.294063
1750.000000, 1.273286
1749.000000, 1.292812
1748.000000, 1.337123
1747.000000, 1.310969
1746.000000, 1.332111
1745.000000, 1.327784
1744.000000, 1.280955
1743.000000, 1.296646
1742.000000, 1.264228
1741.000000, 1.284217
1740.000000, 1.291656
1739.000000, 1.327946
1738.000000, 1.309211
1737.000000, 1.337559
1736.000000, 1.293656
1735.000000, 1.295573
1734.000000, 1.306665
1733.000000, 1.258894
1732.000000, 1.296372
1731.000000, 1.333853
1730.000000, 1.303452
1729.000000, 1.297256
1728.000000, 1.307283
1727.000000, 1.308397
1726.000000, 1.308229
1725.000000, 1.289246
1724.000000, 1.307583
1723.000000, 1.301912
1722.000000, 1.283064
1721.000000, 1.304896
1720.000000, 1.356194
1719.000000, 1.337085
1718.000000, 1.305149
1717.000000, 1.312495
1716.000000, 1.307081
1715.000000, 1.300886
1714.000000, 1.284468
1713.000000, 1.290662
1712.000000, 1.360506
1711.000000, 1.354333
1710.000000, 1.328204
1709.000000, 1.287357
1708.000000, 1.317448
1707.000000, 1.317413
1706.000000, 1.272886
1705.000000, 1.274247
1704.000000, 1.321007
1703.000000, 1.321540
1702.000000, 1.304288
1701.000000, 1.287709
1700.000000, 1.306018
1699.000000, 1.322957
1698.000000, 1.323504
1697.000000, 1.311704
