nm, %R
1800.000000, -0.019593
1799.000000, -0.057072
1798.000000, -0.016048
1797.000000, -0.038200
1796.000000, -0.040067
1795.000000, -0.012896
1794.000000, -0.031614
1793.000000, 0.016743
1792.000000, -0.038197
1791.000000, -0.025200
1790.000000, 0.039098
1789.000000, 0.019303
1788.000000, 0.023934
1787.000000, 0.034176
1786.000000, 0.012999
1785.000000, 0.016442
1784.000000, 0.043330
1783.000000, 0.044298
1782.000000, 0.023334
1781.000000, 0.060838
1780.000000, 0.010536
1779.000000, 0.035731
1778.000000, 0.033779
1777.000000, 0.025016
1776.000000, 0.015460
1775.000000, 0.025803
1774.000000, 0.041369
1773.000000, 0.018414
1772.000000, -0.011420
1771.000000, -0.009749
1770.000000, 0.016051
1769.000000, 0.020677
1768.000000, -0.001083
1767.000000, 0.025294
1766.000000, 0.003938
1765.000000, -0.006597
1764.000000, 0.021655
1763.000000, 0.047056
1762.000000, -0.013686
1761.000000, -0.037714
1760.000000, -0.024717
1759.000000, -0.043027
1758.000000, -0.071277
1757.000000, -0.012409
1756.000000, -0.055635
1755.000000, -0.037311
1754.000000, 0.022645
1753.000000, 0.022745
1752.000000, 0.043717
1751.000000, 0.032787
1750.000000, 0.022052
1749.000000, -0.037210
1748.000000, 0.007583
1747.000000, 0.004628
1746.000000, -0.022747
1745.000000, 0.049033
1744.000000, 0.043501
1743.000000, 0.006890
1742.000000, 0.027565
1741.000000, 0.023923
1740.000000, 0.036043
1739.000000, -0.000591
1738.000000, -0.002856
1737.000000, 0.017630
1736.000000, 0.016834
1735.000000, 0.012602
1734.000000, 0.020780
1733.000000, 0.020683
1732.000000, 0.012901
1731.000000, -0.000197
1730.000000, 0.028066
1729.000000, 0.035455
1728.000000, -0.006795
1727.000000, -0.012310
1726.000000, 0.040884
1725.000000, 0.026492
1724.000000, 0.030428
1723.000000, 0.003151
1722.000000, 0.036439
1721.000000, 0.021569
1720.000000, -0.038019
1719.000000, -0.006796
1718.000000, 0.052288
1717.000000, 0.063028
1716.000000, 0.029840
1715.000000, -0.012411
1714.000000, -0.001478
1713.000000, 0.021475
1712.000000, 0.003350
1711.000000, 0.008276
1710.000000, -0.002266
1709.000000, 0.070442
1708.000000, 0.037235
1707.000000, -0.017441
1706.000000, 0.005123
1705.000000, 0.009163
1704.000000, 0.009954
1703.000000, 0.027982
1702.000000, 0.027286
1701.000000, 0.022957
1700.000000, 0.023150
1699.000000, -0.007092
1698.000000, -0.041299
1697.000000, -0.006407
1696.000000, 0.026309
1695.000000, 0.019709
1694.000000, 0.033019
1693.000000, 0.047010
1692.000000, 0.008474
1691.000000, -0.015276
1690.000000, -0.005127
1689.000000, 0.003253
1688.000000, 0.024839
1687.000000, 0.034210
1686.000000, 0.045445
1685.000000, 0.019221
1684.000000, -0.010648
1683.000000, -0.017254
1682.000000, 0.018628
1681.000000, 0.053025
1680.000000, 0.042089
1679.000000, 0.016166
1678.000000, 0.015183
1677.000000, 0.047810
