nm, %R
1800.000000, 102.936600
1799.000000, 102.904200
1798.000000, 102.899800
1797.000000, 102.877600
1796.000000, 102.894700
1795.000000, 102.820600
1794.000000, 102.917400
1793.000000, 102.864100
1792.000000, 102.860900
1791.000000, 102.879100
1790.000000, 102.869500
1789.000000, 102.880900
1788.000000, 102.871000
1787.000000, 102.885300
1786.000000, 102.854800
1785.000000, 102.836100
1784.000000, 102.878100
1783.000000, 102.871600
1782.000000, 102.880400
1781.000000, 102.874000
1780.000000, 102.881600
1779.000000, 102.890000
1778.000000, 102.795900
1777.000000, 102.858800
1776.000000, 102.844100
1775.000000, 102.880700
1774.000000, 102.836000
1773.000000, 102.850800
1772.000000, 102.848900
1771.000000, 102.841600
1770.000000, 102.850000
1769.000000, 102.804000
1768.000000, 102.872000
1767.000000, 102.857000
1766.000000, 102.839300
1765.000000, 102.842200
1764.000000, 102.797200
1763.000000, 102.796400
1762.000000, 102.853000
1761.000000, 102.881000
1760.000000, 102.847500
1759.000000, 102.834300
1758.000000, 102.864000
1757.000000, 102.847600
1756.000000, 102.870500
1755.000000, 102.883700
1754.000000, 102.841900
1753.000000, 102.837700
1752.000000, 102.842400
1751.000000, 102.831700
1750.000000, 102.863900
1749.000000, 102.838700
1748.000000, 102.852200
1747.000000, 102.848200
1746.000000, 102.847100
1745.000000, 102.790900
1744.000000, 102.798500
1743.000000, 102.803000
1742.000000, 102.817600
1741.000000, 102.814300
1740.000000, 102.807600
1739.000000, 102.819700
1738.000000, 102.809400
1737.000000, 102.777000
1736.000000, 102.802800
1735.000000, 102.828200
1734.000000, 102.827500
1733.000000, 102.823700
1732.000000, 102.812400
1731.000000, 102.811900
1730.000000, 102.805300
1729.000000, 102.785300
1728.000000, 102.829900
1727.000000, 102.813400
1726.000000, 102.802500
1725.000000, 102.800900
1724.000000, 102.780600
1723.000000, 102.788300
1722.000000, 102.794900
1721.000000, 102.768100
1720.000000, 102.805300
1719.000000, 102.774800
1718.000000, 102.798400
1717.000000, 102.819300
1716.000000, 102.784400
1715.000000, 102.789600
1714.000000, 102.806500
1713.000000, 102.773800
1712.000000, 102.788300
1711.000000, 102.815900
1710.000000, 102.801800
1709.000000, 102.756400
1708.000000, 102.780800
1707.000000, 102.789100
1706.000000, 102.770200
1705.000000, 102.785700
1704.000000, 102.782700
1703.000000, 102.735500
1702.000000, 102.743500
1701.000000, 102.759600
1700.000000, 102.745600
1699.000000, 102.724600
1698.000000, 102.724400
1697.000000, 102.728200
1696.000000, 102.721000
1695.000000, 102.707900
1694.000000, 102.699700
1693.000000, 102.681700
1692.000000, 102.696200
1691.000000, 102.706500
1690.000000, 102.700400
1689.000000, 102.685600
1688.000000, 102.678300
1687.000000, 102.676500
1686.000000, 102.661000
1685.000000, 102.674200
1684.000000, 102.717300
1683.000000, 102.697100
1682.000000, 102.671800
1681.000000, 102.680300
1680.000000, 102.691700
1679.000000, 102.682900
1678.000000, 102.680400
1677.000000, 102.686500
1676.000000, 102.671800
1675.000000, 102.676800
1674.000000, 102.715900
1673.000000, 102.694400
1672.000000, 102.704700
1671.000000, 102.682400
1670.000000, 102.639100
1669.000000, 102.613800
1668.000000, 102.627100
1667.000000, 102.639100
1666.000000, 102.620800
1665.000000, 102.643400
1664.000000, 102.639700
1663.000000, 102.602200
1662.000000, 102.599300
1661.000000, 102.630100
1660.000000, 102.616600
1659.000000, 102.610400
1658.000000, 102.596600
1657.000000, 102.602500
1656.000000, 102.590600
1655.000000, 102.557000
1654.000000, 102.582500
1653.000000, 102.584300
1652.000000, 102.589400
1651.000000, 102.564700
1650.000000, 102.552300
1649.000000, 102.580800
1648.000000, 102.601100
1647.000000, 102.579700
1646.000000, 102.582700
1645.000000, 102.561800
1644.000000, 102.548100
1643.000000, 102.555500
1642.000000, 102.542800
1641.000000, 102.521100
1640.000000, 102.516900
1639.000000, 102.513100
1638.000000, 102.546400
1637.000000, 102.542600
1636.000000, 102.569700
1635.000000, 102.548800
1634.000000, 102.546700
1633.000000, 102.554200
1632.000000, 102.555300
1631.000000, 102.541700
1630.000000, 102.527300
1629.000000, 102.533300
1628.000000, 102.503200
1627.000000, 102.496500
1626.000000, 102.522400
1625.000000, 102.512500
1624.000000, 102.536300
1623.000000, 102.540000
1622.000000, 102.535600
1621.000000, 102.530300
1620.000000, 102.539500
1619.000000, 102.527400
1618.000000, 102.492800
1617.000000, 102.525300
1616.000000, 102.484100
1615.000000, 102.498700
1614.000000, 102.520500
1613.000000, 102.477400
1612.000000, 102.504700
1611.000000, 102.518100
1610.000000, 102.503800
1609.000000, 102.507000
1608.000000, 102.516500
1607.000000, 102.517900
1606.000000, 102.474300
1605.000000, 102.520500
1604.000000, 102.504400
1603.000000, 102.453100
1602.000000, 102.495600
1601.000000, 102.517700
1600.000000, 102.511500
1599.000000, 102.522600
1598.000000, 102.537400
1597.000000, 102.516500
1596.000000, 102.483200
1595.000000, 102.520300
1594.000000, 102.512100
1593.000000, 102.506800
1592.000000, 102.521700
1591.000000, 102.522900
1590.000000, 102.518200
1589.000000, 102.521100
1588.000000, 102.495000
1587.000000, 102.508200
1586.000000, 102.479100
1585.000000, 102.503400
1584.000000, 102.502400
1583.000000, 102.514200
1582.000000, 102.454100
1581.000000, 102.506300
1580.000000, 102.507800
1579.000000, 102.505200
1578.000000, 102.496000
1577.000000, 102.504600
1576.000000, 102.486400
1575.000000, 102.430000
1574.000000, 102.452100
1573.000000, 102.513700
1572.000000, 102.492700
1571.000000, 102.478700
1570.000000, 102.466000
1569.000000, 102.463400
1568.000000, 102.476000
1567.000000, 102.473600
1566.000000, 102.500300
1565.000000, 102.507000
1564.000000, 102.510000
1563.000000, 102.447600
1562.000000, 102.448800
1561.000000, 102.441800
1560.000000, 102.469600
1559.000000, 102.475800
1558.000000, 102.458400
1557.000000, 102.467700
1556.000000, 102.468500
1555.000000, 102.465500
1554.000000, 102.447300
1553.000000, 102.457700
1552.000000, 102.459300
1551.000000, 102.461000
1550.000000, 102.471900
1549.000000, 102.486900
1548.000000, 102.500900
1547.000000, 102.471400
1546.000000, 102.476900
1545.000000, 102.517300
1544.000000, 102.506300
1543.000000, 102.491900
1542.000000, 102.495200
1541.000000, 102.502100
1540.000000, 102.522000
1539.000000, 102.490200
1538.000000, 102.483200
1537.000000, 102.495500
1536.000000, 102.475600
1535.000000, 102.489300
1534.000000, 102.495500
1533.000000, 102.500200
1532.000000, 102.461900
