nm, %R
1800.000000, -0.074415
1799.000000, -0.035276
1798.000000, -0.087464
1797.000000, -0.028092
1796.000000, -0.032266
1795.000000, -0.043960
1794.000000, 0.000000
1793.000000, -0.022748
1792.000000, -0.069122
1791.000000, -0.076789
1790.000000, -0.072422
1789.000000, -0.132289
1788.000000, -0.042286
1787.000000, -0.081547
1786.000000, -0.027223
1785.000000, -0.016045
1784.000000, 0.023329
1783.000000, 0.010012
1782.000000, 0.015746
1781.000000, 0.021385
1780.000000, -0.005152
1779.000000, -0.027408
1778.000000, 0.017413
1777.000000, -0.013708
1776.000000, -0.053285
1775.000000, 0.017885
1774.000000, -0.035688
1773.000000, -0.040739
1772.000000, -0.044045
1771.000000, -0.035297
1770.000000, -0.029849
1769.000000, 0.034824
1768.000000, 0.018372
1767.000000, -0.025958
1766.000000, -0.033256
1765.000000, -0.023239
1764.000000, -0.069749
1763.000000, -0.040760
1762.000000, -0.018084
1761.000000, -0.061819
1760.000000, -0.045893
1759.000000, -0.021491
1758.000000, -0.054732
1757.000000, -0.037531
1756.000000, -0.039759
1755.000000, -0.094670
1754.000000, -0.086054
1753.000000, -0.034131
1752.000000, -0.018183
1751.000000, -0.047456
1750.000000, -0.051913
1749.000000, -0.047356
1748.000000, -0.061058
1747.000000, -0.033934
1746.000000, -0.028489
1745.000000, -0.010312
1744.000000, -0.031129
1743.000000, -0.036283
1742.000000, -0.043086
1741.000000, -0.061373
1740.000000, -0.059820
1739.000000, -0.068858
1738.000000, -0.044548
1737.000000, -0.048454
1736.000000, -0.043579
1735.000000, -0.058544
1734.000000, -0.043374
1733.000000, -0.000778
1732.000000, -0.024900
1731.000000, -0.057386
1730.000000, -0.063129
1729.000000, -0.057401
1728.000000, -0.056793
1727.000000, -0.029957
1726.000000, 0.018579
1725.000000, 0.007198
1724.000000, -0.022280
1723.000000, -0.007686
1722.000000, -0.046403
1721.000000, -0.092733
1720.000000, -0.061962
1719.000000, -0.060813
1718.000000, -0.065371
1717.000000, -0.048629
1716.000000, 0.026950
1715.000000, 0.030159
1714.000000, -0.021108
1713.000000, -0.007006
1712.000000, -0.017609
1711.000000, -0.049603
1710.000000, -0.084434
1709.000000, -0.081552
1708.000000, -0.054485
1707.000000, -0.022668
1706.000000, -0.008660
1705.000000, -0.027922
1704.000000, -0.046019
1703.000000, -0.058305
1702.000000, -0.028712
1701.000000, -0.030557
1700.000000, -0.060246
1699.000000, -0.030567
1698.000000, -0.011682
1697.000000, -0.044389
1696.000000, -0.062499
1695.000000, -0.050240
1694.000000, -0.032230
1693.000000, -0.024737
1692.000000, -0.040216
1691.000000, -0.055303
1690.000000, -0.069425
1689.000000, -0.082972
1688.000000, -0.034574
1687.000000, 0.000000
1686.000000, -0.020358
1685.000000, -0.035549
1684.000000, -0.024047
1683.000000, -0.034276
1682.000000, -0.048504
1681.000000, -0.033697
1680.000000, -0.017723
1679.000000, -0.026587
1678.000000, -0.046455
1677.000000, -0.061449
1676.000000, -0.061750
1675.000000, -0.023277
1674.000000, -0.047510
1673.000000, -0.061639
1672.000000, -0.038070
1671.000000, -0.014121
1670.000000, -0.028254
1669.000000, -0.053989
1668.000000, -0.073372
1667.000000, -0.081061
1666.000000, -0.087799
1665.000000, -0.084954
1664.000000, -0.058262
1663.000000, -0.063644
1662.000000, -0.068519
1661.000000, -0.071422
1660.000000, -0.051064
1659.000000, -0.082350
1658.000000, -0.105364
1657.000000, -0.063546
1656.000000, -0.011307
1655.000000, -0.030325
1654.000000, -0.066483
1653.000000, -0.055174
1652.000000, -0.093577
1651.000000, -0.052065
1650.000000, -0.014724
1649.000000, -0.037239
1648.000000, -0.032261
1647.000000, -0.053909
1646.000000, -0.031584
1645.000000, -0.019500
1644.000000, -0.047880
1643.000000, -0.021257
1642.000000, -0.028573
1641.000000, -0.018825
1640.000000, 0.022630
1639.000000, -0.020095
1638.000000, -0.048368
1637.000000, -0.071092
1636.000000, -0.014527
1635.000000, -0.012872
1634.000000, -0.024379
1633.000000, -0.046122
