nm, %R
1800.000000, 101.564400
1799.000000, 101.626100
1798.000000, 101.572300
1797.000000, 101.571200
1796.000000, 101.579400
1795.000000, 101.582100
1794.000000, 101.536900
1793.000000, 101.532600
1792.000000, 101.578600
1791.000000, 101.586400
1790.000000, 101.540400
1789.000000, 101.539700
1788.000000, 101.527700
1787.000000, 101.532000
1786.000000, 101.545000
1785.000000, 101.567100
1784.000000, 101.545800
1783.000000, 101.584700
1782.000000, 101.566700
1781.000000, 101.581700
1780.000000, 101.558600
1779.000000, 101.593100
1778.000000, 101.541000
1777.000000, 101.534900
1776.000000, 101.551600
1775.000000, 101.539500
1774.000000, 101.524200
1773.000000, 101.554200
1772.000000, 101.575700
1771.000000, 101.553600
1770.000000, 101.549900
1769.000000, 101.560400
1768.000000, 101.596500
1767.000000, 101.603600
1766.000000, 101.574200
1765.000000, 101.556600
1764.000000, 101.592600
1763.000000, 101.581300
1762.000000, 101.562100
1761.000000, 101.554800
1760.000000, 101.548100
1759.000000, 101.564600
1758.000000, 101.575800
1757.000000, 101.538500
1756.000000, 101.555000
1755.000000, 101.578300
1754.000000, 101.566700
1753.000000, 101.562600
1752.000000, 101.562400
1751.000000, 101.564600
1750.000000, 101.575800
1749.000000, 101.585400
1748.000000, 101.544700
1747.000000, 101.552800
1746.000000, 101.550800
1745.000000, 101.564300
1744.000000, 101.607800
1743.000000, 101.591500
1742.000000, 101.579500
1741.000000, 101.576000
1740.000000, 101.545500
1739.000000, 101.550400
1738.000000, 101.533800
1737.000000, 101.533000
1736.000000, 101.579600
1735.000000, 101.570500
1734.000000, 101.538900
1733.000000, 101.534400
1732.000000, 101.544100
1731.000000, 101.514100
1730.000000, 101.546400
1729.000000, 101.538000
1728.000000, 101.547200
1727.000000, 101.541600
1726.000000, 101.505700
1725.000000, 101.538300
1724.000000, 101.550500
1723.000000, 101.539100
1722.000000, 101.538400
1721.000000, 101.535000
1720.000000, 101.528200
1719.000000, 101.533200
1718.000000, 101.553300
1717.000000, 101.541500
1716.000000, 101.539900
1715.000000, 101.523700
1714.000000, 101.518000
1713.000000, 101.515000
1712.000000, 101.482200
1711.000000, 101.499300
1710.000000, 101.484900
1709.000000, 101.501800
1708.000000, 101.517000
1707.000000, 101.486800
1706.000000, 101.493200
1705.000000, 101.493700
1704.000000, 101.466300
1703.000000, 101.494400
1702.000000, 101.517700
1701.000000, 101.494900
1700.000000, 101.513600
1699.000000, 101.519300
1698.000000, 101.455800
1697.000000, 101.450700
1696.000000, 101.487200
1695.000000, 101.474200
1694.000000, 101.457600
1693.000000, 101.468100
1692.000000, 101.484100
1691.000000, 101.468100
1690.000000, 101.431000
1689.000000, 101.451300
1688.000000, 101.452800
1687.000000, 101.430900
1686.000000, 101.440200
1685.000000, 101.453600
1684.000000, 101.425900
1683.000000, 101.425000
1682.000000, 101.461100
1681.000000, 101.461100
1680.000000, 101.452700
1679.000000, 101.445200
1678.000000, 101.431300
1677.000000, 101.444100
1676.000000, 101.447900
1675.000000, 101.435600
1674.000000, 101.419300
1673.000000, 101.420100
1672.000000, 101.433300
1671.000000, 101.435900
1670.000000, 101.448600
1669.000000, 101.403500
1668.000000, 101.382600
1667.000000, 101.382900
1666.000000, 101.394300
1665.000000, 101.420100
1664.000000, 101.401300
1663.000000, 101.369300
1662.000000, 101.382100
1661.000000, 101.388700
1660.000000, 101.385000
1659.000000, 101.362200
1658.000000, 101.369900
1657.000000, 101.379100
1656.000000, 101.388100
1655.000000, 101.372500
1654.000000, 101.331800
1653.000000, 101.336400
1652.000000, 101.348000
1651.000000, 101.332900
1650.000000, 101.296700
1649.000000, 101.305400
1648.000000, 101.304000
1647.000000, 101.350100
1646.000000, 101.346600
1645.000000, 101.306900
1644.000000, 101.308500
1643.000000, 101.327900
1642.000000, 101.343400
1641.000000, 101.342900
1640.000000, 101.324900
1639.000000, 101.304800
1638.000000, 101.327800
1637.000000, 101.301600
1636.000000, 101.316000
1635.000000, 101.311400
1634.000000, 101.318900
1633.000000, 101.329100
1632.000000, 101.315800
1631.000000, 101.269100
1630.000000, 101.282600
1629.000000, 101.325100
1628.000000, 101.291600
1627.000000, 101.322700
1626.000000, 101.319600
1625.000000, 101.290300
1624.000000, 101.281800
1623.000000, 101.297500
1622.000000, 101.293000
1621.000000, 101.287400
1620.000000, 101.304600
1619.000000, 101.299500
1618.000000, 101.308800
1617.000000, 101.337400
1616.000000, 101.329500
1615.000000, 101.298500
1614.000000, 101.316400
1613.000000, 101.318600
1612.000000, 101.306100
1611.000000, 101.279300
1610.000000, 101.291300
1609.000000, 101.319900
1608.000000, 101.297300
1607.000000, 101.316500
