nm, %R
1800.000000, 0.170335
1799.000000, 0.171019
1798.000000, 0.159295
1797.000000, 0.174262
1796.000000, 0.179958
1795.000000, 0.183398
1794.000000, 0.182692
1793.000000, 0.188905
1792.000000, 0.175824
1791.000000, 0.180241
1790.000000, 0.168504
1789.000000, 0.185346
1788.000000, 0.176110
1787.000000, 0.180928
1786.000000, 0.217933
1785.000000, 0.247226
1784.000000, 0.233097
1783.000000, 0.241572
1782.000000, 0.193764
1781.000000, 0.206533
1780.000000, 0.137359
1779.000000, 0.169697
1778.000000, 0.229267
1777.000000, 0.282760
1776.000000, 0.195664
1775.000000, 0.212824
1774.000000, 0.227827
1773.000000, 0.226480
1772.000000, 0.179275
1771.000000, 0.170255
1770.000000, 0.181290
1769.000000, 0.170834
1768.000000, 0.187113
1767.000000, 0.206095
1766.000000, 0.196310
1765.000000, 0.173893
1764.000000, 0.128553
1763.000000, 0.169224
1762.000000, 0.179004
1761.000000, 0.185811
1760.000000, 0.158053
1759.000000, 0.217497
1758.000000, 0.221805
1757.000000, 0.204750
1756.000000, 0.215450
1755.000000, 0.148162
1754.000000, 0.167279
1753.000000, 0.193181
1752.000000, 0.161674
1751.000000, 0.167381
1750.000000, 0.235588
1749.000000, 0.210463
1748.000000, 0.190556
1747.000000, 0.215651
1746.000000, 0.206596
1745.000000, 0.210310
1744.000000, 0.197327
1743.000000, 0.166549
1742.000000, 0.176118
1741.000000, 0.231354
1740.000000, 0.242453
1739.000000, 0.210043
1738.000000, 0.231549
1737.000000, 0.192548
1736.000000, 0.191968
1735.000000, 0.211873
1734.000000, 0.208688
1733.000000, 0.199243
1732.000000, 0.198633
1731.000000, 0.239967
1730.000000, 0.174305
1729.000000, 0.202289
1728.000000, 0.219504
1727.000000, 0.198244
1726.000000, 0.201762
1725.000000, 0.173334
1724.000000, 0.159231
1723.000000, 0.137582
1722.000000, 0.178061
1721.000000, 0.207318
1720.000000, 0.211271
1719.000000, 0.203283
1718.000000, 0.155583
1717.000000, 0.168699
1716.000000, 0.218929
1715.000000, 0.199953
