nm, %R
1800.000000, 103.120600
1799.000000, 103.130400
1798.000000, 103.144800
1797.000000, 103.116800
1796.000000, 103.069800
1795.000000, 103.099100
1794.000000, 103.131300
1793.000000, 103.051400
1792.000000, 103.062100
1791.000000, 103.089800
1790.000000, 103.116900
1789.000000, 103.062200
1788.000000, 103.067400
1787.000000, 103.051000
1786.000000, 103.077700
1785.000000, 103.052700
1784.000000, 103.092500
1783.000000, 103.098200
1782.000000, 103.084200
1781.000000, 103.060800
1780.000000, 103.062000
1779.000000, 103.098600
1778.000000, 103.035300
1777.000000, 103.068200
1776.000000, 103.065500
1775.000000, 103.085800
1774.000000, 103.067100
1773.000000, 103.065100
1772.000000, 103.037100
1771.000000, 103.011400
1770.000000, 103.065400
1769.000000, 103.059100
1768.000000, 103.031600
1767.000000, 103.065900
1766.000000, 103.085300
1765.000000, 103.074500
1764.000000, 103.117300
1763.000000, 103.049600
1762.000000, 103.073100
1761.000000, 103.068900
1760.000000, 103.052900
1759.000000, 103.041900
1758.000000, 103.044500
1757.000000, 103.021700
1756.000000, 103.067800
1755.000000, 103.037500
1754.000000, 103.043400
1753.000000, 103.048600
1752.000000, 103.042600
1751.000000, 103.017500
1750.000000, 102.970300
1749.000000, 103.011300
1748.000000, 103.035300
1747.000000, 103.024400
1746.000000, 103.041200
1745.000000, 103.023400
1744.000000, 103.041000
1743.000000, 103.038600
1742.000000, 103.042800
1741.000000, 103.030600
1740.000000, 103.005100
1739.000000, 103.003500
1738.000000, 102.976000
1737.000000, 103.016300
1736.000000, 103.012100
1735.000000, 102.995600
1734.000000, 102.989500
1733.000000, 103.036600
1732.000000, 103.037700
1731.000000, 103.001900
1730.000000, 102.980800
1729.000000, 102.990100
1728.000000, 102.985700
1727.000000, 102.995200
1726.000000, 102.978500
1725.000000, 102.970000
1724.000000, 102.992000
1723.000000, 102.974900
1722.000000, 102.993600
1721.000000, 103.001700
1720.000000, 102.971000
1719.000000, 102.972400
1718.000000, 102.966800
1717.000000, 102.964200
1716.000000, 102.971700
1715.000000, 102.980900
1714.000000, 102.987600
1713.000000, 102.978300
1712.000000, 102.968100
1711.000000, 102.968000
1710.000000, 102.961400
1709.000000, 102.946400
1708.000000, 102.955700
1707.000000, 102.943600
1706.000000, 102.956600
1705.000000, 102.969400
1704.000000, 102.937100
1703.000000, 102.924500
1702.000000, 102.950700
