nm, %R
1800.000000, 90.465795
1799.000000, 90.478449
1798.000000, 90.470227
1797.000000, 90.467996
1796.000000, 90.526136
1795.000000, 90.479632
1794.000000, 90.416769
1793.000000, 90.490669
1792.000000, 90.481464
1791.000000, 90.496712
1790.000000, 90.463919
1789.000000, 90.484793
1788.000000, 90.470739
1787.000000, 90.498708
1786.000000, 90.450692
1785.000000, 90.449764
1784.000000, 90.432395
1783.000000, 90.431759
1782.000000, 90.457607
1781.000000, 90.465145
1780.000000, 90.471588
1779.000000, 90.414902
1778.000000, 90.473866
1777.000000, 90.464628
1776.000000, 90.419173
1775.000000, 90.416357
1774.000000, 90.431243
1773.000000, 90.418480
1772.000000, 90.455675
1771.000000, 90.474919
1770.000000, 90.428275
1769.000000, 90.459710
1768.000000, 90.477210
1767.000000, 90.421573
1766.000000, 90.433778
1765.000000, 90.404826
1764.000000, 90.390633
1763.000000, 90.447644
1762.000000, 90.418483
1761.000000, 90.416095
1760.000000, 90.431841
1759.000000, 90.444437
1758.000000, 90.435037
1757.000000, 90.437774
1756.000000, 90.426359
1755.000000, 90.415743
1754.000000, 90.407814
1753.000000, 90.408851
1752.000000, 90.401207
1751.000000, 90.428645
1750.000000, 90.468101
1749.000000, 90.422695
1748.000000, 90.394324
1747.000000, 90.374934
1746.000000, 90.381365
1745.000000, 90.403721
1744.000000, 90.415804
1743.000000, 90.375578
1742.000000, 90.379012
1741.000000, 90.402434
1740.000000, 90.424909
1739.000000, 90.394981
1738.000000, 90.400316
1737.000000, 90.373876
1736.000000, 90.399112
1735.000000, 90.411505
1734.000000, 90.368335
1733.000000, 90.334049
1732.000000, 90.344570
1731.000000, 90.342358
1730.000000, 90.344534
1729.000000, 90.356033
1728.000000, 90.369580
1727.000000, 90.339974
1726.000000, 90.338859
1725.000000, 90.358569
1724.000000, 90.335564
1723.000000, 90.344582
1722.000000, 90.364452
1721.000000, 90.334938
1720.000000, 90.359116
1719.000000, 90.364346
1718.000000, 90.350929
1717.000000, 90.322436
1716.000000, 90.316807
1715.000000, 90.297912
1714.000000, 90.303433
1713.000000, 90.331342
1712.000000, 90.297739
1711.000000, 90.285764
1710.000000, 90.292691
1709.000000, 90.310978
1708.000000, 90.288856
1707.000000, 90.300514
1706.000000, 90.264794
1705.000000, 90.263736
1704.000000, 90.282833
1703.000000, 90.265358
1702.000000, 90.256003
1701.000000, 90.271795
1700.000000, 90.257563
1699.000000, 90.263584
1698.000000, 90.281357
1697.000000, 90.303957
1696.000000, 90.290742
1695.000000, 90.264203
1694.000000, 90.269311
1693.000000, 90.289304
1692.000000, 90.268173
1691.000000, 90.299168
1690.000000, 90.329042
1689.000000, 90.297969
1688.000000, 90.290419
1687.000000, 90.294066
1686.000000, 90.314092
1685.000000, 90.320381
1684.000000, 90.300524
1683.000000, 90.278038
1682.000000, 90.275465
1681.000000, 90.289845
1680.000000, 90.300543
1679.000000, 90.293091
1678.000000, 90.302266
1677.000000, 90.303394
