nm, %R
1800.000000, 0.117033
1799.000000, 0.169753
1798.000000, 0.105062
1797.000000, 0.166644
1796.000000, 0.153434
1795.000000, 0.158322
1794.000000, 0.126883
1793.000000, 0.216002
1792.000000, 0.199847
1791.000000, 0.202829
1790.000000, 0.191205
1789.000000, 0.208103
1788.000000, 0.176399
1787.000000, 0.212301
1786.000000, 0.190234
1785.000000, 0.245893
1784.000000, 0.251775
1783.000000, 0.233832
1782.000000, 0.216218
1781.000000, 0.238472
1780.000000, 0.214841
1779.000000, 0.215144
1778.000000, 0.236728
1777.000000, 0.199646
1776.000000, 0.199176
1775.000000, 0.207296
1774.000000, 0.219764
1773.000000, 0.213885
1772.000000, 0.214608
1771.000000, 0.154564
1770.000000, 0.161315
1769.000000, 0.221584
1768.000000, 0.203229
1767.000000, 0.187884
1766.000000, 0.213749
1765.000000, 0.139573
1764.000000, 0.176598
1763.000000, 0.176240
1762.000000, 0.164814
1761.000000, 0.197462
1760.000000, 0.185820
1759.000000, 0.215167
1758.000000, 0.193333
1757.000000, 0.194989
1756.000000, 0.189304
1755.000000, 0.179393
1754.000000, 0.207192
1753.000000, 0.179374
1752.000000, 0.208142
1751.000000, 0.236769
1750.000000, 0.213227
1749.000000, 0.173078
1748.000000, 0.195058
1747.000000, 0.198022
1746.000000, 0.178817
1745.000000, 0.155400
1744.000000, 0.176824
1743.000000, 0.206727
1742.000000, 0.203396
1741.000000, 0.199813
1740.000000, 0.196540
1739.000000, 0.229490
1738.000000, 0.200584
1737.000000, 0.204778
1736.000000, 0.179437
1735.000000, 0.168166
1734.000000, 0.181091
1733.000000, 0.187937
1732.000000, 0.206349
1731.000000, 0.201198
1730.000000, 0.190603
1729.000000, 0.191251
1728.000000, 0.205693
1727.000000, 0.207574
1726.000000, 0.201339
