nm, %T
1800.000000, 102.996300
1799.000000, 103.008800
1798.000000, 102.968200
1797.000000, 102.972100
1796.000000, 102.980500
1795.000000, 102.999400
1794.000000, 102.956200
1793.000000, 102.935400
1792.000000, 102.937900
1791.000000, 102.951500
1790.000000, 102.936500
1789.000000, 102.959800
1788.000000, 102.911700
1787.000000, 102.922800
1786.000000, 102.915700
1785.000000, 102.960400
1784.000000, 102.903100
1783.000000, 102.942700
1782.000000, 102.963800
1781.000000, 102.959800
1780.000000, 102.947100
1779.000000, 102.993700
1778.000000, 102.938400
1777.000000, 102.882800
1776.000000, 102.950000
1775.000000, 102.945100
1774.000000, 102.926600
1773.000000, 102.924000
1772.000000, 102.946900
1771.000000, 102.959400
1770.000000, 102.960100
1769.000000, 102.906800
1768.000000, 102.945700
1767.000000, 102.955600
1766.000000, 102.922800
1765.000000, 102.967300
1764.000000, 102.915600
1763.000000, 102.931900
1762.000000, 102.969100
1761.000000, 102.899000
1760.000000, 102.961700
1759.000000, 102.950400
1758.000000, 102.916600
1757.000000, 102.915600
1756.000000, 102.925100
1755.000000, 102.937800
1754.000000, 102.946500
1753.000000, 102.929000
1752.000000, 102.959800
1751.000000, 102.898600
1750.000000, 102.912700
1749.000000, 102.910800
1748.000000, 102.949100
1747.000000, 102.931000
1746.000000, 102.910800
1745.000000, 102.922000
1744.000000, 102.926800
1743.000000, 102.937200
1742.000000, 102.908400
1741.000000, 102.895800
1740.000000, 102.893700
1739.000000, 102.874800
1738.000000, 102.883400
1737.000000, 102.879200
1736.000000, 102.903200
1735.000000, 102.918000
1734.000000, 102.906600
1733.000000, 102.893900
1732.000000, 102.885900
1731.000000, 102.863300
1730.000000, 102.882900
1729.000000, 102.871600
1728.000000, 102.871800
1727.000000, 102.849100
1726.000000, 102.858700
1725.000000, 102.905800
1724.000000, 102.917500
1723.000000, 102.860800
1722.000000, 102.845800
1721.000000, 102.866300
1720.000000, 102.834500
1719.000000, 102.869100
1718.000000, 102.856200
1717.000000, 102.860900
1716.000000, 102.860300
1715.000000, 102.870400
1714.000000, 102.877400
1713.000000, 102.875600
1712.000000, 102.850400
1711.000000, 102.830300
1710.000000, 102.835700
1709.000000, 102.847500
1708.000000, 102.829000
1707.000000, 102.870900
1706.000000, 102.857300
1705.000000, 102.837500
1704.000000, 102.820800
1703.000000, 102.829200
1702.000000, 102.835000
1701.000000, 102.839500
1700.000000, 102.823900
