nm, %T
1800.000000, 90.427229
1799.000000, 90.454117
1798.000000, 90.522122
1797.000000, 90.473342
1796.000000, 90.488005
1795.000000, 90.458488
1794.000000, 90.522475
1793.000000, 90.512108
1792.000000, 90.507869
1791.000000, 90.529230
1790.000000, 90.555828
1789.000000, 90.531159
1788.000000, 90.585716
1787.000000, 90.580999
1786.000000, 90.587831
1785.000000, 90.584827
1784.000000, 90.627785
1783.000000, 90.618373
1782.000000, 90.576494
1781.000000, 90.594776
1780.000000, 90.608672
1779.000000, 90.567190
1778.000000, 90.599426
1777.000000, 90.701167
1776.000000, 90.604080
1775.000000, 90.622283
1774.000000, 90.644790
1773.000000, 90.652326
1772.000000, 90.619436
1771.000000, 90.640777
1770.000000, 90.620056
1769.000000, 90.685066
1768.000000, 90.681981
1767.000000, 90.638489
1766.000000, 90.660087
1765.000000, 90.632269
1764.000000, 90.716276
1763.000000, 90.717552
1762.000000, 90.700608
1761.000000, 90.756470
1760.000000, 90.684206
1759.000000, 90.741464
1758.000000, 90.803136
1757.000000, 90.791289
1756.000000, 90.804964
1755.000000, 90.801435
1754.000000, 90.776568
1753.000000, 90.803661
1752.000000, 90.769990
1751.000000, 90.865571
1750.000000, 90.863713
1749.000000, 90.845762
1748.000000, 90.822844
1747.000000, 90.831139
1746.000000, 90.854604
1745.000000, 90.852490
1744.000000, 90.867393
1743.000000, 90.865401
1742.000000, 90.906476
1741.000000, 90.928396
1740.000000, 90.955812
1739.000000, 90.948609
1738.000000, 90.936050
1737.000000, 90.966396
1736.000000, 90.947317
1735.000000, 90.952409
1734.000000, 90.991346
1733.000000, 91.013559
1732.000000, 90.997892
1731.000000, 91.026148
1730.000000, 91.033495
1729.000000, 91.036302
1728.000000, 91.030098
1727.000000, 91.067010
1726.000000, 91.096329
1725.000000, 91.055509
1724.000000, 91.037384
1723.000000, 91.083386
1722.000000, 91.134300
1721.000000, 91.113805
1720.000000, 91.129339
1719.000000, 91.110256
1718.000000, 91.146474
1717.000000, 91.146782
1716.000000, 91.139828
1715.000000, 91.160139
1714.000000, 91.172794
1713.000000, 91.174681
1712.000000, 91.203048
1711.000000, 91.224960
1710.000000, 91.234756
1709.000000, 91.216996
1708.000000, 91.242062
1707.000000, 91.232700
1706.000000, 91.264111
1705.000000, 91.266999
1704.000000, 91.258773
1703.000000, 91.253165
1702.000000, 91.266592
1701.000000, 91.265418
1700.000000, 91.277125
1699.000000, 91.325235
1698.000000, 91.336500
1697.000000, 91.330686
1696.000000, 91.351444
1695.000000, 91.373109
1694.000000, 91.352258
1693.000000, 91.372700
1692.000000, 91.374567
1691.000000, 91.401808
1690.000000, 91.403532
1689.000000, 91.381848
1688.000000, 91.429697
1687.000000, 91.420691
1686.000000, 91.428074
1685.000000, 91.468951
1684.000000, 91.461506
1683.000000, 91.453096
1682.000000, 91.467815
1681.000000, 91.481391
1680.000000, 91.487181
1679.000000, 91.471128
1678.000000, 91.474141
1677.000000, 91.487675
1676.000000, 91.522354
1675.000000, 91.544689
1674.000000, 91.558820
1673.000000, 91.601894
1672.000000, 91.602337
1671.000000, 91.597699
1670.000000, 91.623272
