Sample ID, Description, Type, CBDep
T1, , Sample, On
T2, , Sample, On
T3, , Sample, On
T4, , Sample, On
T5, , Sample, On
T6, , Sample, On
T7, , Sample, On
T8, , Sample, On
T9, , Sample, On
T10, , Sample, On
T11, , Sample, On
T12, , Sample, On
T13, , Sample, On
T14, , Sample, On
T15, , Sample, On
T16, , Sample, On
T17, , Sample, On
T18, , Sample, On
T19, , Sample, On
T20, , Sample, On
T21, , Sample, On
T22, , Sample, On
T23, , Sample, On
T24, , Sample, On
T25, , Sample, On
T26, , Sample, On
T27, , Sample, On
T28, , Sample, On
T29, , Sample, On
Spectrosil2000, , Sample, On
