nm, %T
1800.000000, 94.165324
1799.000000, 94.101863
1798.000000, 94.136345
1797.000000, 94.111900
1796.000000, 94.163652
1795.000000, 94.102296
1794.000000, 94.111477
1793.000000, 94.166438
1792.000000, 94.146859
1791.000000, 94.156763
1790.000000, 94.149208
1789.000000, 94.117219
1788.000000, 94.166747
1787.000000, 94.174371
1786.000000, 94.169306
1785.000000, 94.128519
1784.000000, 94.177629
1783.000000, 94.175692
1782.000000, 94.171641
1781.000000, 94.132564
1780.000000, 94.176912
1779.000000, 94.111387
1778.000000, 94.087143
1777.000000, 94.172398
1776.000000, 94.089947
1775.000000, 94.091608
1774.000000, 94.155350
1773.000000, 94.142766
1772.000000, 94.088214
1771.000000, 94.063097
1770.000000, 94.071296
1769.000000, 94.156363
1768.000000, 94.114567
1767.000000, 94.103769
1766.000000, 94.122877
1765.000000, 94.093756
1764.000000, 94.138595
1763.000000, 94.114653
1762.000000, 94.125811
1761.000000, 94.157572
1760.000000, 94.070416
1759.000000, 94.110853
1758.000000, 94.145842
1757.000000, 94.153170
1756.000000, 94.137290
1755.000000, 94.079337
1754.000000, 94.100042
1753.000000, 94.099914
1752.000000, 94.061469
1751.000000, 94.132379
1750.000000, 94.137167
1749.000000, 94.137739
1748.000000, 94.092906
1747.000000, 94.103720
1746.000000, 94.145610
1745.000000, 94.131381
1744.000000, 94.126214
1743.000000, 94.068228
1742.000000, 94.137894
1741.000000, 94.135718
1740.000000, 94.139583
1739.000000, 94.109831
1738.000000, 94.135108
1737.000000, 94.148380
1736.000000, 94.110776
1735.000000, 94.124060
1734.000000, 94.122243
1733.000000, 94.104024
1732.000000, 94.131460
1731.000000, 94.131435
1730.000000, 94.106795
1729.000000, 94.132783
1728.000000, 94.141154
1727.000000, 94.179531
1726.000000, 94.155575
1725.000000, 94.104122
1724.000000, 94.095173
1723.000000, 94.136542
1722.000000, 94.155717
1721.000000, 94.128592
1720.000000, 94.144961
1719.000000, 94.112226
1718.000000, 94.151544
1717.000000, 94.164060
1716.000000, 94.139138
1715.000000, 94.143408
1714.000000, 94.133017
1713.000000, 94.092380
1712.000000, 94.111156
1711.000000, 94.157072
1710.000000, 94.142890
1709.000000, 94.162133
1708.000000, 94.169057
1707.000000, 94.097553
1706.000000, 94.100565
1705.000000, 94.092719
1704.000000, 94.142041
1703.000000, 94.133281
1702.000000, 94.104342
1701.000000, 94.103336
1700.000000, 94.112847
1699.000000, 94.120885
1698.000000, 94.166486
1697.000000, 94.182316
1696.000000, 94.169815
1695.000000, 94.145381
1694.000000, 94.139006
1693.000000, 94.141493
1692.000000, 94.099146
1691.000000, 94.108982
1690.000000, 94.123004
1689.000000, 94.080894
1688.000000, 94.093899
1687.000000, 94.112044
1686.000000, 94.134552
1685.000000, 94.144983
1684.000000, 94.106971
1683.000000, 94.109553
1682.000000, 94.130121
1681.000000, 94.138085
1680.000000, 94.139511
1679.000000, 94.107317
1678.000000, 94.101762
1677.000000, 94.122523
1676.000000, 94.144844
1675.000000, 94.137012
1674.000000, 94.143633
1673.000000, 94.167682
1672.000000, 94.152189
1671.000000, 94.152179
1670.000000, 94.191411
1669.000000, 94.188507
1668.000000, 94.130490
1667.000000, 94.113787
1666.000000, 94.115671
1665.000000, 94.096647
1664.000000, 94.121972
1663.000000, 94.143288
1662.000000, 94.120304
1661.000000, 94.115139
1660.000000, 94.119039
1659.000000, 94.096129
1658.000000, 94.117349
1657.000000, 94.133800
1656.000000, 94.152479
1655.000000, 94.143414
1654.000000, 94.103370
1653.000000, 94.136088
1652.000000, 94.137703
1651.000000, 94.140084
1650.000000, 94.151816
1649.000000, 94.122522
1648.000000, 94.116839
1647.000000, 94.130283
1646.000000, 94.144605
1645.000000, 94.146572
1644.000000, 94.078663
1643.000000, 94.094570
1642.000000, 94.135982
1641.000000, 94.152848
1640.000000, 94.147224
1639.000000, 94.108890
1638.000000, 94.132952
1637.000000, 94.105498
1636.000000, 94.104592
1635.000000, 94.185886
1634.000000, 94.177421
1633.000000, 94.141637
1632.000000, 94.136162
1631.000000, 94.136876
1630.000000, 94.160655
1629.000000, 94.134396
1628.000000, 94.134434
1627.000000, 94.136534
1626.000000, 94.113698
1625.000000, 94.108688
1624.000000, 94.135469
1623.000000, 94.119344
1622.000000, 94.138085
1621.000000, 94.103624
1620.000000, 94.081316
1619.000000, 94.158983
1618.000000, 94.149336
1617.000000, 94.174958
1616.000000, 94.169034
1615.000000, 94.090304
1614.000000, 94.104943
1613.000000, 94.135754
1612.000000, 94.169574
1611.000000, 94.137236
1610.000000, 94.158418
1609.000000, 94.136264
1608.000000, 94.130358
1607.000000, 94.120003
1606.000000, 94.117108
1605.000000, 94.136105
1604.000000, 94.110469
1603.000000, 94.107064
1602.000000, 94.137113
1601.000000, 94.175113
1600.000000, 94.106038
1599.000000, 94.142988
1598.000000, 94.149152
1597.000000, 94.087910
1596.000000, 94.142648
1595.000000, 94.157437
1594.000000, 94.144491
1593.000000, 94.147968
1592.000000, 94.132841
1591.000000, 94.126614
1590.000000, 94.110556
1589.000000, 94.080576
1588.000000, 94.114035
1587.000000, 94.095098
1586.000000, 94.150784
1585.000000, 94.096861
1584.000000, 94.085339
1583.000000, 94.099728
1582.000000, 94.142707
1581.000000, 94.161349
1580.000000, 94.119918
1579.000000, 94.075984
1578.000000, 94.116603
1577.000000, 94.066965
1576.000000, 94.106641
1575.000000, 94.091502
1574.000000, 94.106534
1573.000000, 94.145060
1572.000000, 94.099474
1571.000000, 94.108472
1570.000000, 94.077322
1569.000000, 94.125460
1568.000000, 94.125390
1567.000000, 94.181571
1566.000000, 94.082800
1565.000000, 94.094863
1564.000000, 94.084712
1563.000000, 94.128406
1562.000000, 94.143169
1561.000000, 94.105072
1560.000000, 94.046401
1559.000000, 94.173791
1558.000000, 94.112461
1557.000000, 94.134594
1556.000000, 94.185205
1555.000000, 94.071117
1554.000000, 94.055496
1553.000000, 94.119803
1552.000000, 94.121156
1551.000000, 94.166342
1550.000000, 94.141181
1549.000000, 94.115634
1548.000000, 94.127522
1547.000000, 94.135641
1546.000000, 94.116443
1545.000000, 94.146092
1544.000000, 94.088052
1543.000000, 94.131220
1542.000000, 94.184137
1541.000000, 94.147464
1540.000000, 94.151445
1539.000000, 94.131548
1538.000000, 94.142510
1537.000000, 94.099333
1536.000000, 94.121655
1535.000000, 94.108697
1534.000000, 94.084087
1533.000000, 94.116557
1532.000000, 94.135115
1531.000000, 94.074728
1530.000000, 94.075502
1529.000000, 94.099098
1528.000000, 94.108110
1527.000000, 94.071681
1526.000000, 94.104019
1525.000000, 94.108735
1524.000000, 94.086059
1523.000000, 94.079250
1522.000000, 94.093032
1521.000000, 94.116047
1520.000000, 94.140327
1519.000000, 94.084333
1518.000000, 94.105961
1517.000000, 94.109260
1516.000000, 94.082721
1515.000000, 94.055064
1514.000000, 94.092188
1513.000000, 94.133287
1512.000000, 94.072563
1511.000000, 94.085989
1510.000000, 94.065769
1509.000000, 94.079289
1508.000000, 94.077822
1507.000000, 94.081249
1506.000000, 94.064105
1505.000000, 94.047790
1504.000000, 94.103701
1503.000000, 94.096931
1502.000000, 94.093454
1501.000000, 94.122326
1500.000000, 94.074996
1499.000000, 94.077588
1498.000000, 94.093824
1497.000000, 94.109329
1496.000000, 94.064857
1495.000000, 94.077898
1494.000000, 94.065648
1493.000000, 94.064692
1492.000000, 94.121358
1491.000000, 94.115588
1490.000000, 94.108434
1489.000000, 94.058309
1488.000000, 94.064817
1487.000000, 94.085820
1486.000000, 94.120864
1485.000000, 94.105830
1484.000000, 94.077675
1483.000000, 94.034512
1482.000000, 94.046983
1481.000000, 94.097410
1480.000000, 94.096074
1479.000000, 94.084911
1478.000000, 94.062343
1477.000000, 94.040091
1476.000000, 94.055603
1475.000000, 94.083174
1474.000000, 94.061875
1473.000000, 94.073575
1472.000000, 94.073461
1471.000000, 94.070323
1470.000000, 94.072262
1469.000000, 94.067775
1468.000000, 94.076954
1467.000000, 94.078400
1466.000000, 94.046437
1465.000000, 94.057871
1464.000000, 94.068129
1463.000000, 94.075549
1462.000000, 94.051802
1461.000000, 94.024477
1460.000000, 94.022134
1459.000000, 94.042949
1458.000000, 94.021619
1457.000000, 94.036587
1456.000000, 94.067176
1455.000000, 94.035446
1454.000000, 94.008887
1453.000000, 93.998101
1452.000000, 93.979678
1451.000000, 93.999260
1450.000000, 94.022132
1449.000000, 94.031241
1448.000000, 94.021124
1447.000000, 94.000692
1446.000000, 94.017377
1445.000000, 94.026821
1444.000000, 94.009977
1443.000000, 93.997336
1442.000000, 93.998059
1441.000000, 94.003485
1440.000000, 93.980750
1439.000000, 93.976007
1438.000000, 93.961395
1437.000000, 93.947869
1436.000000, 93.913606
1435.000000, 93.914025
1434.000000, 93.934377
1433.000000, 93.956766
1432.000000, 93.927504
1431.000000, 93.885852
1430.000000, 93.898846
1429.000000, 93.895789
1428.000000, 93.884913
1427.000000, 93.881533
1426.000000, 93.890501
1425.000000, 93.869274
1424.000000, 93.839864
1423.000000, 93.824840
1422.000000, 93.830775
1421.000000, 93.848550
1420.000000, 93.830387
1419.000000, 93.802552
1418.000000, 93.769712
1417.000000, 93.742387
1416.000000, 93.762560
1415.000000, 93.772626
1414.000000, 93.768917
1413.000000, 93.744403
1412.000000, 93.691758
1411.000000, 93.654651
1410.000000, 93.643950
1409.000000, 93.614112
1408.000000, 93.604184
1407.000000, 93.579191
1406.000000, 93.538891
1405.000000, 93.501405
1404.000000, 93.432858
1403.000000, 93.429980
1402.000000, 93.372097
1401.000000, 93.314829
1400.000000, 93.272929
1399.000000, 93.231160
1398.000000, 93.210343
1397.000000, 93.165424
1396.000000, 93.062227
1395.000000, 92.971064
1394.000000, 92.917785
1393.000000, 92.891341
1392.000000, 92.791578
1391.000000, 92.740757
1390.000000, 92.700878
1389.000000, 92.595156
1388.000000, 92.537654
1387.000000, 92.495068
1386.000000, 92.438027
1385.000000, 92.429987
1384.000000, 92.386060
1383.000000, 92.392269
1382.000000, 92.401360
1381.000000, 92.425341
1380.000000, 92.487031
1379.000000, 92.570250
1378.000000, 92.675539
1377.000000, 92.799018
1376.000000, 92.883336
1375.000000, 93.018226
1374.000000, 93.130187
1373.000000, 93.253054
1372.000000, 93.380134
1371.000000, 93.445106
1370.000000, 93.533423
1369.000000, 93.658054
1368.000000, 93.662561
1367.000000, 93.736682
1366.000000, 93.758759
1365.000000, 93.728580
1364.000000, 93.795754
1363.000000, 93.818591
1362.000000, 93.840585
1361.000000, 93.833388
1360.000000, 93.854584
1359.000000, 93.828554
1358.000000, 93.807117
1357.000000, 93.828620
1356.000000, 93.893082
1355.000000, 93.927054
1354.000000, 93.882942
1353.000000, 93.861184
1352.000000, 93.918859
1351.000000, 93.917410
1350.000000, 93.956394
1349.000000, 93.866389
1348.000000, 93.889885
1347.000000, 93.884400
1346.000000, 93.958463
1345.000000, 93.941199
1344.000000, 93.910437
1343.000000, 93.981425
1342.000000, 93.933309
1341.000000, 93.965570
1340.000000, 94.007459
1339.000000, 94.010985
1338.000000, 93.979846
1337.000000, 94.005362
1336.000000, 93.980791
1335.000000, 93.934208
1334.000000, 93.979853
1333.000000, 93.980648
1332.000000, 93.999399
1331.000000, 93.958003
1330.000000, 94.019124
1329.000000, 93.991691
1328.000000, 94.017135
1327.000000, 93.995947
1326.000000, 94.033000
1325.000000, 93.990051
1324.000000, 94.033375
1323.000000, 94.006289
1322.000000, 94.028513
1321.000000, 94.002437
1320.000000, 94.076237
1319.000000, 93.997886
1318.000000, 93.959161
1317.000000, 94.043076
1316.000000, 94.043061
1315.000000, 93.977658
1314.000000, 94.016750
1313.000000, 94.007369
1312.000000, 94.016974
1311.000000, 94.004506
1310.000000, 93.985967
1309.000000, 94.026992
1308.000000, 94.014380
1307.000000, 94.024552
1306.000000, 94.004159
1305.000000, 94.041500
1304.000000, 93.993898
1303.000000, 94.022726
1302.000000, 94.010668
1301.000000, 94.007075
1300.000000, 93.969794
1299.000000, 94.049174
1298.000000, 94.042901
1297.000000, 94.034320
1296.000000, 93.995384
1295.000000, 94.046015
1294.000000, 93.955233
1293.000000, 93.963076
1292.000000, 94.071443
1291.000000, 94.015234
1290.000000, 93.997159
1289.000000, 93.936504
1288.000000, 93.991056
1287.000000, 94.024053
1286.000000, 93.965300
1285.000000, 93.953045
1284.000000, 93.979588
1283.000000, 93.999713
1282.000000, 94.023408
1281.000000, 94.044115
1280.000000, 94.024491
1279.000000, 94.026381
1278.000000, 94.007429
1277.000000, 94.009747
1276.000000, 94.020131
1275.000000, 94.002744
1274.000000, 93.985073
1273.000000, 93.998931
1272.000000, 94.032981
1271.000000, 93.997629
1270.000000, 93.950891
1269.000000, 94.027864
1268.000000, 94.019335
1267.000000, 93.973509
1266.000000, 94.003618
1265.000000, 94.004625
1264.000000, 93.987438
1263.000000, 93.963340
1262.000000, 94.017992
1261.000000, 93.968092
1260.000000, 93.957637
1259.000000, 93.936571
1258.000000, 93.958885
1257.000000, 93.978209
1256.000000, 93.998649
1255.000000, 93.930951
1254.000000, 93.921502
1253.000000, 93.928667
1252.000000, 93.955293
1251.000000, 93.939549
1250.000000, 93.936782
1249.000000, 93.960419
1248.000000, 93.961246
1247.000000, 93.937598
1246.000000, 93.950923
1245.000000, 93.924290
1244.000000, 93.950970
1243.000000, 93.955181
1242.000000, 93.952392
1241.000000, 93.944327
1240.000000, 93.928802
1239.000000, 93.943744
1238.000000, 93.958464
1237.000000, 93.991185
1236.000000, 93.985253
1235.000000, 93.937254
1234.000000, 93.939511
1233.000000, 93.969028
1232.000000, 93.997388
1231.000000, 93.997395
1230.000000, 94.008197
1229.000000, 93.958733
1228.000000, 93.936410
1227.000000, 94.004079
1226.000000, 93.994339
1225.000000, 93.995904
1224.000000, 94.015247
1223.000000, 93.980011
1222.000000, 93.963570
1221.000000, 93.957702
1220.000000, 93.950089
1219.000000, 93.960532
1218.000000, 93.947902
1217.000000, 93.953129
1216.000000, 93.982482
1215.000000, 94.006141
1214.000000, 94.001451
1213.000000, 94.029747
1212.000000, 94.034383
1211.000000, 93.989712
1210.000000, 94.003749
1209.000000, 94.022061
1208.000000, 94.040942
1207.000000, 94.006536
1206.000000, 93.995032
1205.000000, 93.999654
1204.000000, 93.983507
1203.000000, 93.987488
1202.000000, 93.981334
1201.000000, 93.979736
1200.000000, 94.030498
1199.000000, 94.044154
1198.000000, 94.016752
1197.000000, 94.020970
1196.000000, 94.017800
1195.000000, 93.982832
1194.000000, 93.961308
1193.000000, 93.959743
1192.000000, 93.964910
1191.000000, 93.990815
1190.000000, 94.001368
1189.000000, 93.977329
1188.000000, 93.974239
1187.000000, 93.974671
1186.000000, 93.963167
1185.000000, 93.941852
1184.000000, 93.953730
1183.000000, 93.986530
1182.000000, 93.963866
1181.000000, 93.948674
1180.000000, 93.969299
1179.000000, 93.940952
1178.000000, 93.910318
1177.000000, 93.934436
1176.000000, 93.971330
1175.000000, 93.983505
1174.000000, 93.984180
1173.000000, 93.967312
1172.000000, 93.945962
1171.000000, 93.939540
1170.000000, 93.938155
1169.000000, 93.932584
1168.000000, 93.954724
1167.000000, 93.966738
1166.000000, 93.966525
1165.000000, 93.951962
1164.000000, 93.953007
1163.000000, 93.944871
1162.000000, 93.948204
1161.000000, 93.928236
1160.000000, 93.941639
1159.000000, 93.966165
1158.000000, 93.966587
1157.000000, 93.955246
1156.000000, 93.956064
1155.000000, 93.935435
1154.000000, 93.943349
1153.000000, 93.908185
1152.000000, 93.976449
1151.000000, 93.991397
1150.000000, 93.989736
1149.000000, 93.956818
1148.000000, 93.940060
1147.000000, 93.961998
1146.000000, 93.955120
1145.000000, 93.958713
1144.000000, 93.957478
1143.000000, 93.904475
1142.000000, 93.933451
1141.000000, 93.959949
1140.000000, 93.922869
1139.000000, 93.919358
1138.000000, 93.906021
1137.000000, 93.948289
1136.000000, 93.900989
1135.000000, 93.897255
1134.000000, 93.927805
1133.000000, 93.945145
1132.000000, 93.961260
1131.000000, 93.917834
1130.000000, 93.956691
1129.000000, 93.944290
1128.000000, 93.929224
1127.000000, 93.927429
1126.000000, 93.948451
1125.000000, 93.919863
1124.000000, 93.932174
1123.000000, 93.933075
1122.000000, 93.888882
1121.000000, 93.920430
1120.000000, 93.909551
1119.000000, 93.905025
1118.000000, 93.948807
1117.000000, 93.900572
1116.000000, 93.939576
1115.000000, 93.931187
1114.000000, 93.911494
1113.000000, 93.894488
1112.000000, 93.915691
1111.000000, 93.920535
1110.000000, 93.895175
1109.000000, 93.917266
1108.000000, 93.926809
1107.000000, 93.937223
1106.000000, 93.980573
1105.000000, 93.970170
1104.000000, 93.929633
1103.000000, 93.931470
1102.000000, 93.916186
1101.000000, 93.872264
1100.000000, 93.863602
1099.000000, 93.893176
1098.000000, 93.877463
1097.000000, 93.915106
1096.000000, 93.937426
1095.000000, 93.917123
1094.000000, 93.906291
1093.000000, 93.873044
1092.000000, 93.887875
1091.000000, 93.888881
1090.000000, 93.924125
1089.000000, 93.918824
1088.000000, 93.881393
1087.000000, 93.856605
1086.000000, 93.888323
1085.000000, 93.896268
1084.000000, 93.917382
1083.000000, 93.896589
1082.000000, 93.918902
1081.000000, 93.891906
1080.000000, 93.923767
1079.000000, 93.934781
1078.000000, 93.865599
1077.000000, 93.906258
1076.000000, 93.902470
1075.000000, 93.935386
1074.000000, 93.908117
1073.000000, 93.871585
1072.000000, 93.912967
1071.000000, 93.901236
1070.000000, 93.892112
1069.000000, 93.875360
1068.000000, 93.888856
1067.000000, 93.885443
1066.000000, 93.883758
1065.000000, 93.898743
1064.000000, 93.915291
1063.000000, 93.931280
1062.000000, 93.872630
1061.000000, 93.846336
1060.000000, 93.853842
1059.000000, 93.869509
1058.000000, 93.856109
1057.000000, 93.848062
1056.000000, 93.838187
1055.000000, 93.828766
1054.000000, 93.914780
1053.000000, 93.916622
1052.000000, 93.870776
1051.000000, 93.837827
1050.000000, 93.882917
1049.000000, 93.841362
1048.000000, 93.819218
1047.000000, 93.911489
1046.000000, 93.873989
1045.000000, 93.799082
1044.000000, 93.866984
1043.000000, 93.882054
1042.000000, 93.849216
1041.000000, 93.807949
1040.000000, 93.853976
1039.000000, 93.836648
1038.000000, 93.863047
1037.000000, 93.882132
1036.000000, 93.851996
1035.000000, 93.852406
1034.000000, 93.828838
1033.000000, 93.842671
1032.000000, 93.832769
1031.000000, 93.860668
1030.000000, 93.788774
1029.000000, 93.837955
1028.000000, 93.811745
1027.000000, 93.863423
1026.000000, 93.843782
1025.000000, 93.831037
1024.000000, 93.795624
1023.000000, 93.835558
1022.000000, 93.862765
1021.000000, 93.795208
1020.000000, 93.799671
1019.000000, 93.832950
1018.000000, 93.805121
1017.000000, 93.790366
1016.000000, 93.804011
1015.000000, 93.867090
1014.000000, 93.906214
1013.000000, 93.858285
1012.000000, 93.826572
1011.000000, 93.772933
1010.000000, 93.788710
1009.000000, 93.814561
1008.000000, 93.792495
1007.000000, 93.821658
1006.000000, 93.778292
1005.000000, 93.814395
1004.000000, 93.810066
1003.000000, 93.793283
1002.000000, 93.848325
1001.000000, 93.792811
1000.000000, 93.793349
999.000000, 93.743218
998.000000, 93.792925
997.000000, 93.804408
996.000000, 93.750134
995.000000, 93.718490
994.000000, 93.764173
993.000000, 93.762774
992.000000, 93.747345
991.000000, 93.713779
990.000000, 93.793718
989.000000, 93.784293
988.000000, 93.800122
987.000000, 93.778129
986.000000, 93.778841
985.000000, 93.758363
984.000000, 93.761693
983.000000, 93.739793
982.000000, 93.736410
981.000000, 93.773028
980.000000, 93.778107
979.000000, 93.796219
978.000000, 93.758366
977.000000, 93.733297
976.000000, 93.739788
975.000000, 93.767459
974.000000, 93.762585
973.000000, 93.766198
972.000000, 93.740862
971.000000, 93.738053
970.000000, 93.732415
969.000000, 93.718981
968.000000, 93.763523
967.000000, 93.759283
966.000000, 93.710350
965.000000, 93.697812
964.000000, 93.749331
963.000000, 93.724696
962.000000, 93.668903
961.000000, 93.687520
960.000000, 93.717681
959.000000, 93.693148
958.000000, 93.694226
957.000000, 93.667454
956.000000, 93.696937
955.000000, 93.725788
954.000000, 93.682368
953.000000, 93.645363
952.000000, 93.676342
951.000000, 93.715551
950.000000, 93.679225
949.000000, 93.646433
948.000000, 93.658138
947.000000, 93.664048
946.000000, 93.680518
945.000000, 93.702540
944.000000, 93.673567
943.000000, 93.611636
942.000000, 93.602929
941.000000, 93.663965
940.000000, 93.709041
939.000000, 93.686054
938.000000, 93.613809
937.000000, 93.605933
936.000000, 93.625865
935.000000, 93.646970
934.000000, 93.637697
933.000000, 93.592937
932.000000, 93.611875
931.000000, 93.646364
930.000000, 93.669301
929.000000, 93.633126
928.000000, 93.605675
927.000000, 93.623630
926.000000, 93.653338
925.000000, 93.646645
924.000000, 93.584982
923.000000, 93.578395
922.000000, 93.590706
921.000000, 93.606941
920.000000, 93.586421
919.000000, 93.613226
918.000000, 93.601567
917.000000, 93.611121
916.000000, 93.577810
915.000000, 93.588722
914.000000, 93.579606
913.000000, 93.552779
912.000000, 93.590149
911.000000, 93.573530
910.000000, 93.534428
909.000000, 93.552817
908.000000, 93.563647
907.000000, 93.585124
906.000000, 93.586974
905.000000, 93.619157
904.000000, 93.584311
903.000000, 93.546702
902.000000, 93.545497
901.000000, 93.546392
900.000000, 93.531745
