nm, %T
1800.000000, 45663.270331
1799.000000, 46849.362482
1798.000000, 42448.251111
1797.000000, 44776.814593
1796.000000, 37832.147931
1795.000000, 42500.920102
1794.000000, 39810.081957
1793.000000, 45785.279214
1792.000000, 34949.550749
1791.000000, 32768.275256
1790.000000, 45103.593866
1789.000000, 40103.367819
1788.000000, 34239.789353
1787.000000, 38404.022627
1786.000000, 43817.532408
1785.000000, 37967.146107
1784.000000, 33616.617478
1783.000000, 34488.616094
1782.000000, 36436.862859
1781.000000, 41845.594106
1780.000000, 41481.659610
1779.000000, 35280.830866
1778.000000, 33685.932461
1777.000000, 36363.018405
1776.000000, 39609.513162
1775.000000, 34580.634921
1774.000000, 42666.655753
1773.000000, 33853.109965
1772.000000, 44715.230570
1771.000000, 52819.382689
1770.000000, 43374.799753
1769.000000, 34877.184307
1768.000000, 45801.108351
1767.000000, 39390.178388
1766.000000, 42060.733676
1765.000000, 40503.042131
1764.000000, 43504.442184
1763.000000, 39079.662864
1762.000000, 40797.071257
1761.000000, 39983.190799
1760.000000, 39201.944315
1759.000000, 47020.101136
1758.000000, 56323.272728
1757.000000, 51231.958517
1756.000000, 38170.507583
1755.000000, 37855.608630
1754.000000, 43074.510741
1753.000000, 41816.568411
1752.000000, 41144.331671
1751.000000, 43884.248668
1750.000000, 39281.856661
1749.000000, 38842.572888
1748.000000, 33982.069392
1747.000000, 38097.005955
1746.000000, 36206.735833
1745.000000, 37312.754707
1744.000000, 36616.604810
1743.000000, 38564.867900
1742.000000, 39096.267652
1741.000000, 39582.528927
1740.000000, 45359.303631
1739.000000, 41424.695941
1738.000000, 44949.886668
1737.000000, 46419.377095
1736.000000, 37063.721245
1735.000000, 39092.757244
1734.000000, 41350.558273
1733.000000, 40853.803578
1732.000000, 46332.201400
1731.000000, 49796.200783
1730.000000, 40899.452776
1729.000000, 38468.978999
1728.000000, 36127.140091
1727.000000, 31748.727602
1726.000000, 39331.656243
1725.000000, 52008.031617
1724.000000, 47787.376782
1723.000000, 38505.677479
1722.000000, 42478.429163
1721.000000, 52958.698913
1720.000000, 46758.240571
1719.000000, 36655.779724
1718.000000, 35659.315433
1717.000000, 39995.766613
1716.000000, 39663.778834
1715.000000, 40662.175611
1714.000000, 41805.490321
1713.000000, 42195.215872
1712.000000, 48148.044052
1711.000000, 47711.967776
1710.000000, 42803.865195
1709.000000, 44829.103478
1708.000000, 48609.439749
1707.000000, 38313.651966
1706.000000, 33998.720558
1705.000000, 39077.414951
1704.000000, 43751.101431
1703.000000, 42044.708799
1702.000000, 33322.877619
1701.000000, 34501.672704
1700.000000, 40505.974778
1699.000000, 45166.761891
1698.000000, 46806.433519
1697.000000, 42202.222789
1696.000000, 40185.029474
1695.000000, 35997.435059
1694.000000, 33615.336695
1693.000000, 39182.779263
1692.000000, 39836.275734
1691.000000, 45385.306071
1690.000000, 48944.480878
1689.000000, 36815.852443
1688.000000, 32605.319549
1687.000000, 36694.714685
1686.000000, 39786.903461
1685.000000, 52774.454736
1684.000000, 53324.805804
1683.000000, 39838.151525
1682.000000, 40764.521569
1681.000000, 36602.405594
1680.000000, 32640.948384
1679.000000, 34609.270492
1678.000000, 37603.036473
1677.000000, 37076.265835
1676.000000, 44550.069435
1675.000000, 50282.426507
1674.000000, 45625.398482
1673.000000, 39020.765920
1672.000000, 36030.927795
1671.000000, 35639.470263
1670.000000, 34299.964175
1669.000000, 37784.255931
1668.000000, 38269.891008
1667.000000, 34311.195070
1666.000000, 37584.539470
1665.000000, 39394.892639
1664.000000, 46402.220134
1663.000000, 45659.463850
1662.000000, 40627.666241
1661.000000, 39808.603071
1660.000000, 47139.392425
1659.000000, 45711.130373
1658.000000, 38627.434155
1657.000000, 40575.462737
1656.000000, 39497.348252
1655.000000, 37252.690957
1654.000000, 44286.188959
1653.000000, 44090.125629
1652.000000, 48175.488330
1651.000000, 48830.006516
1650.000000, 39819.208743
1649.000000, 35688.399897
1648.000000, 41052.221807
1647.000000, 44495.993882
1646.000000, 39840.293939
1645.000000, 39422.312961
1644.000000, 35561.180332
1643.000000, 39589.850353
1642.000000, 43913.526683
1641.000000, 44330.556836
1640.000000, 37300.079610
1639.000000, 34884.220941
1638.000000, 34916.626177
