nm, %T
1800.000000, -0.140200
1799.000000, -0.143400
1798.000000, -0.123900
1797.000000, -0.113200
1796.000000, -0.070900
1795.000000, -0.112500
1794.000000, -0.118400
1793.000000, -0.068200
1792.000000, -0.137600
1791.000000, -0.146400
1790.000000, -0.101600
1789.000000, -0.050900
1788.000000, -0.081200
1787.000000, -0.041800
1786.000000, -0.079200
1785.000000, -0.021800
1784.000000, -0.090000
1783.000000, -0.077900
1782.000000, -0.017200
1781.000000, -0.023400
1780.000000, -0.054700
1779.000000, -0.092500
1778.000000, -0.090000
1777.000000, -0.054600
1776.000000, -0.088500
1775.000000, -0.072200
1774.000000, -0.032400
1773.000000, -0.100200
1772.000000, -0.097500
1771.000000, -0.127000
1770.000000, -0.132100
1769.000000, -0.087500
1768.000000, -0.087700
1767.000000, -0.082200
1766.000000, -0.090200
1765.000000, -0.072800
1764.000000, -0.127100
1763.000000, -0.108700
1762.000000, -0.107500
1761.000000, -0.117600
1760.000000, -0.110900
1759.000000, -0.112700
1758.000000, -0.118800
1757.000000, -0.106700
1756.000000, -0.077800
1755.000000, -0.021300
1754.000000, -0.089800
1753.000000, -0.101500
1752.000000, -0.088200
1751.000000, -0.107500
1750.000000, -0.127600
1749.000000, -0.132400
1748.000000, -0.121900
1747.000000, -0.091400
1746.000000, -0.060200
1745.000000, -0.069300
1744.000000, -0.065900
1743.000000, -0.120200
1742.000000, -0.120900
1741.000000, -0.130500
1740.000000, -0.116300
1739.000000, -0.111000
1738.000000, -0.075300
1737.000000, -0.073300
1736.000000, -0.056600
1735.000000, -0.037300
1734.000000, -0.101000
1733.000000, -0.084500
1732.000000, -0.087600
1731.000000, -0.102100
1730.000000, -0.087600
1729.000000, -0.111000
1728.000000, -0.124700
1727.000000, -0.094900
1726.000000, -0.086200
1725.000000, -0.073300
1724.000000, -0.039200
1723.000000, -0.029300
1722.000000, -0.093100
1721.000000, -0.122700
1720.000000, -0.091800
1719.000000, -0.089900
1718.000000, -0.099800
1717.000000, -0.075800
1716.000000, -0.074700
1715.000000, -0.044100
1714.000000, -0.073800
1713.000000, -0.082000
1712.000000, -0.072800
1711.000000, -0.102100
1710.000000, -0.126300
1709.000000, -0.106900
1708.000000, -0.119600
1707.000000, -0.098100
1706.000000, -0.083200
1705.000000, -0.101900
1704.000000, -0.117500
1703.000000, -0.105000
1702.000000, -0.106700
1701.000000, -0.123900
1700.000000, -0.106100
1699.000000, -0.089100
1698.000000, -0.057500
1697.000000, -0.066200
1696.000000, -0.108900
1695.000000, -0.135600
1694.000000, -0.105500
1693.000000, -0.041100
1692.000000, -0.065600
1691.000000, -0.095300
1690.000000, -0.101200
1689.000000, -0.109100
1688.000000, -0.113900
1687.000000, -0.085300
1686.000000, -0.036400
1685.000000, -0.030000
1684.000000, -0.028000
1683.000000, -0.057600
1682.000000, -0.087600
1681.000000, -0.101100
1680.000000, -0.077300
1679.000000, -0.063200
1678.000000, -0.088400
1677.000000, -0.116400
1676.000000, -0.105200
1675.000000, -0.072300
1674.000000, -0.070900
1673.000000, -0.106600
1672.000000, -0.072900
1671.000000, -0.035300
1670.000000, -0.080500
1669.000000, -0.107000
1668.000000, -0.094300
1667.000000, -0.128100
1666.000000, -0.153000
1665.000000, -0.133100
1664.000000, -0.136700
1663.000000, -0.150600
1662.000000, -0.149600
1661.000000, -0.163900
1660.000000, -0.134500
1659.000000, -0.111100
1658.000000, -0.106200
1657.000000, -0.111400
1656.000000, -0.089700
1655.000000, -0.083400
1654.000000, -0.106000
1653.000000, -0.088200
1652.000000, -0.074200
1651.000000, -0.057000
1650.000000, -0.060900
1649.000000, -0.071700
1648.000000, -0.106000
1647.000000, -0.097700
1646.000000, -0.071800
1645.000000, -0.079300
1644.000000, -0.101600
1643.000000, -0.098700
1642.000000, -0.103900
1641.000000, -0.064400
1640.000000, -0.056100
1639.000000, -0.060000
1638.000000, -0.086700
1637.000000, -0.096900
1636.000000, -0.098000
1635.000000, -0.069000
1634.000000, -0.046200
1633.000000, -0.059200
1632.000000, -0.091400
1631.000000, -0.063000
1630.000000, -0.081700
1629.000000, -0.116000
1628.000000, -0.074800
1627.000000, -0.068700
1626.000000, -0.042500
1625.000000, -0.089900
1624.000000, -0.109600
1623.000000, -0.097700
1622.000000, -0.090100
1621.000000, -0.099000
1620.000000, -0.100900
1619.000000, -0.078400
1618.000000, -0.070300
1617.000000, -0.095600
1616.000000, -0.066000
1615.000000, -0.033600
1614.000000, -0.080900
1613.000000, -0.100900
1612.000000, -0.077400
1611.000000, -0.126100
1610.000000, -0.118200
1609.000000, -0.082600
1608.000000, -0.138000
1607.000000, -0.076200
1606.000000, -0.047400
1605.000000, -0.089400
1604.000000, -0.049900
1603.000000, -0.051900
1602.000000, -0.083300
1601.000000, -0.129900
1600.000000, -0.091700
1599.000000, -0.144500
1598.000000, -0.126900
1597.000000, -0.102500
1596.000000, -0.040300
1595.000000, -0.055500
1594.000000, -0.090900
1593.000000, -0.094200
1592.000000, -0.120300
1591.000000, -0.107600
1590.000000, -0.059800
1589.000000, -0.087900
1588.000000, -0.062900
1587.000000, -0.076400
1586.000000, -0.072000
1585.000000, -0.107100
