nm, %T
1800.000000, 103.083400
1799.000000, 103.110400
1798.000000, 102.990200
1797.000000, 103.009500
1796.000000, 102.937000
1795.000000, 102.988900
1794.000000, 103.016200
1793.000000, 102.960000
1792.000000, 102.997000
1791.000000, 103.033500
1790.000000, 103.004900
1789.000000, 102.907500
1788.000000, 102.941200
1787.000000, 102.880600
1786.000000, 102.954000
1785.000000, 102.888400
1784.000000, 102.974100
1783.000000, 102.963400
1782.000000, 102.907800
1781.000000, 102.903100
1780.000000, 102.974600
1779.000000, 102.976300
1778.000000, 102.956900
1777.000000, 102.881500
1776.000000, 102.922700
1775.000000, 102.908200
1774.000000, 102.916500
1773.000000, 102.973500
1772.000000, 102.960700
1771.000000, 102.970900
1770.000000, 102.971900
1769.000000, 102.931500
1768.000000, 102.937900
1767.000000, 102.945900
1766.000000, 102.932100
1765.000000, 102.944800
1764.000000, 102.954200
1763.000000, 102.924600
1762.000000, 102.970500
1761.000000, 102.988800
1760.000000, 102.973900
1759.000000, 102.967800
1758.000000, 102.970100
1757.000000, 102.978800
1756.000000, 102.922900
1755.000000, 102.863600
1754.000000, 102.937800
1753.000000, 102.940600
1752.000000, 102.902300
1751.000000, 102.950300
1750.000000, 102.985100
1749.000000, 102.970700
1748.000000, 102.964900
1747.000000, 102.931600
1746.000000, 102.867500
1745.000000, 102.913400
1744.000000, 102.873200
1743.000000, 102.935600
1742.000000, 102.887300
1741.000000, 102.905800
1740.000000, 102.913500
1739.000000, 102.937200
1738.000000, 102.913900
1737.000000, 102.876000
1736.000000, 102.853700
1735.000000, 102.835300
1734.000000, 102.942000
1733.000000, 102.927900
1732.000000, 102.876100
1731.000000, 102.903800
1730.000000, 102.891000
1729.000000, 102.945800
1728.000000, 102.928800
1727.000000, 102.899500
1726.000000, 102.891400
1725.000000, 102.849900
1724.000000, 102.807800
1723.000000, 102.809900
1722.000000, 102.879500
1721.000000, 102.914700
1720.000000, 102.883800
1719.000000, 102.904100
1718.000000, 102.911700
1717.000000, 102.890200
1716.000000, 102.879500
1715.000000, 102.806000
1714.000000, 102.846000
1713.000000, 102.866400
1712.000000, 102.863700
1711.000000, 102.881700
1710.000000, 102.908000
1709.000000, 102.897300
1708.000000, 102.867900
1707.000000, 102.852600
1706.000000, 102.850900
1705.000000, 102.836900
1704.000000, 102.865700
1703.000000, 102.879500
1702.000000, 102.853100
1701.000000, 102.876100
1700.000000, 102.846800
1699.000000, 102.800600
1698.000000, 102.761100
1697.000000, 102.799300
1696.000000, 102.831000
1695.000000, 102.857100
1694.000000, 102.825400
1693.000000, 102.731500
1692.000000, 102.772000
1691.000000, 102.826500
1690.000000, 102.803600
1689.000000, 102.789900
1688.000000, 102.817300
1687.000000, 102.783400
1686.000000, 102.713100
1685.000000, 102.719800
1684.000000, 102.726000
1683.000000, 102.761100
1682.000000, 102.778100
1681.000000, 102.798800
1680.000000, 102.781700
1679.000000, 102.760000
1678.000000, 102.796300
1677.000000, 102.826600
1676.000000, 102.787600
1675.000000, 102.735600
1674.000000, 102.756800
1673.000000, 102.804800
1672.000000, 102.772900
1671.000000, 102.725700
1670.000000, 102.765700
1669.000000, 102.749500
1668.000000, 102.726800
1667.000000, 102.763400
1666.000000, 102.774900
1665.000000, 102.756600
1664.000000, 102.760400
1663.000000, 102.755200
1662.000000, 102.778800
1661.000000, 102.796700
1660.000000, 102.752600
1659.000000, 102.706500
1658.000000, 102.704100
1657.000000, 102.719500
1656.000000, 102.680000
1655.000000, 102.638000
1654.000000, 102.685200
1653.000000, 102.639900
1652.000000, 102.626800
1651.000000, 102.624600
1650.000000, 102.629600
1649.000000, 102.647400
1648.000000, 102.703400
1647.000000, 102.666000
1646.000000, 102.617200
1645.000000, 102.639000
1644.000000, 102.661400
1643.000000, 102.675500
1642.000000, 102.636900
1641.000000, 102.566900
1640.000000, 102.587300
1639.000000, 102.586500
1638.000000, 102.640200
1637.000000, 102.656400
1636.000000, 102.647400
1635.000000, 102.557300
1634.000000, 102.581800
1633.000000, 102.602500
1632.000000, 102.632500
1631.000000, 102.627600
1630.000000, 102.627600
1629.000000, 102.653300
1628.000000, 102.600800
1627.000000, 102.621600
1626.000000, 102.597800
1625.000000, 102.635700
1624.000000, 102.641200
1623.000000, 102.646300
1622.000000, 102.604100
1621.000000, 102.616400
1620.000000, 102.620600
1619.000000, 102.592400
1618.000000, 102.583400
1617.000000, 102.561700
1616.000000, 102.596700
1615.000000, 102.552800
1614.000000, 102.579500
1613.000000, 102.575200
1612.000000, 102.599800
1611.000000, 102.622300
1610.000000, 102.609800
1609.000000, 102.579800
1608.000000, 102.637100
1607.000000, 102.563300
1606.000000, 102.580100
1605.000000, 102.611400
1604.000000, 102.580700
1603.000000, 102.537700
1602.000000, 102.596100
1601.000000, 102.676500
1600.000000, 102.616800
1599.000000, 102.685300
1598.000000, 102.665800
1597.000000, 102.646200
1596.000000, 102.513400
1595.000000, 102.529700
1594.000000, 102.569200
1593.000000, 102.593400
1592.000000, 102.628200
1591.000000, 102.620300
1590.000000, 102.576700
1589.000000, 102.603200
1588.000000, 102.582000
1587.000000, 102.596100
1586.000000, 102.598000
1585.000000, 102.647900
1584.000000, 102.611500
1583.000000, 102.567600
1582.000000, 102.581000
1581.000000, 102.609900
1580.000000, 102.601700
1579.000000, 102.610900
1578.000000, 102.631600
1577.000000, 102.612000
1576.000000, 102.584400
1575.000000, 102.544500
1574.000000, 102.543700
1573.000000, 102.625300
1572.000000, 102.641400
1571.000000, 102.557400
1570.000000, 102.512200
1569.000000, 102.477600
1568.000000, 102.580100
1567.000000, 102.595300
1566.000000, 102.558100
1565.000000, 102.623600
1564.000000, 102.589000
1563.000000, 102.519100
1562.000000, 102.529100
1561.000000, 102.602300
1560.000000, 102.563300
1559.000000, 102.491400
1558.000000, 102.660600
1557.000000, 102.560500
1556.000000, 102.591100
1555.000000, 102.605200
1554.000000, 102.562200
1553.000000, 102.545200
1552.000000, 102.544500
1551.000000, 102.540500
1550.000000, 102.529100
1549.000000, 102.454500
1548.000000, 102.601600
1547.000000, 102.532400
1546.000000, 102.560300
1545.000000, 102.538700
1544.000000, 102.544300
1543.000000, 102.599100
1542.000000, 102.546300
1541.000000, 102.576100
1540.000000, 102.648400
1539.000000, 102.630300
1538.000000, 102.592100
1537.000000, 102.624500
1536.000000, 102.583700
1535.000000, 102.628400
1534.000000, 102.576100
1533.000000, 102.606000
1532.000000, 102.567400
1531.000000, 102.630500
1530.000000, 102.577500
1529.000000, 102.560300
1528.000000, 102.541100
1527.000000, 102.589200
1526.000000, 102.593800
1525.000000, 102.608800
1524.000000, 102.708500
1523.000000, 102.645400
1522.000000, 102.604400
1521.000000, 102.603700
1520.000000, 102.613300
1519.000000, 102.642500
1518.000000, 102.573400
1517.000000, 102.621300
1516.000000, 102.565300
1515.000000, 102.548500
1514.000000, 102.534900
1513.000000, 102.569800
1512.000000, 102.593800
1511.000000, 102.646300
1510.000000, 102.616500
1509.000000, 102.567900
1508.000000, 102.561500
1507.000000, 102.635100
1506.000000, 102.590000
1505.000000, 102.608700
1504.000000, 102.623500
1503.000000, 102.557600
1502.000000, 102.597500
1501.000000, 102.617700
1500.000000, 102.580100
1499.000000, 102.584400
1498.000000, 102.587800
1497.000000, 102.612700
1496.000000, 102.553600
1495.000000, 102.528000
1494.000000, 102.578500
1493.000000, 102.615000
1492.000000, 102.638600
1491.000000, 102.651900
1490.000000, 102.546500
1489.000000, 102.494800
1488.000000, 102.545900
1487.000000, 102.608700
1486.000000, 102.572200
1485.000000, 102.612100
1484.000000, 102.582600
1483.000000, 102.581300
1482.000000, 102.596500
1481.000000, 102.574700
1480.000000, 102.598500
1479.000000, 102.642700
1478.000000, 102.630300
1477.000000, 102.647600
1476.000000, 102.648400
1475.000000, 102.670100
1474.000000, 102.614600
1473.000000, 102.543300
1472.000000, 102.584700
1471.000000, 102.607500
1470.000000, 102.617200
1469.000000, 102.606000
1468.000000, 102.618100
1467.000000, 102.653400
1466.000000, 102.702200
1465.000000, 102.705700
1464.000000, 102.660500
1463.000000, 102.640000
1462.000000, 102.633200
1461.000000, 102.628100
1460.000000, 102.624200
1459.000000, 102.657200
1458.000000, 102.670300
1457.000000, 102.595000
1456.000000, 102.566900
1455.000000, 102.581400
1454.000000, 102.623500
1453.000000, 102.645300
1452.000000, 102.633000
1451.000000, 102.647100
1450.000000, 102.615200
1449.000000, 102.590400
1448.000000, 102.609100
1447.000000, 102.610200
1446.000000, 102.613800
1445.000000, 102.623400
1444.000000, 102.632200
1443.000000, 102.650300
1442.000000, 102.675700
1441.000000, 102.664200
1440.000000, 102.633600
1439.000000, 102.668000
1438.000000, 102.687000
1437.000000, 102.685600
1436.000000, 102.676200
1435.000000, 102.661300
1434.000000, 102.663300
1433.000000, 102.636600
1432.000000, 102.635800
1431.000000, 102.680000
1430.000000, 102.740100
1429.000000, 102.720800
1428.000000, 102.695600
1427.000000, 102.729000
1426.000000, 102.743000
1425.000000, 102.712900
1424.000000, 102.698400
1423.000000, 102.695600
1422.000000, 102.705300
1421.000000, 102.721200
1420.000000, 102.720000
1419.000000, 102.693000
1418.000000, 102.684200
1417.000000, 102.713900
1416.000000, 102.705800
1415.000000, 102.693700
1414.000000, 102.729400
1413.000000, 102.755800
1412.000000, 102.821500
1411.000000, 102.836100
1410.000000, 102.783300
1409.000000, 102.812500
1408.000000, 102.867800
1407.000000, 102.863400
1406.000000, 102.879000
1405.000000, 102.844000
1404.000000, 102.836900
1403.000000, 102.866100
1402.000000, 102.905100
1401.000000, 102.879300
1400.000000, 102.866100
1399.000000, 102.935600
1398.000000, 102.931500
1397.000000, 102.949300
1396.000000, 102.949500
1395.000000, 102.921600
1394.000000, 102.943500
1393.000000, 102.900900
1392.000000, 102.933000
1391.000000, 102.882900
1390.000000, 102.863400
1389.000000, 102.863400
1388.000000, 102.870400
1387.000000, 102.879600
1386.000000, 102.892200
1385.000000, 102.906100
1384.000000, 102.895100
1383.000000, 102.976800
1382.000000, 102.986200
1381.000000, 103.021900
1380.000000, 103.057700
1379.000000, 103.071400
1378.000000, 102.970600
1377.000000, 102.913700
1376.000000, 102.866300
1375.000000, 102.873200
1374.000000, 102.877500
1373.000000, 102.836200
1372.000000, 102.792300
1371.000000, 102.840700
1370.000000, 102.786900
1369.000000, 102.856200
1368.000000, 102.945500
1367.000000, 102.940500
1366.000000, 102.931200
1365.000000, 102.951800
1364.000000, 103.034700
1363.000000, 103.070100
1362.000000, 103.024500
1361.000000, 103.062500
1360.000000, 103.098600
1359.000000, 103.110200
1358.000000, 103.127300
1357.000000, 103.100500
1356.000000, 102.984200
1355.000000, 102.936900
1354.000000, 102.981300
1353.000000, 102.995500
1352.000000, 102.896900
1351.000000, 102.920500
1350.000000, 102.909900
1349.000000, 102.826400
1348.000000, 102.856500
1347.000000, 102.848600
1346.000000, 102.880100
1345.000000, 102.820500
1344.000000, 102.873500
1343.000000, 102.878000
1342.000000, 102.881100
1341.000000, 102.846200
1340.000000, 102.835800
1339.000000, 102.879600
1338.000000, 102.793300
1337.000000, 102.832100
1336.000000, 102.840300
1335.000000, 102.797000
1334.000000, 102.805400
1333.000000, 102.866400
1332.000000, 102.807900
1331.000000, 102.851800
1330.000000, 102.790400
1329.000000, 102.812900
1328.000000, 102.843300
1327.000000, 102.836100
1326.000000, 102.877900
1325.000000, 102.826400
1324.000000, 102.922100
1323.000000, 102.883500
1322.000000, 102.900000
1321.000000, 102.895100
1320.000000, 102.922900
1319.000000, 102.939300
1318.000000, 102.917100
1317.000000, 103.006200
1316.000000, 102.973300
1315.000000, 102.974100
1314.000000, 102.958400
1313.000000, 102.953500
1312.000000, 103.016800
1311.000000, 103.042800
1310.000000, 102.994500
1309.000000, 103.012600
1308.000000, 103.022100
1307.000000, 102.923900
1306.000000, 102.930200
1305.000000, 103.015400
1304.000000, 102.960500
1303.000000, 102.963900
1302.000000, 103.054800
1301.000000, 102.947700
1300.000000, 102.978200
1299.000000, 103.028800
